Subj_idx,Stimulus,Response,Confidence,RT_dec,Accuracy,Difficulty,Order
5,1,1,2,0.652,1,0,DS
5,2,2,2,0.753,1,0,DS
5,1,1,2,0.463,1,0,DS
5,1,1,4,0.403,1,3,DS
5,2,2,4,0.685,1,2,DS
5,2,2,3,0.57,1,1,DS
5,2,2,2,0.654,1,0,DS
5,1,4,2,0.805,0,1,DS
5,2,2,2,0.575,1,1,DS
5,1,4,2,0.778,0,2,DS
5,2,2,2,1.072,1,0,DS
5,1,1,2,1.017,1,1,DS
5,2,2,4,0.403,1,3,DS
5,2,2,2,0.992,1,0,DS
5,2,2,3,0.532,1,2,DS
5,1,1,3,1.088,1,0,DS
5,2,2,2,0.701,1,0,DS
5,2,2,3,0.592,1,2,DS
5,2,2,2,0.667,1,1,DS
5,1,4,2,1.138,0,2,DS
5,1,1,4,0.47,1,3,DS
5,1,1,4,0.434,1,2,DS
5,1,4,2,0.836,0,0,DS
5,1,1,4,0.376,1,3,DS
5,2,2,2,0.612,1,0,DS
5,1,1,3,0.509,1,2,DS
5,1,4,2,0.475,0,1,DS
5,2,2,2,1.028,1,0,DS
5,1,1,4,0.355,1,3,DS
5,2,2,3,0.549,1,1,DS
5,2,2,3,0.705,1,1,DS
5,2,2,2,0.619,1,1,DS
5,1,1,3,0.471,1,2,DS
5,2,2,3,0.315,1,3,DS
5,2,2,4,0.518,1,2,DS
5,1,1,4,0.371,1,2,DS
5,2,2,4,0.247,1,3,DS
5,2,2,4,1.127,1,0,DS
5,1,1,2,1.039,1,0,DS
5,2,2,2,0.741,1,1,DS
5,2,2,4,0.373,1,3,DS
5,2,3,2,1.185,0,0,DS
5,1,1,2,0.971,1,1,DS
5,1,4,2,0.738,0,0,DS
5,1,1,4,0.386,1,3,DS
5,1,1,4,0.396,1,3,DS
5,2,2,4,0.322,1,3,DS
5,2,2,2,0.587,1,1,DS
5,2,2,2,1.415,1,0,DS
5,1,1,2,0.634,1,1,DS
5,1,1,2,0.951,1,0,DS
5,2,2,1,0.846,1,0,DS
5,2,2,1,0.852,1,1,DS
5,1,1,3,0.466,1,2,DS
5,2,2,3,0.359,1,2,DS
5,2,2,3,0.457,1,2,DS
5,1,1,2,1.01,1,1,DS
5,2,2,2,0.453,1,1,DS
5,1,1,2,0.619,1,1,DS
5,1,1,4,0.406,1,3,DS
5,2,2,4,0.376,1,2,DS
5,1,1,2,0.776,1,0,DS
5,2,2,4,0.241,1,3,DS
5,2,2,4,0.262,1,3,DS
5,1,4,3,0.439,0,2,DS
5,1,1,4,0.33,1,3,DS
5,2,2,4,0.275,1,2,DS
5,1,1,4,0.251,1,3,DS
5,1,1,4,0.394,1,2,DS
5,1,4,4,0.26,0,2,DS
5,1,1,2,0.5,1,0,DS
5,2,2,2,0.542,1,0,DS
5,2,2,3,0.486,1,2,DS
5,1,1,2,1.054,1,1,DS
5,1,1,2,0.568,1,1,DS
5,1,1,4,0.468,1,2,DS
5,1,4,2,1.192,0,0,DS
5,1,1,2,0.738,1,1,DS
5,2,2,2,0.495,1,2,DS
5,2,2,4,0.417,1,3,DS
5,2,2,2,0.868,1,1,DS
5,1,4,2,0.81,0,0,DS
5,1,1,2,1.149,1,0,DS
5,1,1,4,0.679,1,3,DS
5,2,2,4,0.557,1,2,DS
5,1,4,2,0.731,0,0,DS
5,2,2,2,0.522,1,2,DS
5,2,2,4,0.488,1,2,DS
5,1,1,4,0.472,1,2,DS
5,1,1,2,0.891,1,1,DS
5,2,2,3,0.329,1,3,DS
5,2,2,2,0.724,1,0,DS
5,1,1,4,0.41,1,2,DS
5,2,2,4,0.309,1,3,DS
5,1,1,2,1.286,1,0,DS
5,2,2,4,0.43,1,3,DS
5,1,1,4,0.325,1,3,DS
5,1,1,4,0.249,1,3,DS
5,1,1,2,1.25,1,1,DS
5,1,1,4,0.282,1,3,DS
5,2,2,4,0.287,1,2,DS
5,1,1,3,0.863,1,1,DS
5,1,4,2,1.286,0,0,DS
5,1,1,2,0.796,1,1,DS
5,2,2,4,0.3,1,3,DS
5,2,2,2,0.666,1,1,DS
5,2,2,2,0.713,1,0,DS
5,2,2,2,0.573,1,1,DS
5,2,2,1,1.18,1,0,DS
5,2,2,4,0.551,1,3,DS
5,1,1,4,0.402,1,2,DS
5,2,2,2,0.739,1,0,DS
5,1,1,2,0.66,1,1,DS
5,2,2,4,0.292,1,3,DS
5,2,2,3,0.735,1,1,DS
5,1,1,3,0.389,1,2,DS
5,1,1,4,0.359,1,3,DS
5,2,2,3,0.469,1,1,DS
5,2,2,4,0.405,1,3,DS
5,2,2,4,0.309,1,3,DS
5,2,2,2,0.567,1,1,DS
5,1,1,4,0.338,1,3,DS
5,1,1,4,0.315,1,3,DS
5,2,2,4,0.475,1,2,DS
5,2,2,4,0.425,1,2,DS
5,1,1,4,0.832,1,0,DS
5,1,1,2,0.546,1,2,DS
5,1,1,3,0.842,1,1,DS
25,2,2,3,0.625,1,1,DS
25,2,2,3,0.46,1,2,DS
25,1,1,4,0.373,1,2,DS
25,1,1,4,0.366,1,3,DS
25,1,1,4,0.503,1,0,DS
25,1,1,4,0.563,1,0,DS
25,2,2,4,0.361,1,2,DS
25,2,2,4,0.398,1,2,DS
25,1,1,4,0.396,1,0,DS
25,2,2,4,0.405,1,1,DS
25,1,1,4,0.364,1,2,DS
25,1,1,4,0.351,1,3,DS
25,2,2,4,0.372,1,3,DS
25,1,1,4,0.276,1,3,DS
25,1,1,4,0.457,1,1,DS
25,2,2,4,0.268,1,2,DS
