"Subj_idx","Stimulus","Response","RT_dec","Confidence","RT_conf","SOA","Accuracy","Trial"
1,1,1,0.616834999993443,0.934144881792552,1.80396499997005,48.6,1,1
1,2,2,0.581650000007357,0.356019377341472,1.34106000000611,48.6,1,2
1,2,1,0.596495000005234,0.24513657773059,1.20745500002522,43.74,0,3
1,1,1,0.487644999986514,1,1.22351999999955,48.6,1,4
1,2,2,0.559654999990016,0.871501341052466,1.99583999998868,48.6,1,5
1,1,1,0.625404999998864,1,1.99098999996204,43.74,1,6
1,1,1,0.704194999998435,0.800369022031431,0.866589999990538,43.74,1,7
1,2,2,1.12706999998773,0.017259895182854,1.39594499999657,39.366,1,8
1,2,2,0.685400000016671,0.358886773186007,1.00182000000495,39.366,1,9
1,1,1,0.559540000045672,0.748532970356445,0.780089999956544,35.4294,1,10
1,2,2,0.699840000015683,0.747052146972519,2.12328500003787,35.4294,1,11
1,1,1,0.513789999997243,0.688328483279973,1.84166499995627,31.88646,1,12
1,1,1,0.618705000029877,0.546067423193042,0.920924999983981,31.88646,1,13
1,2,2,0.58689500001492,0.791297906854743,0.781474999967031,28.697814,1,14
1,1,1,0.519334999960847,0.169327725322007,1.18153500003973,28.697814,1,15
1,2,2,0.958459999994375,0,1.56144999997923,25.8280326,1,16
1,1,1,0.566554999968503,0.850363432771223,1.12445499998285,25.8280326,1,17
1,2,2,1.85676500003319,0,1.56650499999523,23.24522934,1,18
1,1,1,0.573295000009239,0.885164342057569,1.29132999997819,23.24522934,1,19
1,2,2,0.599509999970905,0.306173981788006,1.20696500001941,20.920706406,1,20
1,1,1,0.610574999998789,0,1.83359499997459,20.920706406,1,21
1,2,2,0.769619999977294,0.598889054913724,0.909745000011753,18.8286357654,1,22
1,1,1,0.937045000027865,0,0.854814999969676,18.8286357654,1,23
1,2,2,1.10139999998501,0,1.75245000002906,16.94577218886,1,24
1,2,2,1.00991499994416,0,1.33869000000414,16.94577218886,1,25
1,1,2,0.820355000032578,0,1.54898500000127,15.251194969974,0,26
1,1,1,0.567890000005718,0,1.50792499998352,16.94577218886,1,27
1,2,2,0.893540000019129,0,2.40534499997739,16.94577218886,1,28
1,1,1,0.734725000045728,0.025432882678271,1.64291499997489,15.251194969974,1,29
1,2,2,0.871449999976903,0,1.42856500000926,15.251194969974,1,30
1,1,2,0.893764999986161,0,1.1378600000171,13.7260754729766,0,31
1,2,2,0.870055000006687,0,1.21309000003384,15.251194969974,1,32
1,2,2,1.26048500003526,0.113308440595411,1.69729999999981,15.251194969974,1,33
1,1,1,0.547159999958239,0.190684372030782,0.972119999991264,13.7260754729766,1,34
1,2,2,0.855379999964498,0.163265306122448,1.94426500005648,13.7260754729766,1,35
1,1,2,0.75052499998128,0.130015933607232,1.25007499998901,12.3534679256789,0,36
1,1,1,0.718789999955334,0.172718734822944,0.934210000035819,13.7260754729766,1,37
1,2,2,0.905319999961648,0.159232698111217,0.999445000023115,13.7260754729766,1,38
1,2,2,0.732689999975264,0.027754234067815,1.32805499999085,12.3534679256789,1,39
1,1,2,0.852484999981243,0,1.97950000001583,12.3534679256789,0,40
1,1,1,2.02136499999324,0,1.39656000002287,13.7260754729766,1,41
1,2,2,0.75767999998061,0,1.00345999997808,13.7260754729766,1,42
1,1,2,0.912045000004582,0.005716528352663,1.20494500000495,12.3534679256789,0,43
1,2,2,0.835510000004433,0.085313058928549,2.233515000029,13.7260754729766,1,44
1,1,2,1.02007000002777,0.046155700536732,1.09899999998743,13.7260754729766,0,45
1,2,1,0.373620000027586,0,0.963084999995772,15.251194969974,0,46
1,1,1,2.17528500000481,0,1.06719000003068,16.94577218886,1,47
1,2,2,0.625319999991916,0,1.31052499997895,16.94577218886,1,48
1,1,1,1.52789500000654,0,1.1547450000071,15.251194969974,1,49
1,2,2,0.78434000001289,0,0.989209999970626,15.251194969974,1,50
1,2,2,0.759000000020023,0,1.01362500002142,13.7260754729766,1,51
1,1,2,1.13743500004057,0,2.03643499995815,13.7260754729766,0,52
1,2,2,0.689205000002403,0.000646415712442,0.933614999987185,15.251194969974,1,53
1,1,1,0.752555000013672,0.532636276860212,2.00365000002785,15.251194969974,1,54
1,2,2,0.93405999999959,0.071940862637373,0.76058500004001,13.7260754729766,1,55
1,1,2,0.609029999992345,0.210098551593818,0.942964999994729,13.7260754729766,0,56
1,2,1,0.631394999974873,0.072263786406012,1.27241000003414,15.251194969974,0,57
1,1,1,0.634584999992512,0.723255090225944,1.32108500000322,16.94577218886,1,58
1,1,1,0.768465000030119,0.73070336693834,1.1543599999859,16.94577218886,1,59
1,2,2,0.715915000007953,0.137048171584231,1.45161499996902,15.251194969974,1,60
1,2,2,0.687510000017937,0.022799940978039,1.19790999998804,15.251194969974,1,61
1,1,1,0.568399999989197,0.397306327377015,1.61556499998551,13.7260754729766,1,62
1,2,2,0.668914999987464,0,1.35477999999421,13.7260754729766,1,63
1,1,1,0.587774999963585,0.397306327377015,1.17460500000743,12.3534679256789,1,64
1,1,1,0.624279999989085,0.904320076456808,1.03516500000842,12.3534679256789,1,65
1,2,1,1.23711500002537,0.316565823262667,0.867744999995921,11.1181211331111,0,66
1,2,2,0.784015000041109,0.128741017383362,1.29444500000682,12.3534679256789,1,67
1,1,1,0.489520000002813,1,1.41037500003586,12.3534679256789,1,68
1,2,1,0.60341999999946,0.116182758702854,0.966700000048149,11.1181211331111,0,69
1,1,1,0.588700000022072,0.628944468227637,1.45563499996206,12.3534679256789,1,70
1,2,2,0.51923999999417,0.073657557317544,1.62325000000419,12.3534679256789,1,71
