Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy,ImgID,Liking,RT_liking,ImgEmo,SbjAge,SbjSex
1,Object,Object,50,3.18346385058,1.831,0.931034482758621,Confidence before liking,Correct,ship06.jpg,0,1.904,Pleasant,21,m
1,Human,Human,99,1.68339300246,2.468,1,Confidence before liking,Correct,human_pos3.jpg,18,1.554,Pleasant,21,m
1,Object,Animal,50,1.53359955452,1.498,0.758620689655172,Confidence before liking,Error,yacht.jpg,38,1.004,Pleasant,21,m
1,Object,Animal,50,1.26677296092,1.349,0.551724137931035,Confidence before liking,Error,headphones.jpg,50,0.502,Pleasant,21,m
1,Human,Object,52,1.61671333593,2.667,0.0847457627118644,Confidence before liking,Error,human_pos1.jpg,6,2.587,Pleasant,21,m
1,Animal,Animal,50,1.7333641004,1.532,0.406779661016949,Confidence before liking,Correct,12425977248lc8TP.jpg,22,1.621,Pleasant,21,m
1,Object,Object,50,1.48336890085,1.082,1,Confidence before liking,Correct,sofie1.jpg,50,0.768,Unpleasant,21,m
1,Object,Animal,15,1.46667887197,2.035,0.413793103448276,Confidence before liking,Error,lamp-broken.jpg,22,1.437,Unpleasant,21,m
1,Human,Human,58,1.46687718048,1.784,0.96551724137931,Confidence before liking,Correct,angry.jpg,57,1.537,Unpleasant,21,m
1,Human,Human,60,2.00004899776,3.168,0.96551724137931,Confidence before liking,Correct,H099.jpg,50,0.735,Unpleasant,21,m
1,Human,Human,100,1.18337082104,3.218,1,Confidence before liking,Correct,H008.jpg,35,1.871,Pleasant,21,m
1,Object,Object,19,2.70011183409,2.418,0.931034482758621,Confidence before liking,Correct,dsc00354.jpg,26,2.054,Unpleasant,21,m
1,Animal,Animal,50,1.41672101666,1.399,0.96551724137931,Confidence before liking,Correct,happy-sheep-daily-5-omg-cute-things-080212-03.jpg,50,0.302,Pleasant,21,m
1,Object,Object,50,1.38337538975,1.015,0.896551724137931,Confidence before liking,Correct,bike.jpg,50,0.252,Pleasant,21,m
1,Object,Object,50,1.74987436046,1.665,0.96551724137931,Confidence before liking,Correct,Smashed-bike.jpg,50,1.185,Unpleasant,21,m
1,Animal,Animal,50,1.28352556127,0.882,0.206896551724138,Confidence before liking,Correct,monkey1.jpg,50,0.335,Pleasant,21,m
1,Object,Object,0,1.40003959549,2.834,0.96551724137931,Confidence before liking,Correct,P102.jpg,0,1.921,Pleasant,21,m
