Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy,Training
1,L,L,NA,0.684,NA,Congr,1,training1
1,L,L,NA,0.664,NA,Incongr,1,training1
1,R,R,NA,0.566,NA,Congr,1,training1
1,R,R,NA,0.65,NA,Incongr,1,training1
1,L,L,NA,0.73,NA,Incongr,1,training1
1,L,L,NA,0.646,NA,Congr,1,training1
1,R,R,NA,0.527,NA,Congr,1,training1
1,R,R,NA,1.095,NA,Incongr,1,training1
1,R,R,1,1.489,4.624,Incongr,1,training2
1,L,L,1,0.892,1.072,Incongr,1,training2
1,L,L,1,1.1,1.243,Incongr,1,training2
1,R,R,1,1.509,3.554,Incongr,1,training2
1,R,R,4,2.15,2.177,Congr,1,training2
1,L,L,4,1.371,5.84,Incongr,1,training2
1,R,R,4,0.832,2.951,Incongr,1,training2
1,R,R,4,1.091,1.056,Incongr,1,training2
1,R,R,1,0.231,2.691,Congr,1,training2
1,R,NA,1,NA,5.035,Congr,0,training2
1,L,L,4,0.529,4.081,Incongr,1,training2
1,R,R,1,0.49,1.678,Incongr,1,training2
1,L,L,1,0.576,0.792,Congr,1,training2
1,L,L,4,1.819,2.677,Incongr,1,training2
1,L,L,4,1.971,3.608,Congr,1,training2
1,L,L,4,0.975,2.656,Congr,1,training2
1,R,R,4,0.954,7.62,Congr,1,training2
1,L,L,4,0.789,1.922,Incongr,1,training2
1,L,L,4,1.358,4.617,Congr,1,training2
1,L,L,4,0.668,1.416,Congr,1,training2
1,L,L,4,0.783,1.488,Congr,1,training2
1,L,L,4,0.345,1.922,Incongr,1,training2
1,R,R,1,1.207,2.344,Incongr,1,training2
1,R,R,1,0.903,1.108,Incongr,1,training2
1,L,L,1,1.447,0.892,Congr,1,training2
1,L,L,4,0.985,2.719,Congr,1,training2
1,R,R,4,0.844,2.599,Incongr,1,training2
1,L,L,1,0.927,1.706,Congr,1,training2
1,R,R,1,0.99,2.834,Congr,1,training2
1,R,R,4,1.048,9.895,Incongr,1,training2
1,R,R,1,1.01,1.934,Congr,1,training2
1,L,L,4,0.847,2.288,Incongr,1,training2
1,R,R,4,0.95,2.084,Congr,1,training2
1,L,L,1,1.137,2.826,Congr,1,training2
1,L,L,1,1.009,1.64,Incongr,1,training2
1,L,L,4,0.86,4.464,Incongr,1,training2
1,R,R,4,1.088,6.728,Congr,1,training2
1,R,R,1,0.737,0.855,Incongr,1,training2
1,R,R,4,0.853,1.827,Congr,1,training2
1,R,R,4,0.831,1.652,Congr,1,training2
1,R,R,4,0.531,13.912,Incongr,1,main
1,L,L,1,0.741,0.701,Congr,1,main
1,R,R,4,0.679,0.6,Incongr,1,main
1,R,R,4,0.82,1.118,Incongr,1,main
1,R,R,4,0.859,1.966,Incongr,1,main
1,R,R,1,0.723,3.243,Incongr,1,main
1,L,L,4,1.199,3.37,Congr,1,main
1,R,R,4,0.813,4.466,Congr,1,main
1,L,L,4,0.858,2.486,Congr,1,main
1,L,L,4,1.006,2.419,Incongr,1,main
1,R,R,1,0.588,0.929,Incongr,1,main
1,L,L,4,0.81,1.165,Congr,1,main
1,L,L,4,0.922,1.405,Incongr,1,main
1,L,L,4,0.649,0.978,Congr,1,main
1,L,L,4,0.524,3.419,Incongr,1,main
1,L,L,1,1.047,1.552,Incongr,1,main
1,L,L,4,0.946,1.021,Incongr,1,main
1,R,R,1,0.844,2.457,Congr,1,main
1,R,R,4,0.571,5.171,Incongr,1,main
1,R,R,4,0.577,2.455,Congr,1,main
1,R,R,4,0.461,1.475,Congr,1,main
1,L,L,4,0.878,1.513,Congr,1,main
1,R,R,4,0.428,2.155,Incongr,1,main
1,R,R,4,0.548,0.823,Congr,1,main
1,L,L,4,0.573,1.313,Congr,1,main
1,L,R,1,0.841,3.045,Incongr,0,main
1,L,L,1,0.519,0.962,Incongr,1,main
1,R,R,1,0.498,0.464,Congr,1,main
1,L,R,1,2.121,0.862,Incongr,0,main
1,R,R,4,0.427,1.63,Incongr,1,main
1,L,L,1,1.215,0.865,Congr,1,main
1,R,R,4,0.694,1.585,Congr,1,main
1,R,R,4,0.896,0.663,Incongr,1,main
1,R,R,4,0.41,0.578,Congr,1,main
1,L,L,4,0.669,1.117,Incongr,1,main
1,L,L,4,0.916,0.837,Congr,1,main
1,R,R,4,0.464,1.703,Congr,1,main
1,L,L,1,0.941,2.062,Incongr,1,main
1,R,R,4,0.561,0.935,Incongr,1,main
1,R,R,4,0.662,1.168,Incongr,1,main
1,L,L,1,0.886,1.18,Incongr,1,main
1,L,L,4,0.468,1.36,Congr,1,main
1,R,R,4,0.419,1.108,Congr,1,main
1,L,L,4,0.519,0.891,Incongr,1,main
1,L,L,4,0.537,0.884,Congr,1,main
1,L,R,1,0.442,2.307,Incongr,0,main
1,L,L,4,0.334,1.242,Congr,1,main
1,R,R,4,0.83,3.375,Congr,1,main
1,R,R,1,0.474,1.352,Congr,1,main
1,R,L,1,0.246,2.238,Incongr,0,main
1,R,R,4,0.398,1.008,Congr,1,main
1,R,R,4,0.393,0.651,Congr,1,main
1,L,L,4,0.675,1.085,Incongr,1,main
1,L,L,4,0.564,0.94,Congr,1,main
1,R,R,4,0.363,1.666,Congr,1,main
1,L,L,4,0.506,1.156,Congr,1,main
1,L,L,4,1.742,1.585,Congr,1,main
1,L,L,4,0.538,0.782,Incongr,1,main
1,R,R,1,0.426,1.633,Incongr,1,main
1,R,L,2,0.923,3.723,Incongr,0,main
1,L,L,4,0.526,2.299,Incongr,1,main
1,L,L,4,0.425,1.318,Congr,1,main
1,R,R,4,0.394,0.611,Incongr,1,main
1,L,L,1,0.578,1.169,Congr,1,main
1,R,R,4,0.452,4.604,Incongr,1,main
1,L,L,4,0.412,3.395,Congr,1,main
1,R,R,1,0.497,1.132,Incongr,1,main
1,R,R,1,0.697,1.269,Congr,1,main
1,R,R,4,0.72,1.295,Congr,1,main
1,R,R,4,0.38,0.79,Congr,1,main
1,R,R,4,0.524,0.518,Incongr,1,main
1,L,L,4,0.529,2.02,Incongr,1,main
1,R,R,4,0.371,0.905,Incongr,1,main
1,L,L,4,0.363,1.019,Incongr,1,main
1,R,R,4,0.373,0.581,Congr,1,main
1,R,R,4,0.457,0.536,Incongr,1,main
1,R,R,4,0.506,0.446,Incongr,1,main
1,R,R,4,0.277,0.451,Congr,1,main
1,R,R,4,0.261,0.393,Incongr,1,main
1,L,R,1,0.208,3.539,Incongr,0,main
1,L,L,4,0.682,2.325,Incongr,1,main
1,L,L,1,0.749,2.031,Incongr,1,main
1,L,L,4,1.104,3.704,Congr,1,main
1,R,R,1,0.475,1.006,Incongr,1,main
1,L,L,4,0.357,0.932,Congr,1,main
1,R,R,1,0.479,1.6,Incongr,1,main
1,R,R,1,0.604,1.587,Incongr,1,main
1,L,R,1,0.358,2.119,Congr,0,main
1,R,R,4,0.437,1.471,Congr,1,main
1,L,L,4,0.437,3.175,Congr,1,main
1,R,R,4,0.442,1.89,Congr,1,main
1,R,R,4,0.361,0.927,Congr,1,main
1,L,L,1,0.437,2.027,Incongr,1,main
