Subj_idx,Stimulus,Response,Confidence,RT_dec,Validity,CTOA,Cue_position
1,-1,-1,0,0.891150951,I,100,-1
1,-1,-1,1,0.601191044,V,100,-1
1,1,1,1,1.301461935,I,100,-1
1,1,1,1,0.572027206,V,450,1
1,-1,1,1,0.80121088,V,850,1
1,-1,1,1,1.011446953,I,150,-1
1,-1,1,0,0.781257868,V,100,1
1,1,-1,0,2.372078896,I,850,1
1,-1,-1,1,0.971318007,V,250,1
1,1,1,0,2.822236061,V,100,-1
1,1,1,1,1.091489077,V,100,1
1,1,1,1,0.611146927,I,150,-1
1,1,-1,0,1.491473913,V,450,-1
1,-1,-1,1,0.94114995,V,150,1
1,1,-1,0,2.942331076,I,450,1
1,-1,1,1,0.701264143,V,100,1
1,1,-1,0,2.05183816,V,250,-1
1,-1,-1,0,0.671046019,V,450,1
1,1,-1,0,0.961386919,I,850,1
1,-1,-1,0,1.761538982,I,150,1
1,1,1,1,0.751265049,I,100,-1
1,1,-1,0,2.18186307,I,150,1
1,1,-1,0,1.161517143,V,850,-1
1,-1,-1,0,0.751172066,V,250,-1
1,1,-1,0,1.201484919,I,250,1
1,-1,-1,0,1.03137517,I,850,1
1,1,1,0,1.161231995,V,150,-1
1,-1,1,0,0.881279945,V,100,-1
1,1,1,0,1.421657085,V,450,-1
1,-1,-1,0,2.471913099,V,850,-1
1,-1,1,1,1.081515074,I,100,-1
1,1,1,1,0.841466904,I,450,-1
1,1,1,1,0.631201029,I,150,-1
1,-1,1,1,1.331490994,I,450,-1
1,1,1,1,0.691352129,I,250,-1
1,1,1,1,0.501161099,V,250,1
1,1,1,1,0.571165085,I,850,-1
1,-1,-1,1,0.921323061,I,250,1
1,-1,1,0,0.931442976,V,850,1
1,-1,-1,1,0.961391926,I,100,1
1,-1,-1,1,0.701115847,I,450,1
1,-1,1,0,0.841258049,I,150,-1
1,-1,-1,0,0.88105607,V,250,1
1,-1,1,0,0.831424952,I,250,-1
1,1,1,1,0.781257153,V,150,1
1,-1,-1,1,0.760972023,V,450,-1
1,1,-1,1,1.711512089,V,100,-1
1,1,1,1,0.561245918,V,450,1
1,-1,1,0,1.011546135,V,150,1
1,-1,-1,0,1.861717939,V,150,-1
1,1,-1,0,0.971456766,I,100,1
1,-1,-1,0,1.051225185,I,850,-1
1,1,1,1,0.801304817,V,850,1
1,1,1,1,0.981472969,V,100,1
1,1,1,1,0.661509037,V,850,1
1,1,1,0,1.721823931,I,150,1
1,-1,-1,1,1.791820049,V,100,1
1,1,1,0,4.762994051,V,450,-1
1,-1,1,0,1.541604042,V,250,1
1,-1,-1,1,1.171452999,I,100,1
1,-1,-1,1,1.071404934,I,450,-1
1,1,1,0,0.81133008,V,450,1
1,1,1,1,2.201978922,I,850,-1
1,1,1,0,2.021782875,I,250,1
1,-1,-1,1,3.242151976,V,250,-1
1,-1,-1,1,1.311480999,I,850,1
1,1,-1,0,1.521542072,V,850,-1
1,-1,-1,1,1.341421843,V,450,-1
1,-1,-1,1,1.441401005,I,450,1
1,-1,-1,1,0.891172886,V,100,-1
1,-1,-1,0,0.771299124,V,150,-1
1,-1,1,0,3.042383909,I,250,-1
1,1,-1,0,1.481473923,V,150,-1
1,-1,1,1,0.93118906,V,450,1
1,-1,-1,0,0.981302023,V,850,1
1,1,1,1,0.871402025,V,250,1
1,1,1,1,0.881273985,I,100,-1
1,-1,1,0,1.570948124,I,100,-1
1,-1,1,0,1.191595078,I,150,1
1,-1,1,0,4.592902899,I,850,-1
1,1,1,0,0.751413107,V,100,1
1,1,-1,0,1.581506968,I,450,1
1,1,1,1,0.881525993,V,150,1
1,1,1,0,2.791992903,I,850,1
1,-1,1,1,0.931242943,I,150,-1
1,1,-1,0,1.151462078,I,100,1
1,1,1,0,0.951287985,V,250,-1
1,-1,-1,1,0.900348902,I,250,1
1,1,1,0,2.871942997,V,100,-1
1,1,1,1,0.87129879,I,250,-1
1,-1,-1,0,0.841168881,V,150,1
1,1,1,1,0.611454964,I,150,-1
1,1,1,1,0.701263905,I,450,-1
1,-1,-1,1,0.981283903,V,850,-1
1,-1,-1,0,0.781198025,I,850,-1
1,1,1,1,0.761425018,V,150,1
1,-1,-1,1,0.910941124,I,450,1
1,-1,-1,1,1.101301193,V,250,-1
1,-1,-1,0,1.060651064,I,150,-1
1,1,1,1,0.681382179,V,450,-1
1,-1,-1,1,0.971410036,V,150,1
1,1,1,1,0.831265926,I,450,-1
1,1,1,1,0.591242075,V,450,1
1,1,1,1,0.861396074,I,250,1
1,-1,1,0,1.711477995,I,850,1
1,-1,-1,0,1.341583014,V,250,1
1,1,1,1,0.761205912,I,150,1
1,-1,1,1,0.851428032,I,250,-1
1,1,1,1,0.951287031,V,150,-1
1,-1,1,1,1.321609974,I,100,1
1,1,1,0,0.701142073,I,450,1
1,-1,-1,1,0.931357861,V,450,1
1,-1,1,0,3.562237024,I,100,-1
1,1,1,0,1.471611023,I,250,-1
1,1,1,0,1.211463928,I,100,1
1,1,1,1,1.191723824,V,850,-1
1,-1,-1,1,1.361550093,V,150,-1
1,1,1,1,0.771193028,V,250,-1
1,-1,-1,1,0.911231041,V,450,-1
1,1,1,1,0.791213989,V,250,1
1,-1,-1,1,0.671144962,V,100,-1
1,-1,-1,0,2.071861982,I,450,-1
1,1,-1,1,3.362330914,V,850,1
1,-1,-1,0,2.611788034,V,100,1
1,-1,1,0,2.211904049,V,850,1
1,-1,-1,1,0.871251822,V,850,-1
1,1,-1,0,2.441854954,V,100,-1
1,-1,-1,0,1.651644945,I,150,1
1,1,-1,0,2.371958017,I,850,-1
1,1,-1,0,1.43138814,I,850,1
1,1,1,1,1.031548977,I,150,-1
1,1,1,1,0.691172123,I,100,-1
1,-1,-1,1,0.801271915,I,250,1
1,1,1,1,0.511216164,V,100,1
1,1,-1,0,1.151419163,I,450,1
1,1,1,1,0.561365843,I,450,-1
1,1,1,1,0.611238957,I,850,-1
1,1,1,1,0.561274052,V,850,1
1,1,1,1,0.671339989,V,150,-1
1,-1,-1,1,0.671036005,V,100,-1
1,1,-1,0,0.82130599,V,450,-1
1,-1,-1,0,0.610944033,V,150,-1
1,-1,-1,1,0.661098957,I,250,-1
1,-1,-1,1,0.921380043,I,450,-1
1,-1,-1,1,0.741354227,V,450,-1
1,-1,-1,0,0.540997028,V,150,1
1,1,1,0,0.851355076,V,100,1
1,1,-1,0,2.862145186,I,150,1
1,-1,-1,1,0.88123703,V,100,1
1,1,1,1,0.551151037,I,150,-1
1,1,-1,0,1.431674004,V,250,-1
1,-1,-1,1,1.031280041,V,250,-1
1,-1,-1,0,2.331936836,I,100,-1
1,-1,1,0,1.831991911,V,450,1
1,1,1,1,0.601225138,V,150,1
1,-1,-1,0,0.801258087,I,150,-1
1,1,1,0,2.181785107,V,850,-1
1,-1,-1,1,1.161360979,V,850,1
1,1,1,1,1.051284075,I,100,1
1,1,1,1,1.061374188,I,850,1
1,1,1,0,0.901554108,I,250,1
1,1,1,1,0.63101697,V,450,1
1,-1,-1,0,1.50131011,I,150,1
1,-1,-1,1,0.761232853,I,450,1
1,1,-1,1,0.821252108,V,100,-1
1,1,1,0,1.221528053,I,100,-1
1,-1,1,1,1.111402988,I,850,-1
1,-1,-1,1,0.791340828,I,850,1
1,1,1,1,0.86137104,I,250,-1
1,1,1,1,0.521219015,V,250,1
1,-1,-1,1,0.891258001,I,100,1
1,-1,-1,1,1.371582985,V,850,-1
1,-1,-1,0,0.850441933,V,250,1
1,-1,-1,1,0.681106091,I,250,1
1,-1,-1,0,2.421742916,V,250,1
1,1,1,1,0.691219091,I,450,-1
1,-1,-1,1,0.911391974,V,250,-1
1,1,-1,0,1.081229925,I,450,1
1,1,1,0,2.182002068,V,450,1
1,-1,-1,1,0.910942078,I,850,1
1,-1,-1,1,0.69118619,V,450,-1
1,1,1,0,3.982614994,V,450,-1
1,-1,-1,1,0.681212902,V,850,1
1,-1,-1,1,0.691320896,I,450,-1
1,1,1,1,0.701400995,V,150,1
1,-1,-1,0,1.061438084,I,100,1
1,1,1,0,1.691684961,I,100,1
1,-1,-1,0,2.241881132,V,100,-1
1,1,1,1,0.701388121,I,850,-1
1,1,1,0,2.391978025,V,850,-1
1,1,1,1,0.671133041,I,100,-1
1,-1,-1,1,0.761322022,I,250,1
1,-1,1,0,0.921504021,V,150,1
1,1,1,1,0.531450987,I,250,-1
1,1,-1,0,1.94178009,V,100,-1
1,1,-1,1,0.991246939,I,250,1
1,-1,1,1,0.601296902,V,450,1
1,1,1,1,0.861475945,I,150,1
1,1,-1,1,0.691258192,V,100,1
1,1,1,0,0.871374846,V,250,-1
1,1,1,1,0.620970011,I,150,-1
1,1,1,1,0.681205988,V,850,1
1,1,1,1,0.531191111,V,250,1
1,-1,1,1,0.66138196,V,100,1
1,-1,1,1,0.58126092,I,150,-1
1,1,1,1,1.301474094,I,850,1
1,1,1,0,1.321475983,V,150,-1
1,-1,-1,0,1.171410084,I,450,1
1,-1,-1,0,1.681401968,I,250,-1
1,-1,-1,0,0.701097012,I,100,-1
1,-1,-1,0,1.821624994,V,850,-1
1,-1,-1,0,2.011801958,I,850,-1
1,-1,-1,1,0.921163797,V,150,-1
1,-1,-1,0,2.30177784,I,150,1
1,1,1,0,0.711342096,V,850,1
1,1,1,1,1.041603804,V,450,1
1,-1,-1,1,0.651106834,V,450,-1
1,-1,1,0,2.252013922,V,450,1
1,1,-1,0,1.011029959,I,850,1
1,1,1,1,0.771342993,V,100,-1
1,1,-1,0,0.791151047,I,450,1
1,-1,-1,1,0.581233025,I,850,1
1,-1,-1,0,1.151424885,I,450,-1
1,-1,-1,0,2.691986084,I,250,-1
1,-1,-1,1,0.761090994,V,100,1
1,1,1,0,1.461491823,V,850,-1
1,1,1,0,0.701032877,V,150,-1
1,1,1,1,0.581244946,V,150,1
1,1,1,1,1.071556091,V,250,1
1,-1,1,0,2.722126007,V,250,-1
1,-1,-1,1,0.551170111,V,150,1
1,1,-1,0,2.70201087,V,450,-1
1,-1,-1,1,0.801129103,I,450,1
1,-1,-1,1,0.721097946,V,850,-1
1,-1,-1,1,0.631145954,V,100,-1
1,-1,-1,1,0.841280937,I,150,1
1,1,-1,0,1.481593132,V,250,-1
1,1,-1,1,0.931417942,I,100,1
1,-1,-1,0,2.622095823,V,250,1
1,1,1,1,0.531244993,I,150,-1
1,-1,-1,1,1.351521015,I,250,1
1,1,-1,1,0.881412983,I,150,1
1,-1,-1,0,0.85148406,I,150,-1
1,1,1,1,0.691225052,I,250,-1
1,-1,-1,0,2.391838074,V,850,1
1,1,1,1,1.201272965,I,250,1
1,-1,-1,0,0.921290159,I,100,-1
1,-1,1,0,2.08189106,I,100,1
1,1,1,1,0.881409884,I,450,-1
1,1,1,1,0.631285906,I,100,-1
1,1,1,1,0.661190033,I,850,-1
1,1,1,1,0.471180916,V,100,1
1,-1,1,1,0.641323805,I,850,-1
