Subj_idx,Stimulus,Response,Confidence,RT_dec,Coherence,Accuracy
1,1,1,2.926235758,0.23896151,0.59,1
1,2,2,3.142692779,0.621510663,0.56,1
1,2,1,3.880936085,0.329998324,0.56,0
1,1,1,4.919151536,0.255448603,0.59,1
1,1,1,4.872355649,0.364603067,0.59,1
1,1,1,5.206802925,1.622136265,0.56,1
1,1,1,5.1715568,0.01243027,0.56,1
1,2,2,4.073077037,0.281541071,0.53,1
1,1,1,5.642541028,0.189772477,0.53,1
1,1,1,3.617651561,0.202112815,0.5,1
1,2,1,4.459400886,0.241178704,0.5,0
1,1,1,5.808096976,0.327169395,0.53,1
1,2,1,5.376043819,0.164156996,0.53,0
1,2,2,4.308587036,1.522055632,0.56,1
1,2,1,4.369611686,0.34392979,0.56,0
1,1,2,1.063975756,1.070986862,0.59,0
1,1,1,5.309115638,0.253095053,0.62,1
1,2,2,5.017803802,0.321205097,0.62,1
1,1,1,3.933126234,1.341024629,0.59,1
1,1,1,4.079852621,1.317581262,0.59,1
1,2,2,4.535959535,0.377770726,0.56,1
1,2,2,5.131288343,0.433810771,0.56,1
1,2,2,4.340401973,1.930712691,0.53,1
1,1,1,5.184362276,0.821322962,0.53,1
1,1,1,5.30049961,0.128760204,0.5,1
1,2,1,3.924574806,0.765600341,0.5,0
1,2,2,4.414115803,0.769535773,0.53,1
1,1,1,5.16906643,1.136939892,0.53,1
1,1,1,4.211841412,1.953241106,0.5,1
1,2,1,4.08486369,0.380300743,0.5,0
1,2,1,5.948396187,0.466912749,0.53,0
1,1,1,6,0.403989819,0.56,1
1,2,1,4.676878111,0.405296816,0.56,0
1,2,1,4.249104817,2.155985379,0.59,0
1,2,1,5.487256072,0.734559448,0.62,0
1,1,1,5.096447112,0.176912485,0.65,1
1,2,1,4.824836681,1.075383533,0.65,0
1,1,1,4.936762376,1.470172153,0.68,1
1,1,1,1.963892487,0.252879482,0.68,1
1,2,2,4.833526855,1.455213345,0.65,1
1,2,2,4.12302573,0.697853763,0.65,1
1,1,1,4.996411653,0.288451895,0.62,1
1,2,2,4.99731339,0.254298935,0.62,1
1,2,1,4.265821131,0.353041395,0.59,0
1,1,1,4.810044916,0.525907929,0.62,1
1,2,1,2.776355064,0.653684032,0.62,0
1,2,2,4.046146921,1.220402296,0.65,1
1,1,1,5.165774026,0.446645349,0.65,1
1,1,1,4.173760535,0.839003193,0.62,1
1,1,1,4.463105819,0.380384512,0.62,1
1,1,1,5.472522632,0.770191174,0.59,1
1,1,1,5.102791484,0.293838345,0.59,1
1,2,2,1.024000118,1.175332735,0.56,1
1,2,2,3.9435482,1.182273856,0.56,1
1,2,2,2.678416438,3.005840792,0.53,1
1,2,2,3.932175177,0.454626333,0.53,1
1,1,1,2.471618164,1.273824863,0.5,1
1,1,1,5.136496847,1.035941365,0.5,1
1,1,1,5.987146562,0.420170929,0.5,1
1,1,2,5.66327462,0.213010239,0.5,0
2,2,2,4.600569689,0.013669707,0.7,1
2,1,1,1.705030123,2.243623546,0.7,1
2,2,2,4.656417762,19.74137871,0.67,1
2,2,2,1.839575097,0.926378665,0.67,1
2,1,1,4.617255811,0.215648661,0.64,1
2,2,2,3.947677635,2.279093897,0.64,1
2,1,1,2.851875922,1.488849453,0.61,1
2,2,2,4.108904885,1.038522077,0.61,1
2,2,1,4.021411619,1.832241032,0.58,0
2,2,2,3.72882762,0.155335963,0.61,1
