Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SOA,Accuracy,Training
1,2,1,3,2.1861,0.6,33.3,0,0
1,2,2,4,0.7999,0.6133,66.7,1,0
1,1,1,2,2.1727,2.4127,16.7,1,0
1,2,2,4,0.5333,0.3467,133.3,1,0
1,2,2,4,1.4396,0.4932,66.7,1,0
1,2,1,3,1.2397,0.3201,16.7,0,0
1,2,2,3,1.9861,0.7866,16.7,1,0
1,1,1,4,0.7065,0.36,133.3,1,0
1,1,1,4,0.5599,0.36,133.3,1,0
1,1,1,4,1.0398,0.3467,66.7,1,0
1,1,1,4,0.6132,0.36,133.3,1,0
1,1,1,4,0.7199,0.5067,66.7,1,0
1,1,1,3,1.1331,0.3334,33.3,1,0
1,2,2,4,0.5599,0.4267,133.3,1,0
1,2,1,1,1.9461,0.6533,16.7,0,0
1,2,2,3,1.0798,0.5333,66.7,1,0
1,1,1,2,2.0528,0.44,33.3,1,0
1,1,1,4,0.5999,0.36,133.3,1,0
1,2,1,3,2.2793,0.4533,33.3,0,0
1,1,1,3,1.2265,1.1998,66.7,1,0
1,2,2,4,0.6532,1.453,66.7,1,0
1,1,1,4,0.6532,0.7866,66.7,1,0
1,1,1,1,2.346,0.8932,16.7,1,0
1,2,1,2,2.3327,1.6396,33.3,0,0
1,2,1,2,1.2397,0.6799,16.7,0,0
1,2,2,2,3.0923,1.2264,33.3,1,0
1,1,1,4,0.6132,0.5733,133.3,1,0
1,1,1,2,2.7325,1.3064,33.3,1,0
1,2,2,4,0.5333,0.3867,133.3,1,0
1,1,2,2,2.6925,1.0265,33.3,0,0
1,1,1,1,3.0124,0.8665,16.7,1,0
1,1,1,2,1.333,0.5067,16.7,1,0
1,1,1,1,2.3593,0.5466,16.7,1,0
1,2,2,2,1.4929,0.6933,33.3,1,0
1,2,2,1,2.386,0.3867,16.7,1,0
1,2,2,4,0.7465,0.48,133.3,1,0
1,2,2,2,1.7062,0.8399,33.3,1,0
1,1,1,3,1.293,0.4133,66.7,1,0
1,1,1,3,2.5326,0.9998,66.7,1,0
1,2,2,3,0.9465,2.0661,33.3,1,0
1,1,1,4,1.1997,0.6266,66.7,1,0
1,1,1,4,0.5599,0.5999,133.3,1,0
1,1,1,3,1.0797,0.4933,66.7,1,0
1,2,2,4,0.6132,0.6133,133.3,1,0
1,2,2,4,0.7998,0.36,133.3,1,0
1,2,2,4,0.7599,0.4267,66.7,1,0
1,2,2,3,2.0394,0.32,66.7,1,0
1,1,1,2,1.413,0.3067,16.7,1,0
1,1,1,4,0.8265,0.3734,133.3,1,0
1,2,2,4,1.2397,0.5866,133.3,1,0
1,2,1,2,2.0528,1.2264,16.7,0,0
1,1,2,2,1.9728,0.7599,33.3,0,0
1,2,2,4,0.5066,0.4933,133.3,1,0
1,2,2,2,1.253,0.3067,33.3,1,0
1,1,1,4,1.213,0.9332,133.3,1,0
1,1,1,2,1.2664,1.6263,33.3,1,0
1,2,2,3,0.9065,1.2398,33.3,1,0
1,2,1,2,1.5729,0.9331,16.7,0,0
1,1,2,2,1.5196,1.6263,16.7,0,0
1,1,1,2,1.7862,1.0931,16.7,1,0
1,2,2,3,0.9598,0.44,33.3,1,0
1,1,1,4,0.6266,0.52,133.3,1,0
1,1,1,4,0.6399,0.5066,133.3,1,0
1,1,1,2,2.5992,1.9595,33.3,1,0
1,2,2,4,0.7199,0.5866,66.7,1,0
1,2,1,2,1.5329,1.0265,16.7,0,0
1,2,2,4,0.6399,1.1198,33.3,1,0
1,1,2,3,2.0661,0.9465,16.7,0,0
1,1,2,2,0.8798,0.4267,16.7,0,0
1,1,1,4,0.9065,0.3333,133.3,1,0
1,2,1,2,1.8928,0.4,16.7,0,0
1,1,1,3,0.8398,0.3732,66.7,1,0
1,2,2,4,0.8398,0.3734,66.7,1,0
1,2,2,2,2.386,1.2264,33.3,1,0
1,2,1,2,6.8245,0.4667,16.7,0,0
1,1,1,3,0.6932,0.2934,66.7,1,0
1,2,2,4,0.6932,0.3066,66.7,1,0
1,2,2,3,1.4396,0.9998,33.3,1,0
1,2,2,4,0.6132,0.48,66.7,1,0
1,2,2,4,0.5332,0.3467,133.3,1,0
1,1,1,3,1.4396,0.5066,33.3,1,0
1,2,2,4,0.8532,0.8665,66.7,1,0
1,2,2,4,0.8531,2.6393,66.7,1,0
1,1,1,4,0.8265,0.4667,33.3,1,0
1,2,2,4,0.4933,0.3067,133.3,1,0
1,1,2,2,1.9594,0.2934,16.7,0,0
1,2,2,2,1.1064,0.6399,33.3,1,0
1,2,2,2,0.9331,0.4,16.7,1,0
1,2,2,2,2.0394,1.7729,33.3,1,0
1,2,2,4,0.5599,0.7999,66.7,1,0
1,2,2,4,0.5732,0.3334,66.7,1,0
1,1,2,2,1.2397,0.2934,33.3,0,0
1,1,1,4,0.5999,0.4133,133.3,1,0
1,2,2,2,2.5992,1.1065,16.7,1,0
1,1,1,4,0.48,0.2934,133.3,1,0
1,2,1,2,1.8395,0.32,16.7,0,0
1,1,2,2,1.2797,0.6667,16.7,0,0
1,1,1,2,1.2397,0.4667,33.3,1,0
1,2,2,4,0.4267,0.2934,133.3,1,0
1,2,2,4,0.44,0.3334,133.3,1,0
1,2,2,3,1.5996,0.2668,66.7,1,0
1,1,2,2,1.5463,0.2801,16.7,0,0
1,1,2,1,1.4263,1.4262,16.7,0,0
1,1,2,3,0.8398,0.44,66.7,0,0
1,2,2,2,0.6532,4.0122,16.7,1,0
1,1,2,2,0.8265,1.653,33.3,0,0
1,1,1,3,1.0131,0.8932,66.7,1,0
1,1,1,4,0.5199,0.4,133.3,1,0
1,1,1,4,0.6532,0.2801,133.3,1,0
1,1,1,3,1.3463,0.3867,33.3,1,0
1,1,1,2,2.1461,3.0525,16.7,1,0
1,2,1,2,0.8132,0.3467,16.7,0,0
1,1,2,1,1.5196,0.3467,33.3,0,0
1,1,1,4,0.5866,0.3067,133.3,1,0
1,2,2,4,0.9331,0.3201,66.7,1,0
1,2,2,3,1.0398,0.2934,33.3,1,0
1,2,2,4,0.7998,0.3067,66.7,1,0
1,1,1,4,0.44,0.2933,133.3,1,0
1,2,2,4,0.4933,0.7199,133.3,1,0
1,2,2,4,0.4266,0.3467,133.3,1,0
1,1,2,3,2.2927,1.2664,16.7,0,0
1,1,2,2,0.6666,1.0265,33.3,0,0
1,1,1,4,0.5733,0.3732,66.7,1,0
1,1,1,4,0.6266,0.3335,66.7,1,0
1,2,2,4,0.4666,0.2801,66.7,1,0
1,2,2,4,0.4266,0.2667,133.3,1,0
1,1,1,3,0.8665,0.4667,33.3,1,0
1,2,1,4,0.6399,0.7466,33.3,0,0
1,1,1,3,0.6266,1.1331,33.3,1,0
1,2,2,4,0.5466,0.3201,133.3,1,0
1,1,1,2,1.413,0.48,16.7,1,0
1,2,2,2,1.1597,0.5467,16.7,1,0
1,2,2,2,2.5326,0.44,16.7,1,0
