Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Session,Gender,Age,Training
1,1,2,-1,37.007699237,0.064,1,male,21,1
1,2,1,-0.546898603799,30.5559295032,0.032,1,male,21,1
1,1,2,-0.789089799344,8.77403509312,0.032,1,male,21,1
1,2,2,0.230151827268,4.01600382652,0.128,1,male,21,1
1,2,1,0.619043259327,3.66583290346,0.064,1,male,21,1
1,2,2,1,4.31599208518,0.256,1,male,21,1
1,2,1,-0.578149080644,7.90718473549,0.016,1,male,21,1
1,1,1,0.325398641947,4.86596430377,0.128,1,male,21,1
1,1,2,0.412680247196,2.83254576555,0.256,1,male,21,1
1,1,1,0.452384222171,2.69111623538,0.016,1,male,21,1
1,1,1,1,2.5575476262,0.256,1,male,21,1
1,1,2,0.087296864271,2.48244573963,0.032,1,male,21,1
1,1,1,-0.882841229877,8.26576675418,0.016,1,male,21,1
1,2,2,1,2.66586530441,0.256,1,male,21,1
1,2,1,-1.52590218967e-05,5.21582629495,0.016,1,male,21,1
1,1,1,1,2.42446150253,0.128,1,male,21,1
1,1,2,0.880949111162,2.32416899569,0.064,1,male,21,1
1,2,2,0.277759975586,2.54105778534,0.128,1,male,21,1
1,2,2,0.619043259327,5.2740302811,0.064,1,male,21,1
1,2,1,0.484122987716,2.39923623569,0.032,1,male,21,1
1,1,2,0.388876173037,2.15779682483,0.064,1,male,21,1
1,1,1,0.499992370489,2.39113054313,0.032,1,male,21,1
1,1,1,1,2.09926241309,0.256,1,male,21,1
1,2,2,0.515861753262,2.07429346668,0.128,1,male,21,1
1,2,1,0.230151827268,3.05753703975,0.064,1,male,21,1
1,1,2,0.69839017319,1.99115357668,0.016,1,male,21,1
1,1,1,1,2.09948569097,0.128,1,male,21,1
1,2,2,1,2.09097867568,0.256,1,male,21,1
1,2,2,-0.328145265888,6.99059987322,0.032,1,male,21,1
1,2,1,-0.546898603799,2.32425304569,0.016,1,male,21,1
1,1,1,1,2.06618392451,0.256,1,male,21,1
1,2,1,-0.171892881666,4.09071112719,0.016,1,male,21,1
1,2,2,0.690455481804,2.20777545945,0.032,1,male,21,1
1,2,2,1,1.91590989583,0.256,1,male,21,1
1,1,1,1,2.0492674176,0.128,1,male,21,1
1,2,2,1,2.04924175348,0.064,1,male,21,1
1,2,2,1,2.17427896645,0.128,1,male,21,1
1,1,1,1,1.94915584282,0.064,1,male,21,1
1,1,2,-0.0234531166552,2.32425689531,0.016,1,male,21,1
1,1,1,0.0158846417945,2.47443564593,0.032,1,male,21,1
1,2,2,0.317463950561,2.67420646531,0.016,1,male,21,1
1,1,1,0.976165407797,1.95759324418,0.064,1,male,21,1
1,2,2,1,2.16592240709,0.128,1,male,21,1
1,1,1,1,2.07426523615,0.256,1,male,21,1
1,1,1,-0.601586938277,3.95747166039,0.016,1,male,21,1
1,1,2,-1,3.79913588897,0.032,1,male,21,1
1,2,2,1,2.59110956271,0.032,1,male,21,1
1,1,1,1,2.40757483017,0.128,1,male,21,1
1,2,2,0.436514839399,3.35751695757,0.064,1,male,21,1
1,2,2,0.936491950866,2.7408869906,0.256,1,male,21,1
1,1,1,-1,4.73242039631,0.032,1,male,21,1
1,2,2,1,2.14925676699,0.256,1,male,21,1
1,2,2,-0.117204547189,2.44925208329,0.016,1,male,21,1
1,2,2,0.253955901427,2.16591406625,0.064,1,male,21,1
1,1,1,0.976165407797,2.11591169232,0.256,1,male,21,1
1,1,1,-0.601586938277,4.28244683035,0.064,1,male,21,1
1,1,1,-0.375020981155,3.082514327,0.016,1,male,21,1
1,1,1,0.531731136034,5.68235546607,0.128,1,male,21,1
1,2,2,-0.812527656977,5.1740807111,0.032,1,male,21,1
1,2,2,1,2.17425939756,0.128,1,male,21,1
1,1,1,0.222217135882,2.56583649644,0.016,1,male,21,1
1,1,1,-0.218768596933,2.55756238307,0.128,1,male,21,1
1,1,1,1,1.96594723713,0.256,1,male,21,1
1,2,2,1,2.01598906965,0.064,1,male,21,1
1,1,1,1,2.24927851733,0.032,1,male,21,1
1,2,2,0.587304493782,2.14094479904,0.016,1,male,21,1
1,1,1,0.809506370642,4.19080345388,0.064,1,male,21,1
1,2,2,1,2.04096892331,0.256,1,male,21,1
1,2,2,-0.289082169833,3.80751362123,0.032,1,male,21,1
1,2,2,0.920622568093,2.28246543684,0.128,1,male,21,1
1,2,2,0.952361333639,2.06591573442,0.032,1,male,21,1
1,2,2,1,1.99092003316,0.016,1,male,21,1
1,2,2,1,2.09930187168,0.128,1,male,21,1
1,2,2,1,1.95759292337,0.256,1,male,21,1
1,1,2,1,1.90760594792,0.016,1,male,21,1
1,1,1,0.976165407797,2.01615620725,0.256,1,male,21,1
1,1,1,-0.625024795911,2.46591740259,0.032,1,male,21,1
1,1,1,1,1.94093947373,0.128,1,male,21,1
1,1,1,0.214282444495,2.27426318302,0.064,1,male,21,1
1,2,2,0.76983291371,2.10763116292,0.064,1,male,21,1
1,2,2,-0.304707408255,2.41980731376,0.064,1,male,21,0
1,1,1,1,2.26592394694,0.256,1,male,21,0
1,2,2,0.0158846417945,2.12424290836,0.016,1,male,21,0
1,1,1,0.587304493782,2.01586620266,0.128,1,male,21,0
1,2,2,0.277759975586,3.31586023575,0.016,1,male,21,0
1,2,2,1,2.1242518908,0.128,1,male,21,0
1,1,1,1,2.23251663677,0.256,1,male,21,0
1,2,2,0.031754024567,2.08262756994,0.032,1,male,21,0
1,1,1,0.547600518807,1.9742627339,0.128,1,male,21,0
1,2,2,1,2.09091034495,0.256,1,male,21,0
