Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
1,2,1,0,1.418,1.8811,0.06,1
1,1,1,52,1.851,2.5305,0.11,1
1,1,NaN,NaN,NaN,NaN,0.11,1
1,2,2,66,2.651,1.8639,0.11,1
1,1,2,42,1.301,1.8808,0.16,2
1,1,2,67,2.534,1.2145,0.21,2
1,2,2,30,1.868,3.1301,0.06,1
1,1,2,27,1.285,2.1143,0.26,2
1,1,2,36,2.201,3.0308,0.06,1
1,2,2,11,2.351,2.2805,0.11,1
1,2,2,57,1.451,2.1307,0.31,2
1,2,2,42,0.951,2.797,0.11,1
1,1,1,21,1.101,2.1474,0.31,2
1,1,1,14,1.051,3.8968,0.06,1
1,2,1,43,4.1,2.6143,0.26,2
1,1,2,17,1.251,2.5974,0.06,1
1,2,2,43,4,4.43,0.31,2
1,1,1,52,2.501,2.3307,0.11,1
1,1,2,15,1.501,1.7313,0.11,1
1,1,1,32,2.501,2.947,0.31,2
1,2,1,19,1.401,2.9976,0.16,1
1,1,1,52,3.134,1.9138,0.26,2
1,1,1,37,2.101,2.4802,0.26,2
1,2,NaN,NaN,NaN,NaN,0.21,2
1,2,2,81,1.251,2.9309,0.21,1
1,1,1,65,2.3,1.681,0.21,2
1,2,2,91,1.118,2.1143,0.21,1
1,1,1,60,3.433,2.0641,0.16,2
1,2,1,59,3.951,2.4971,0.16,2
1,1,1,46,1.601,1.3813,0.21,2
1,2,2,62,2.318,3.8469,0.16,1
1,1,1,49,1.168,3.2634,0.16,1
1,2,2,63,1.001,1.231,0.11,1
1,2,1,87,1.002,1.231,0.21,2
1,1,2,84,0.835,1.0646,0.11,1
1,2,2,84,2.251,1.8812,0.16,1
1,2,2,31,2.301,2.9476,0.26,2
1,1,1,92,0.901,2.9303,0.16,1
1,1,1,36,1.035,1.1143,0.26,2
1,1,2,31,2.75,0.89753,0.21,2
1,1,2,45,5.15,2.5972,0.26,2
1,1,NaN,NaN,NaN,NaN,0.11,1
1,2,2,66,1.851,1.0643,0.11,1
1,2,2,53,0.951,0.89819,0.31,2
1,2,2,79,0.951,1.1809,0.11,1
1,1,1,97,1.358,3.3781,0.31,3
1,1,1,81,1.258,1.7462,0.31,3
1,2,2,100,2.199,1.5799,0.26,3
1,1,1,52,5.223,1.7977,0.26,3
1,1,NaN,NaN,NaN,NaN,0.21,3
1,1,1,51,2.758,1.6807,0.21,3
1,1,NaN,NaN,NaN,NaN,0.21,3
1,2,2,47,3.907,1.9306,0.21,3
1,2,2,62,1.458,3.2972,0.16,3
1,1,NaN,NaN,NaN,NaN,0.16,3
1,2,NaN,NaN,NaN,NaN,0.16,3
1,2,2,100,1.808,2.6134,0.16,3
1,2,1,0,5.665,2.614,0.11,3
1,2,1,47,4.007,1.6811,0.16,3
1,1,NaN,NaN,NaN,NaN,0.21,3
1,1,NaN,NaN,NaN,NaN,0.21,3
1,2,2,75,1.958,3.5804,0.21,3
1,2,1,35,3.707,3.4966,0.21,3
1,1,NaN,NaN,NaN,NaN,0.26,3
1,2,2,92,0.908,1.5476,0.26,3
1,2,2,92,1.708,3.4966,0.26,3
1,1,2,74,1,5.296,0.21,3
1,2,2,77,1.117,1.5805,0.26,3
1,2,2,100,1.008,1.4641,0.26,3
1,1,NaN,NaN,NaN,NaN,0.21,3
1,1,1,33,1.075,3.7133,0.21,3
1,1,NaN,NaN,NaN,NaN,0.21,3
1,2,1,11,1.508,1.148,0.21,3
1,1,1,94,1.608,1.4478,0.26,3
1,1,1,48,7.756,1.6143,0.26,3
1,1,1,94,1.008,1.3141,0.21,3
1,2,2,57,3.999,1.1477,0.21,3
1,2,2,39,0.9,0.9977,0.16,3
1,1,2,22,0.958,3.0969,0.16,3
1,2,2,66,3.158,1.7643,0.21,3
1,2,2,32,1.258,1.8478,0.21,3
1,1,2,2,2.051,2.6969,0.06,1
1,2,1,29,2.65,2.3298,0.31,2
1,2,1,21,3.85,1.3142,0.36,2
1,1,1,62,2.268,2.0472,0.41,2
1,1,1,55,2.601,1.5474,0.11,1
1,1,NaN,NaN,NaN,NaN,0.11,1
1,2,1,34,1.251,4.4633,0.11,1
1,2,2,39,1.651,1.9976,0.41,2
1,2,1,40,1.552,3.0138,0.36,2
1,2,1,29,1.401,2.9307,0.41,2
1,1,2,58,1.151,1.6643,0.46,2
1,2,2,58,2.151,1.864,0.16,1
1,2,2,85,2.251,1.298,0.51,2
1,1,1,62,2.101,1.7141,0.51,2
1,1,1,65,1.551,1.8475,0.46,2
1,2,1,0,1.935,3.1304,0.16,1
1,2,2,58,2.101,1.8975,0.46,2
1,1,1,62,1.402,1.6642,0.41,2
1,1,1,74,1.751,1.1977,0.41,2
1,1,1,83,1.401,1.1976,0.36,2
1,1,NaN,NaN,NaN,NaN,0.21,1
1,2,NaN,NaN,NaN,NaN,0.21,1
1,1,2,54,1.201,1.9479,0.36,2
1,1,NaN,NaN,NaN,NaN,0.21,1
1,2,2,87,1.001,4.0967,0.21,1
1,1,2,33,2.351,1.5479,0.41,2
1,1,1,5,1.951,1.481,0.21,1
1,2,2,64,2.151,0.84769,0.46,2
1,2,2,48,1.701,1.8475,0.16,1
1,2,NaN,NaN,NaN,NaN,0.46,2
1,1,1,52,1.951,2.0479,0.51,2
1,2,2,76,1.601,2.5807,0.51,2
1,1,1,80,1.301,1.4148,0.16,1
1,2,2,35,1.001,2.6137,0.11,1
1,1,2,0,1.001,2.5637,0.11,1
1,2,NaN,NaN,NaN,NaN,0.46,2
1,1,1,46,1.835,1.7804,0.16,1
1,1,1,6,5.367,5.6294,0.51,2
1,1,1,56,3.817,1.015,0.51,2
1,1,2,35,2.601,2.5809,0.16,1
1,1,1,100,1.134,1.7812,0.46,2
1,1,1,72,0.901,1.3308,0.46,2
1,1,1,81,3,1.4642,0.21,1
1,2,2,80,1.851,2.8303,0.21,1
1,2,2,83,3.251,1.9806,0.41,2
1,2,2,59,1.151,2.1972,0.41,2
1,1,2,33,1.218,2.6137,0.16,1
1,1,NaN,NaN,NaN,NaN,0.21,1
