Subj_idx,Stimulus,Response,Confidence,RT_decConf,SOA,Session,Gender,Age,Training
1,2,2,-0.828152895399,3.03251616521,8.3,1,female,23,0
1,1,2,-0.914091706722,4.8907322882,8.3,1,female,23,0
1,2,2,0.984100099184,3.50771239977,133.3,1,female,23,0
1,1,1,0.984100099184,3.01583927565,133.3,1,female,23,0
1,2,2,-1,7.41553092082,8.3,1,female,23,0
1,2,2,-1,2.09091399043,33.3,1,female,23,0
1,2,2,-1,2.09922885626,8.3,1,female,23,0
1,1,1,0.952361333639,3.24082955536,133.3,1,female,23,0
1,1,1,0.960296025025,2.8909116165,16.7,1,female,23,0
1,1,1,-0.968780041199,4.34073819096,33.3,1,female,23,0
1,2,1,-0.960967421988,2.26590279444,16.7,1,female,23,0
1,1,1,0.92855725948,3.13269972809,66.7,1,female,23,0
1,1,1,0.777767605097,5.39065722055,16.7,1,female,23,0
1,1,1,0.69839017319,3.26583382202,133.3,1,female,23,0
1,1,2,0.777767605097,2.58251892411,66.7,1,female,23,0
1,1,1,0.214282444495,3.14103769166,33.3,1,female,23,0
1,2,1,-0.429709315633,2.54093015885,8.3,1,female,23,0
1,1,2,-0.820340276188,3.14990209124,16.7,1,female,23,0
1,1,1,1,2.30777354462,66.7,1,female,23,0
1,2,1,-0.960967421988,2.91584562753,16.7,1,female,23,0
1,2,2,1,3.21604888765,66.7,1,female,23,0
1,2,2,-1,3.40747205494,8.3,1,female,23,0
1,1,2,-0.992217898833,3.49913800515,16.7,1,female,23,0
1,2,2,-0.914091706722,5.38257269051,16.7,1,female,23,0
1,2,2,-0.851590753033,2.99918965427,16.7,1,female,23,0
1,1,2,-1,2.29922545576,33.3,1,female,23,0
1,2,2,0.896818493935,3.41607179291,133.3,1,female,23,0
1,1,2,-0.593774319066,4.29908719012,8.3,1,female,23,0
1,2,2,0.952361333639,2.93274387044,133.3,1,female,23,0
1,2,2,0.777767605097,3.99910528335,133.3,1,female,23,0
1,2,1,-1,3.64913312896,16.7,1,female,23,0
1,1,1,1,4.95373490466,66.7,1,female,23,0
1,2,1,-1,2.55752331909,16.7,1,female,23,0
1,2,2,-0.742214084077,2.82440905072,33.3,1,female,23,0
1,1,1,1,2.96584229119,66.7,1,female,23,0
1,2,2,-0.960967421988,2.82416909086,8.3,1,female,23,0
1,1,2,-1,2.24089756537,16.7,1,female,23,0
1,1,2,-1,2.91607596334,16.7,1,female,23,0
1,1,1,1,3.26603977688,66.7,1,female,23,0
1,1,2,0.325398641947,3.79905767634,133.3,1,female,23,0
1,2,1,0.904753185321,2.45780427744,66.7,1,female,23,0
1,2,1,-0.960967421988,2.82440199308,33.3,1,female,23,0
1,2,1,-1,2.28279013008,8.3,1,female,23,0
1,2,1,-1,2.72444010435,8.3,1,female,23,0
1,1,2,-0.617212176699,2.79109729667,33.3,1,female,23,0
1,1,1,1,2.38272025941,66.7,1,female,23,0
1,2,2,1,2.99083821701,66.7,1,female,23,0
1,1,2,-1,3.24914923322,33.3,1,female,23,0
1,1,1,1,2.4078101802,133.3,1,female,23,0
1,1,1,-1,3.49081094884,16.7,1,female,23,0
1,2,2,1,2.44920165226,133.3,1,female,23,0
1,2,1,-1,2.58255870355,16.7,1,female,23,0
1,1,1,1,2.55778798071,66.7,1,female,23,0
1,1,1,0.976165407797,2.88251783338,66.7,1,female,23,0
1,1,2,-0.890653849088,3.22414047533,16.7,1,female,23,0
1,2,1,-0.0703288319219,2.38279211905,33.3,1,female,23,0
1,1,1,1,2.99107753527,133.3,1,female,23,0
1,1,1,1,2.49089499895,133.3,1,female,23,0
1,1,1,-1,3.68245258226,16.7,1,female,23,0
1,2,1,-1,3.14080767666,8.3,1,female,23,0
1,2,2,0.976165407797,2.5244184823,133.3,1,female,23,0
1,1,1,-0.992217898833,2.58254138024,16.7,1,female,23,0
1,2,1,-0.570336461433,3.5324818394,33.3,1,female,23,0
1,1,1,1,2.39944206124,133.3,1,female,23,0
1,1,2,-0.882841229877,5.76556370678,33.3,1,female,23,0
1,1,1,1,2.26610810769,133.3,1,female,23,0
1,1,1,-1,3.20747673865,8.3,1,female,23,0
1,1,1,-0.929716945144,3.03250365393,8.3,1,female,23,0
1,1,1,-1,2.15761866143,16.7,1,female,23,0
1,2,2,0.880949111162,2.5408730561,133.3,1,female,23,0
1,2,1,1,2.51593230822,66.7,1,female,23,0
1,1,1,-1,2.44115369365,33.3,1,female,23,0
1,1,1,-0.960967421988,2.89083141601,33.3,1,female,23,0
1,1,1,1,2.54924566629,66.7,1,female,23,0
1,2,1,-1,2.34921024975,8.3,1,female,23,0
1,1,1,1,2.5160927092,133.3,1,female,23,0
1,1,1,-0.984405279622,2.74086259796,16.7,1,female,23,0
1,1,1,1,2.19913075503,133.3,1,female,23,0
1,2,2,0.666651407645,3.42414669888,33.3,1,female,23,0
1,1,1,-1,3.34083250673,8.3,1,female,23,0
1,1,1,-0.90627908751,2.89918060765,8.3,1,female,23,0
1,1,1,-0.90627908751,3.32413668986,16.7,1,female,23,0
1,1,2,-0.820340276188,3.35751805794,33.3,1,female,23,0
1,2,2,0.801571679255,2.37442015047,66.7,1,female,23,0
1,1,1,-0.859403372244,2.10756264941,8.3,1,female,23,0
1,1,2,-0.164080262455,2.52420643221,16.7,1,female,23,0
1,1,2,-0.429709315633,3.10771470954,8.3,1,female,23,0
1,1,1,-0.687525749599,3.02438479809,8.3,1,female,23,0
1,2,1,-0.781277180133,1.99927145876,33.3,1,female,23,0
1,2,2,0.952361333639,2.54111494077,66.7,1,female,23,0
1,2,2,0.841245136187,2.5325630023,133.3,1,female,23,0
1,1,2,0.126970321202,2.29549420824,66.7,1,female,23,0
1,2,1,-0.132829785611,2.23278737118,8.3,1,female,23,0
1,2,2,-0.632837415122,2.43278268747,8.3,1,female,23,0
1,2,1,-0.343770504311,2.87420457156,8.3,1,female,23,0
1,1,2,0.984100099184,2.97442181864,66.7,1,female,23,0
1,1,1,0.896818493935,2.39115350117,133.3,1,female,23,0
1,1,1,-0.1250171664,3.765830614,16.7,1,female,23,0
1,2,2,0.087296864271,2.5075375627,16.7,1,female,23,0
1,1,2,0.222217135882,2.49923552894,8.3,1,female,23,0
1,2,2,0.214282444495,2.74109838739,16.7,1,female,23,0
