Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Ease
1,1,1,0.85,0.52,0.5,4
1,2,2,0.51,0.36,0.62,3
1,1,2,0.53,0.48,0.66,2
1,1,1,0.52,0.52,2.64,3
1,1,2,0.49,0.52,1,2
1,2,2,0.53,0.48,1.86,5
1,2,2,0.68,0.4,1.36,5
1,1,1,0.15,0.52,1.1,4
1,2,2,0.68,0.42,0.62,2
1,2,1,0.48,0.46,0.96,4
1,1,2,0.86,0.56,1.06,4
1,2,2,0.91,0.48,3.82,5
1,2,2,0.9,0.4,2.6,5
1,2,2,0.53,0.72,2.66,4
1,2,2,0.93,0.32,3.46,4
1,1,1,0.54,0.48,2.9,3
1,1,2,0.89,0.42,3,3
1,1,2,0.51,0.32,2.62,4
1,1,2,0.3,0.42,1.38,5
1,2,2,0.51,0.36,1.76,6
1,1,2,0.48,0.38,0.56,6
1,2,2,0.45,0.6,1.88,7
1,2,2,0.86,0.72,3.32,4
1,2,2,0.8,0.36,1.18,6
1,1,2,0.24,0.38,3.1,6
1,2,2,0.97,0.4,2.74,5
1,1,2,0.81,0.42,2.42,3
1,2,2,0.92,0.48,3.84,5
1,1,2,0.04,0.56,2.7,4
1,1,1,0.48,0.48,0.96,3
1,2,2,0.97,0.6,0.74,7
1,2,2,0.91,0.32,3.42,4
1,1,2,0.03,0.42,1.92,5
1,1,2,0.83,0.32,3.26,4
1,2,2,0.85,0.36,0.5,7
1,2,2,0.72,0.34,0.54,7
1,1,2,0.13,0.32,0.52,6
1,1,2,0.43,0.76,0.72,7
1,2,2,0.47,0.34,1.74,8
1,2,2,0.49,0.38,0.98,8
1,1,2,0.23,0.34,2.32,7
1,1,2,0.51,0.6,1.02,8
1,1,2,0.47,0.28,0.54,9
1,1,1,0.78,0.3,3.16,10
1,2,1,0.47,0.32,2.64,10
1,1,2,0.25,0.26,2.28,11
1,1,1,0.86,0.3,3.32,10
1,1,2,0.47,0.6,0.94,8
1,2,1,0.49,0.32,0.58,10
1,1,2,0.01,0.28,3.56,9
1,1,2,0.53,0.32,1.86,6
1,1,2,0.51,0.34,1.76,7
1,2,2,0.49,0.34,1.78,8
1,1,2,0.21,0.26,2.36,11
1,1,2,0.08,0.76,1.42,7
1,2,2,0.48,0.36,1.82,7
1,2,2,0.87,0.34,3.74,7
1,2,2,0.9,0.38,1.8,8
1,1,2,0.11,0.34,1.76,12
1,1,1,0.87,0.44,1.34,13
1,2,2,0.92,0.34,1.44,13
1,2,2,0.9,0.4,3.4,12
1,1,1,0.94,0.46,1.88,12
1,2,2,0.97,0.36,0.74,11
1,1,2,0.47,0.38,1.04,11
1,2,2,0.91,0.48,3.42,12
1,2,2,0.76,0.36,2.32,12
1,2,2,0.95,0.28,3.9,11
1,2,2,0.93,0.26,1.86,11
1,1,2,0.06,0.26,0.66,10
1,2,2,0.89,0.4,3.38,12
1,1,2,0.25,0.34,1.48,12
1,1,2,0.06,0.26,0.66,10
1,1,2,0.22,0.38,1.54,11
1,2,2,0.98,0.26,1.96,11
1,2,2,0.99,0.34,1.58,13
1,2,2,0.98,0.36,2.84,12
1,2,2,0.94,0.28,3.88,11
1,2,2,0.99,0.36,0.78,11
1,1,1,0.98,0.44,1.64,13
1,1,1,0.69,0.46,1.38,12
1,2,2,0.94,0.48,3.48,12
2,2,2,0.63,0.5,2.06,18
2,2,2,0.86,-0.02,1.32,18
2,1,2,0.55,0.38,1.68,19
2,2,2,0.9,0.38,3.8,20
2,2,2,0.82,0.42,3.24,20
2,1,2,0.29,0.44,3.4,19
2,1,2,0.1,0.38,3.38,20
2,1,2,0.48,0.42,5.02,21
2,2,2,0.99,0.38,1.98,22
2,2,2,0.99,0.36,0.78,22
2,1,1,0.97,0.48,1.94,21
2,1,2,0.06,0.34,2.66,21
2,1,2,0.04,0.44,3.9,19
2,1,2,0.94,0.38,1.48,20
2,2,2,0.93,0.38,1.86,22
2,2,2,0.96,0.5,2.72,18
2,1,1,0.92,0.48,1.84,21
2,2,2,0.97,0.42,3.54,20
2,2,2,0.99,0.36,0.78,22
2,1,2,0.1,0.38,2.58,19
2,2,2,1,0.52,1.6,18
2,2,2,0.87,0.38,3.74,20
2,1,2,0,0.34,2.78,21
2,1,2,0.09,0.42,1.8,21
2,1,1,0.86,0.38,1.32,22
2,2,2,0.93,0.34,4.66,22
2,2,2,0.91,0.44,1.82,21
2,2,2,0.9,0.4,1.4,21
2,1,1,0.98,0.44,3.56,20
2,1,1,0.83,0.44,2.46,20
2,1,1,0.96,0.34,3.52,19
2,2,2,0.96,0.4,3.52,19
2,1,1,0.88,0.44,2.56,18
2,2,2,0.85,0.46,2.5,18
2,2,2,0.95,0.4,3.9,17
2,1,1,0.97,0.44,3.94,17
2,2,2,0.93,0.4,1.46,21
2,2,2,0.95,0.34,0.9,22
2,1,1,0.94,0.34,3.48,19
2,2,2,0.96,0.4,3.92,17
2,1,1,0.95,0.44,3.9,17
2,1,1,0.96,0.44,2.72,18
2,1,1,0.89,0.44,2.58,20
2,2,2,0.77,0.46,2.34,18
2,1,1,0.43,0.44,4.72,20
2,2,2,1,0.4,3.6,19
2,1,1,0.53,0.38,2.52,22
2,2,2,0.94,0.44,1.88,21
2,1,2,NaN,0.48,-0.02,15
2,1,1,0.87,0.48,3.74,16
2,1,1,0.83,0.46,1.66,16
2,2,2,0.91,0.36,1.82,15
2,1,1,0.85,0.46,1.3,15
2,2,2,0.94,0.4,2.68,14
2,2,2,0.88,0.42,3.76,14
2,1,1,0.6,0.52,2,13
2,1,1,0.79,0.44,3.58,13
2,2,2,0.69,0.44,1.38,12
2,2,2,0.85,0.44,3.7,12
2,1,1,0.94,0.38,0.68,11
2,1,1,0.93,0.38,0.66,11
2,2,2,0.77,0.44,3.54,12
2,1,1,0.83,0.46,1.26,15
2,1,1,0.84,0.48,3.68,16
2,2,2,0.9,0.42,3.8,14
2,1,1,0.9,0.44,3.8,13
2,1,1,0.96,0.46,1.92,16
2,2,2,0.97,0.36,1.94,15
2,2,2,0.96,0.4,2.72,14
2,1,1,0.62,0.52,2.04,13
2,1,2,0.2,0.48,1.18,15
2,2,2,0.68,0.44,1.36,12
2,1,1,0.85,0.44,1.3,11
2,1,1,0.71,0.42,3.02,11
2,2,2,0.86,0.36,3.32,10
2,2,2,0.83,0.34,1.26,10
2,2,1,0.59,0.42,2.78,9
2,2,2,0.83,0.42,1.26,10
2,1,2,0.48,0.46,1.82,10
2,2,2,0.62,0.38,4.04,11
2,2,2,0.72,0.44,2.24,11
2,1,2,0.42,0.34,3.14,10
2,1,1,0.85,0.5,2.5,11
2,2,2,0.89,0.42,0.58,11
2,1,2,0.15,0.46,2.48,10
2,1,1,0.95,0.5,2.7,11
2,1,2,0.19,0.34,3.6,10
2,2,2,0.96,0.42,0.72,11
2,2,2,0.46,0.36,2.52,10
2,2,1,0.71,0.42,3.02,9
2,2,2,0.74,0.42,1.08,10
2,1,1,0.91,0.42,3.42,11
2,1,1,0.94,0.44,1.48,11
2,2,2,0.94,0.38,0.68,11
2,2,2,0.91,0.34,1.42,10
2,2,2,0.97,0.44,2.74,11
2,2,2,0.91,0.46,1.42,10
2,2,2,0.84,0.44,1.68,10
2,2,2,0.91,0.42,3.42,9
2,1,1,0.72,0.5,1.04,9
2,1,1,0.62,0.54,1.24,8
2,1,1,0.61,0.38,1.22,8
2,2,2,0.74,0.5,1.08,7
2,2,2,0.68,0.36,4.16,7
2,1,2,0.22,0.42,4.34,6
2,1,2,0.22,0.34,1.14,7
2,1,2,0.26,0.48,2.26,8
2,2,2,0.79,0.42,3.58,9
2,1,2,0.65,0.42,2.1,6
2,1,1,0.64,0.38,1.28,8
2,1,1,0.55,0.5,0.7,9
2,1,2,0.05,0.48,2.68,8
2,1,2,0.78,0.34,3.16,7
2,2,2,0.75,0.44,1.5,10
2,2,2,0.81,0.42,3.62,9
2,2,2,0.6,0.5,0.8,7
2,2,2,0.57,0.36,1.64,7
2,2,2,0.81,0.46,1.22,10
2,1,1,0.79,0.54,1.58,8
2,2,2,0.45,0.42,0.68,9
2,1,2,0.06,0.46,0.66,9
2,1,1,0.62,0.38,0.74,10
2,2,2,0.92,0.38,2.64,10
2,2,2,0.58,0.5,0.82,9
2,1,1,0.89,0.48,3.78,9
2,1,1,0.9,0.5,0.6,8
2,2,2,0.59,0.46,1.6,8
2,2,2,0.79,0.4,2.38,7
2,2,2,0.71,0.4,1.42,7
2,1,2,0.09,0.5,3.4,6
2,2,2,0.41,0.48,2.42,7
2,1,2,0.59,0.46,2.78,7
2,2,2,0.81,0.38,2.42,10
2,2,2,0.71,0.4,2.22,7
2,2,2,0.79,0.4,1.58,7
2,1,1,0.62,0.5,1.54,8
2,1,2,0.29,0.46,1.38,9
2,2,2,0.9,0.5,3.8,9
2,1,1,0.88,0.38,3.76,10
2,1,2,0.35,0.5,2.88,6
2,1,2,0.35,0.46,0.88,7
2,2,2,0.72,0.48,3.04,7
2,1,1,0.5,0.48,0.98,9
2,2,2,0.9,0.46,0.6,8
2,1,2,0.41,0.38,1.96,8
2,2,2,0.83,0.46,1.26,9
2,1,1,0.55,0.46,1.68,9
2,1,1,0.93,0.46,1.46,8
2,1,1,0.91,0.44,3.82,8
2,2,2,0.98,0.4,0.76,7
2,1,1,0.64,0.42,0.7,7
2,2,2,0.61,0.46,2.76,6
2,1,2,0.56,0.38,1.12,6
2,2,2,0.83,0.5,3.26,7
2,1,1,0.74,0.52,2.28,7
2,2,2,0.72,0.42,1.04,6
2,1,1,0.22,0.46,2.34,9
2,2,2,0.8,0.5,3.2,7
2,2,2,0.98,0.46,1.56,9
2,2,2,0.87,0.42,1.34,6
2,1,1,0.92,0.52,2.64,7
2,1,1,0.59,0.42,0.8,7
2,2,2,0.88,0.4,0.56,7
2,1,2,0.28,0.38,2.22,8
2,1,1,0.72,0.46,1.04,8
2,1,1,0.89,0.44,3.78,8
2,1,2,0.31,0.38,3.36,6
2,2,2,0.8,0.46,1.6,6
2,1,2,0.31,0.48,0.96,6
2,2,2,0.81,0.46,1.62,7
2,2,2,0.45,0.42,0.68,7
2,2,2,0.75,0.38,3.5,6
2,1,2,0.3,0.4,2.98,6
2,2,2,0.79,0.46,2.38,7
2,1,1,0.75,0.48,2.3,7
2,2,2,0.49,0.44,1.78,6
2,2,2,0.54,0.42,1.7,6
2,1,2,0.28,0.42,1.02,5
2,2,2,0.4,0.56,1.18,6
2,1,2,0.28,0.36,3.42,6
2,1,2,0.46,0.4,2.66,6
2,2,2,0.44,0.38,1.1,6
2,2,2,0.72,0.56,3.44,6
2,2,2,0.73,0.42,3.06,7
2,1,2,0.27,0.48,1.04,6
2,2,2,0.77,0.44,2.34,6
2,1,1,0.77,0.48,2.34,7
2,2,2,0.8,0.42,4.4,6
2,1,2,0.4,0.36,3.18,6
2,2,2,0.73,0.46,1.46,7
2,2,2,0.79,0.46,2.38,7
2,1,2,0.33,0.42,0.92,5
2,2,2,0.58,0.44,3.16,7
2,1,1,0.69,0.5,2.98,7
2,2,2,0.77,0.4,2.34,6
2,2,2,0.75,0.46,4.3,6
2,2,1,0.45,0.34,2.5,5
2,2,2,0.66,0.4,1.32,6
2,1,2,0.32,0.44,1.44,6
2,1,1,0.43,0.52,1.12,7
2,2,2,0.43,0.38,2.86,7
2,1,1,0.51,0.4,1.76,6
