Subj_idx,Block,Trial,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,MADFilter
6,1,108,466.807611,410,-56.80761099,2,2,0.33546235,0.897400246,1,1
6,1,109,182.6638478,186,3.33615222,3,1,0.906382345,0.620483794,1,1
6,1,110,466.807611,410,-56.80761099,2,2,1.732878549,1.468609878,1,1
6,1,111,284.1437632,266,-18.14376321,1,2,1.881443111,1.107483926,1,1
6,1,112,466.807611,410,-56.80761099,1,2,0.628443282,0.783934755,1,1
6,1,113,466.807611,394,-72.80761099,1,2,0.226640545,1.187287224,1,1
6,1,114,466.807611,362,-104.807611,2,1,1.148046253,0.966286165,1,1
6,1,115,182.6638478,170,-12.66384778,3,2,0.91791595,1.310304346,1,1
6,1,116,466.807611,378,-88.80761099,2,1,0.976494172,1.369395241,1,1
6,1,117,182.6638478,186,3.33615222,3,1,1.778090716,1.166708408,1,1
6,1,118,466.807611,378,-88.80761099,2,2,1.51658582,1.744924211,1,1
6,1,119,466.807611,378,-88.80761099,1,2,0.884370548,1.534977768,1,1
6,1,120,466.807611,394,-72.80761099,2,2,1.516307294,0.862293537,1,1
6,2,121,182.6638478,186,3.33615222,3,2,1.082419124,0.632246411,1,1
6,2,122,466.807611,298,-168.807611,1,2,0.462241723,0.923206366,1,1
6,2,123,182.6638478,154,-28.66384778,3,1,0.912606641,0.362177288,1,1
6,2,124,182.6638478,154,-28.66384778,3,1,0.754341853,0.340789557,1,1
6,2,125,466.807611,442,-24.80761099,1,1,2.013453764,2.728734904,1,1
6,2,126,466.807611,426,-40.80761099,2,2,2.037497377,1.280815057,1,1
6,2,127,466.807611,378,-88.80761099,2,1,2.979715846,1.268906022,1,1
6,2,128,182.6638478,170,-12.66384778,3,2,1.000209971,0.912431131,1,1
6,2,129,284.1437632,218,-66.14376321,1,2,2.630293743,1.546612382,1,1
6,2,130,466.807611,506,39.19238901,2,2,0.939796456,0.687417187,1,1
6,2,131,182.6638478,154,-28.66384778,3,2,1.312378702,0.646533866,1,1
6,2,132,182.6638478,154,-28.66384778,3,2,1.384071996,0.486039552,1,1
6,2,133,284.1437632,186,-98.14376321,2,1,1.431003922,1.1130695,1,1
6,2,134,182.6638478,138,-44.66384778,1,2,3.151782186,1.316427598,1,1
6,2,135,466.807611,346,-120.807611,2,1,1.351442321,2.168019666,1,1
6,2,136,284.1437632,250,-34.14376321,2,2,1.946701542,0.884107308,1,1
6,2,137,182.6638478,186,3.33615222,3,1,1.749256208,1.40924036,1,1
6,2,138,284.1437632,218,-66.14376321,3,2,0.651237858,0.289223747,1,1
6,2,139,182.6638478,154,-28.66384778,2,2,1.286367368,1.116692133,1,1
6,2,140,466.807611,346,-120.807611,1,2,0.661608633,0.674191963,1,1
6,2,141,466.807611,394,-72.80761099,1,1,1.709946604,1.568340166,1,1
6,2,142,284.1437632,218,-66.14376321,2,2,1.882697554,0.427130984,1,1
6,2,143,182.6638478,186,3.33615222,2,2,1.266650859,1.935151135,1,1
6,2,144,284.1437632,234,-50.14376321,2,2,1.974569818,0.522991487,1,1
6,2,145,182.6638478,154,-28.66384778,2,1,29.28376277,2.390526105,1,1
6,2,146,182.6638478,170,-12.66384778,1,2,0.176891053,1.539588853,1,1
6,2,147,182.6638478,154,-28.66384778,3,2,1.045718376,1.123894352,1,1
6,2,148,182.6638478,154,-28.66384778,3,2,1.078734723,0.45974871,1,1
6,2,149,284.1437632,250,-34.14376321,2,2,0.372727135,2.465552132,1,1
6,2,150,466.807611,346,-120.807611,3,2,0.899762484,0.425939354,1,1
6,2,151,466.807611,506,39.19238901,2,2,1.907959401,1.073325859,1,1
6,2,152,182.6638478,170,-12.66384778,2,2,1.30492629,0.401868617,1,1
6,2,153,284.1437632,218,-66.14376321,1,2,0.648812799,1.214509718,1,1
6,2,154,182.6638478,186,3.33615222,3,2,1.34997096,0.266245553,1,1
6,2,155,284.1437632,186,-98.14376321,1,2,0.643935385,0.881568711,1,1
6,2,156,182.6638478,186,3.33615222,1,2,1.411244001,0.687125186,1,1
6,2,157,466.807611,506,39.19238901,1,1,0.616029718,1.533837369,1,1
6,2,158,284.1437632,282,-2.143763214,3,1,0.848155323,1.131594189,1,1
6,2,159,284.1437632,186,-98.14376321,1,2,0.707317514,0.703116906,1,1
6,2,160,284.1437632,250,-34.14376321,3,2,0.74513454,0.275868361,1,1
6,2,161,182.6638478,202,19.33615222,2,2,1.539121787,0.538666246,1,1
6,2,162,182.6638478,186,3.33615222,3,2,0.829746763,1.219556099,1,1
6,2,163,182.6638478,186,3.33615222,3,2,0.716007095,0.471515677,1,1
6,2,164,466.807611,442,-24.80761099,2,2,1.122919873,1.858508915,1,1
6,2,165,466.807611,442,-24.80761099,2,2,1.468837044,1.507443866,1,1
6,2,166,284.1437632,250,-34.14376321,3,2,0.340255348,0.792527127,1,1
6,2,167,284.1437632,266,-18.14376321,3,1,0.675630097,0.553930644,1,1
6,2,168,466.807611,442,-24.80761099,1,1,1.167221204,0.307389087,1,1
6,2,169,466.807611,458,-8.807610994,1,1,2.432474529,1.076545591,1,1
6,2,170,284.1437632,298,13.85623679,2,2,0.669125896,2.405028245,1,1
6,2,171,466.807611,378,-88.80761099,1,2,0.641528544,0.630232154,1,1
6,2,172,182.6638478,442,259.3361522,1,2,0.561295656,1.261828835,1,0
6,2,173,284.1437632,314,29.85623679,1,2,1.801373958,3.503592963,1,0
6,2,174,182.6638478,170,-12.66384778,3,2,0.89181229,0.374069885,1,1
6,2,175,466.807611,362,-104.807611,1,2,3.000345017,1.006027981,1,1
6,2,176,284.1437632,266,-18.14376321,2,2,1.187797283,0.992022018,1,1
6,2,177,284.1437632,250,-34.14376321,1,2,4.526144991,1.377728043,1,1
6,2,178,182.6638478,202,19.33615222,2,2,1.08785565,0.431443648,1,1
6,2,179,284.1437632,10,-274.1437632,1,2,4.622227356,1.323924295,0,1
