Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Condition,Training
1,1,2,1,0.706436061000204,0.372463694000089,0.05,1,1
1,2,2,1,0.437550176000059,0.642619563000153,0.03,1,1
1,1,2,1,0.552763291999781,0.609550114000285,0.01,0,1
1,2,2,2,0.456010067000079,0.421409895000124,0.02,1,1
1,2,1,2,0.983245675000035,0.942102203000104,0.02,0,1
1,2,2,2,0.516252058000191,0.414667870999892,0.02,1,1
1,2,1,2,0.604900942000313,0.595012193000002,0.02,1,1
1,2,2,2,0.487429386000258,0.78727747899984,0.02,1,1
1,1,1,3,1.08267447100025,1.64537255300002,0.02,1,1
1,2,2,2,0.698710331999791,0.780445246999989,0.02,0,1
1,1,1,1,0.553169098000126,0.594155178999699,0.02,0,1
1,2,2,3,0.541859163000026,0.59947283099973,0.02,1,1
1,2,1,2,1.41468647900001,1.77128017799987,0.02,0,1
1,2,2,4,0.443148647999806,0.615866686000118,0.02,1,1
1,1,2,2,1.14606884300019,2.17013898300002,0.02,0,1
1,1,1,3,0.752325709000161,1.44160980600009,0.02,1,1
1,1,2,2,0.550496526000188,0.926760884000032,0.02,1,1
1,1,1,4,0.584846857999764,0.496801337000306,0.02,1,1
1,2,2,1,0.564861433999795,0.572370899999896,0.02,0,1
1,1,2,1,1.71319892800011,0.649878005000119,0.02,0,1
1,1,1,3,0.639767764000226,0.500546353000118,0.02,1,1
1,1,2,2,2.21612060100006,1.01969744600001,0.02,0,1
1,1,1,3,0.826057782000134,0.823682217000169,0.02,1,1
1,2,1,3,0.549184301999958,0.318205390999992,0.02,1,1
1,2,2,1,0.58081892600012,0.604445393999868,0.02,0,1
1,2,2,1,0.899558591000186,0.413742550999814,0.02,0,1
1,1,2,1,0.897120406999875,0.395126892999997,0.02,0,1
1,1,2,1,0.963966305000213,0.875396474000354,0.02,0,1
1,2,1,3,0.431158912999763,0.38090954900008,0.02,1,1
1,1,1,2,0.718019783999807,0.911957905000236,0.02,0,1
1,1,2,1,2.31872265199991,0.638887641999645,0.02,0,1
1,2,1,1,0.932909261000077,1.07014238900001,0.02,0,1
1,2,2,2,0.525875739999719,0.61507544899996,0.02,1,1
1,1,1,3,0.398386469999878,0.285180887000024,0.02,1,1
1,1,1,3,0.344805297000221,0.313625039999806,0.02,1,1
1,2,2,1,0.565541009999833,0.477592744000049,0.02,0,1
1,2,2,2,0.754421888999786,0.466646121999929,0.02,1,1
1,2,2,1,0.699148350000087,0.430197858999691,0.02,0,1
1,1,2,1,0.605157192000206,0.499723272999745,0.02,0,1
1,1,2,1,0.467021264000323,0.478620945999864,0.02,0,1
1,2,2,3,0.583742504999918,0.815879062000022,0.05,0,0
1,1,1,2,0.821611745000155,1.07564647000027,0.05,0,0
