"Subj_idx","Condition","Stim_idx","Stimulus","Response","Confidence","RT_decConf","Resp_raw"
4,"face","face_61",2,1,1,6.615,4
4,"face","face_103",1,1,2,4.046,5
4,"face","face_104",2,1,2,1.582,5
4,"face","face_15",2,2,2,3.938,2
4,"face","face_127",1,1,3,4.359,6
4,"face","face_143",1,1,3,1.706,6
4,"face","face_98",2,1,1,2.842,4
4,"face","face_116",2,1,1,2.043,4
4,"face","face_108",2,2,2,2.524,2
4,"face","face_216",2,2,2,4.538,2
4,"face","face_95",2,2,2,2.373,2
4,"face","face_40",1,1,3,1.626,6
4,"face","face_160",1,1,3,0.942,6
4,"face","face_29",2,1,1,2.316,4
4,"face","face_169",2,1,1,1.875,4
4,"face","face_94",1,1,2,2.459,5
4,"face","face_76",1,1,3,1.084,6
4,"face","face_140",2,2,2,2.917,2
4,"face","face_84",2,2,3,1.922,1
4,"face","face_159",1,1,3,1.785,6
4,"face","face_184",1,1,3,0.918,6
4,"face","face_199",1,2,1,2.806,3
4,"face","face_187",1,1,3,1.961,6
4,"face","face_49",1,1,1,3.215,4
4,"face","face_107",2,2,1,4.704,3
4,"face","face_36",1,1,3,2.406,6
4,"face","face_134",1,1,1,5.609,4
4,"face","face_168",1,1,3,1.545,6
4,"face","face_90",2,2,3,1.471,1
4,"face","face_152",1,1,2,2.121,5
4,"face","face_21",1,1,1,4.264,4
4,"face","face_146",2,2,3,2.799,1
4,"face","face_25",2,2,3,1.649,1
4,"face","face_86",1,2,3,0.787,1
4,"face","face_120",2,2,3,1.32,1
4,"face","face_132",1,2,2,2.536,2
4,"face","face_209",1,2,2,1.542,2
4,"face","face_186",1,2,2,1.165,2
4,"face","face_139",1,1,2,2.243,5
4,"face","face_72",2,2,2,2.3,2
4,"face","face_17",1,1,3,1.812,6
4,"face","face_19",1,1,3,1.104,6
4,"face","face_212",2,2,1,2.6,3
4,"face","face_89",1,2,1,2.179,3
4,"face","face_172",2,1,2,1.727,5
4,"face","face_144",2,1,2,2.062,5
4,"face","face_93",1,1,2,1.151,5
4,"face","face_83",2,2,3,1.685,1
4,"face","face_10",2,2,3,1.109,1
4,"face","face_59",1,1,3,1.166,6
4,"face","face_31",2,2,1,3.283,3
4,"face","face_145",1,1,2,1.794,5
4,"face","face_33",1,1,1,1.247,4
4,"face","face_14",2,2,2,1.633,2
4,"face","face_125",2,2,2,2.387,2
4,"face","face_149",2,2,3,1.526,1
4,"face","face_126",1,2,2,1.374,2
4,"face","face_60",2,2,1,2.507,3
4,"face","face_155",2,2,1,0.858,3
4,"face","face_74",2,2,2,1.996,2
