Subj_idx,Stimulus,Response,Confidence,Visibility,RT_dec,contrast,Accuracy,Training,ScaleOrder
1,1,1,7.3886,5.9699,1.1591,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,1.1667,5,1,0,Visibility first
1,1,1,-2.9208,-1.8805,3.3573,0,1,0,Visibility first
1,1,1,1.1466,1.5249,2.3044,2.2,1,0,Visibility first
1,1,1,12.0231,12.0231,1.0711,3.9,1,0,Visibility first
1,1,1,-1.6913,-1.5968,2.1637,2.2,1,0,Visibility first
1,2,1,0.0117,0.0117,3.3194,2.2,0,0,Visibility first
1,2,2,12.0231,12.0231,1.5899,6.9,1,0,Visibility first
1,1,1,-0.9348,-1.2185,1.447,2.2,1,0,Visibility first
1,2,2,12.0231,12.0231,1.7895,3.9,1,0,Visibility first
1,2,2,-2.4479,-1.5968,1.5002,0,1,0,Visibility first
1,1,1,12.0231,12.0231,1.4019,6.9,1,0,Visibility first
1,1,2,0.5792,0.5792,3.5617,0,0,0,Visibility first
1,2,2,-0.8402,-0.9348,1.542,0,1,0,Visibility first
1,1,1,12.0231,12.0231,1.3412,5.5,1,0,Visibility first
1,2,2,0.39,0.2955,1.4954,2.2,1,0,Visibility first
1,1,2,0.9575,0.6738,1.0666,3.9,0,0,Visibility first
1,2,2,12.0231,12.0231,1.6151,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,2.0555,5,1,0,Visibility first
1,2,2,3.4164,1.7141,2.0019,5,1,0,Visibility first
1,1,1,12.0231,12.0231,1.6033,5.5,1,0,Visibility first
1,1,1,7.294,6.4428,1.244,2.2,1,0,Visibility first
1,1,2,-1.5968,-1.2185,1.6002,2.2,0,0,Visibility first
1,1,1,12.0231,12.0231,1.209,5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8826,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,1.3748,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,1.1847,3.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9735,6.9,1,0,Visibility first
1,1,1,5.4025,4.5513,1.7884,3.9,1,0,Visibility first
1,2,2,12.0231,12.0231,2.9958,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,1.361,6.9,1,0,Visibility first
1,1,2,-1.9751,-1.5968,2.4516,2.2,0,0,Visibility first
1,1,1,1.4304,1.1466,1.5488,0,1,0,Visibility first
1,2,2,12.0231,12.0231,1.4792,5,1,0,Visibility first
1,2,2,4.9296,3.2273,1.1103,3.9,1,0,Visibility first
1,2,2,12.0231,12.0231,1.0064,5,1,0,Visibility first
1,2,2,12.0231,12.0231,1.0958,5.5,1,0,Visibility first
1,1,2,4.3622,4.3622,0.9384,3.9,0,0,Visibility first
1,1,1,6.8211,5.7808,1.5033,5,1,0,Visibility first
1,2,2,12.0231,12.0231,1.6449,3.9,1,0,Visibility first
1,2,2,4.9296,3.511,0.9493,2.2,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8763,6.9,1,0,Visibility first
1,1,2,-2.1642,-1.4076,1.8267,0,0,0,Visibility first
1,1,1,12.0231,12.0231,1.1106,5,1,0,Visibility first
1,1,1,1.7141,1.8087,1.4647,0,1,0,Visibility first
1,1,2,-5.8526,-5.096,2.6004,0,0,0,Visibility first
1,2,2,12.0231,12.0231,1.9514,6.9,1,0,Visibility first
