Subj_idx,Stimulus,Response,Confidence,RT_dec,Condition,Accuracy,Contrast_pos_LowPE,Contrast_neg_LowPE,Contrast_noise_LowPE,Contrast_pos_HighPE,Contrast_neg_HighPE,Contrast_noise_HighPE
1,1,1,60,0.259296671,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,56,0.337161343,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,57,0.157323911,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,53,1.252867398,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,70,0.242855081,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,63,0.355051228,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,60,1.358525851,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,75,0.546837489,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,59,1.43850731,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,53,0.298539837,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,69,0.18234845,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,63,0.200219089,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,62,0.988048283,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,59,0.30603023,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,57,0.38611145,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,58,0.265937334,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,56,0.255827821,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,51,0.249815876,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,55,0.711730062,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,53,0.215839177,2,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,52,0.689614622,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,0.725375787,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,0.63122093,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,60,0.313767939,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,52,0.685656592,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,53,0.247796283,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,53,0.269694559,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,54,0.331319087,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,53,0.273332777,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,50,0.231397997,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,50,0.225291102,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,58,0.301227281,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,64,0.639044607,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,62,0.255128213,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,68,0.235059953,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,62,0.36686437,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,62,0.288794082,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,64,0.148703432,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,50,1.896538849,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,64,0.298478569,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,71,0.198741283,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,0.784246791,1,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,0.5042108,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,75,0.278206938,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,1.080310253,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,56,0.347959878,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,62,0.213977084,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,62,0.37212378,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,61,0.415725944,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,57,0.213738749,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,59,0.3318798,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,64,0.28545258,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,60,0.049556049,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,58,0.129475919,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,67,0.177297864,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,64,0.327471082,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,61,0.281172814,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,52,0.23517896,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,56,0.304909766,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,56,0.192955162,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,57,0.222806708,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,54,0.310849217,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,56,0.30683024,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,54,0.698612011,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,55,0.142577611,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,54,0.166465648,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,53,0.114490643,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,56,0.088367453,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,52,0.346262663,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,56,0.14227031,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,53,0.282154382,1,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,54,0.852078615,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,52,0.48594978,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,52,0.18389843,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,55,0.837786531,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,0.274024366,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,0.325735374,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,0.399735361,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,0.983440044,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,0.225506021,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,50,0.247382805,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,60,0.219380521,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,0.501515015,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,50,0.341167489,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,1.01487076,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,0.388738268,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,0.294839709,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
