Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy
1,2,1,1.0125,0.328,1.842,0.44,0
1,1,1,4.2875,0.975,0.675,0.46,1
1,1,1,1.25,1.076,0.91,0.44,1
1,1,2,1.70625,1.19,0.908,0.46,0
1,1,2,1.45625,0.925,1.007,0.48,0
1,1,2,1.50625,0.437,1.008,0.5,0
1,2,2,6,0.384,0.797,0.52,1
1,1,2,6,0.718,0.664,0.54,0
1,1,1,5.71875,0.707,1.254,0.56,1
1,1,1,5.925,0.83,1.023,0.54,1
1,1,1,4.94375,0.745,0.93,0.52,1
1,1,2,5.98125,0.666,0.881,0.54,0
1,2,2,5.95625,0.557,0.979,0.56,1
1,2,2,6,0.304,1.058,0.54,1
1,2,2,6,0.384,1.041,0.52,1
1,2,2,6,0.285,1.424,0.5,1
1,2,2,6,0.605,0.796,0.48,1
1,1,2,5.5125,0.609,1.268,0.5,0
1,2,2,5.99375,0.339,1.218,0.52,1
1,1,1,5.95625,0.638,1.45,0.5,1
1,1,2,1.48125,1.011,1.155,0.52,0
1,2,2,5.98125,0.534,0.959,0.54,1
1,2,2,5.44375,0.683,0.788,0.52,1
1,1,1,5.84375,1.085,0.922,0.5,1
1,2,2,5.90625,1.173,0.781,0.48,1
1,2,1,5.91875,0.778,1.006,0.5,0
1,2,2,5.96875,0.881,1.026,0.52,1
1,1,1,5.975,0.778,1.002,0.5,1
1,1,2,2.05,0.794,0.566,0.52,0
1,2,1,1.05,0.924,1.537,0.54,0
1,1,2,5.7,0.992,1.075,0.56,0
1,1,1,5.9875,1.135,1.134,0.58,1
1,1,2,5.9375,0.732,0.843,0.6,0
1,2,2,2.01875,0.833,0.729,0.62,1
1,1,1,5.975,0.855,1.139,0.6,1
1,2,2,5.99375,0.298,1.034,0.58,1
1,1,2,5.9875,0.607,1.248,0.6,0
1,2,2,6,0.396,1.155,0.62,1
1,1,1,5.98125,1.274,1.21,0.6,1
1,1,2,1.24375,0.294,0.83,0.62,0
1,2,2,6,0.323,1.233,0.64,1
