Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,Coherence,Condition,Volatility,Training
1,1,1,5,NaN,NaN,1.1498,0.1,0,0,1
1,0,0,5,NaN,NaN,1.0832,0.1,0,1,1
1,1,1,5,NaN,NaN,0.59982,0.4,0,1,1
1,1,1,5,NaN,NaN,0.5832,0.1,0,1,1
1,1,1,5,NaN,NaN,1.2332,0.05,0,1,1
1,0,0,5,NaN,NaN,0.59985,0,0,1,1
1,1,1,5,NaN,NaN,1.3498,0.05,0,0,1
1,0,0,5,NaN,NaN,0.59985,0.4,0,1,1
1,1,1,5,NaN,NaN,0.49985,0.4,0,1,1
1,0,1,5,NaN,NaN,1.2832,0,0,0,1
1,0,1,5,NaN,NaN,1.1665,0.1,0,0,1
1,1,0,5,NaN,NaN,0.71651,0,0,0,1
1,1,1,5,NaN,NaN,0.76651,0.1,0,1,1
1,1,0,5,NaN,NaN,1.2999,0,0,1,1
1,1,1,5,NaN,NaN,0.69989,0.2,0,1,1
1,1,1,5,NaN,NaN,1.5832,0.05,0,1,1
1,1,1,5,NaN,NaN,0.8832,0.05,0,1,1
1,0,0,5,NaN,NaN,1.5831,0.05,0,1,1
1,1,1,5,NaN,NaN,0.79985,0.2,0,1,1
1,1,0,6,NaN,NaN,2.7998,0.1,0,0,1
1,1,1,6,NaN,NaN,2.5831,0.1,0,1,1
1,0,1,5,NaN,NaN,2.6831,0,0,0,1
1,1,1,5,NaN,NaN,1.3165,0.05,0,1,1
1,0,0,6,NaN,NaN,1.2498,0.4,0,1,1
1,1,1,5,NaN,NaN,2.3332,0.05,0,0,1
1,1,0,5,NaN,NaN,1.4165,0,0,1,1
1,1,1,6,NaN,NaN,1.6832,0.2,0,1,1
1,1,0,6,NaN,NaN,2.3831,0,0,1,1
1,1,1,5,NaN,NaN,2.7498,0.1,0,0,1
1,0,1,4,NaN,NaN,2.9498,0.05,0,0,1
1,1,1,6,NaN,NaN,1.3165,0.4,0,1,1
1,1,1,6,NaN,NaN,1.2165,0.2,0,0,1
1,0,NaN,2,NaN,NaN,-1,0.2,0,1,1
1,0,1,6,NaN,NaN,1.3498,0.1,0,1,1
1,0,0,6,NaN,NaN,1.0331,0.4,0,0,1
1,1,1,6,NaN,NaN,0.7665,0.4,0,1,1
1,0,0,5,NaN,NaN,1.2498,0.05,0,0,1
1,1,1,5,NaN,NaN,1.0498,0.2,0,1,1
1,1,0,5,NaN,NaN,1.0999,0,0,0,1
1,0,0,5,NaN,NaN,0.76646,0.1,0,0,1
1,0,0,5,NaN,NaN,1.0832,0.1,0,1,1
1,0,0,5,NaN,NaN,1.9998,0.2,0,1,1
1,1,0,4,NaN,NaN,1.5165,0.05,0,1,1
1,1,1,5,NaN,NaN,1.3665,0.1,0,1,1
1,0,0,5,NaN,NaN,1.0332,0.4,0,0,1
1,0,0,5,NaN,NaN,1.5665,0.1,0,0,1
1,0,0,5,NaN,NaN,2.1165,0.2,0,0,1
1,0,0,5,NaN,NaN,0.86653,0.2,0,0,1
1,0,0,6,NaN,NaN,1.2499,0.2,0,0,1
1,0,1,5,NaN,NaN,1.4165,0,0,1,1
1,0,1,4,NaN,NaN,1.9999,0.05,0,1,1
1,1,1,4,NaN,NaN,2.0998,0.05,0,0,1
1,1,0,5,NaN,NaN,1.1332,0.1,0,0,1
1,0,1,5,NaN,NaN,1.7999,0,0,1,1
1,0,0,6,NaN,NaN,1.4332,0.4,0,0,1
1,0,0,5,NaN,NaN,0.98317,0.2,0,1,1
1,0,0,6,NaN,NaN,1.6165,0.4,0,1,1
1,1,1,6,NaN,NaN,1.5832,0.1,0,1,1
1,0,0,6,NaN,NaN,1.9831,0.1,0,0,1
1,0,1,5,NaN,NaN,2.0832,0,0,1,1
1,0,1,5,NaN,NaN,1.6665,0,0,0,1
1,1,0,5,NaN,NaN,1.0998,0,0,0,1
1,1,1,6,NaN,NaN,1.4999,0.2,0,0,1
1,1,1,5,NaN,NaN,2.1832,0.05,0,0,1
1,1,1,6,NaN,NaN,0.86649,0.4,0,0,1
1,1,1,6,NaN,NaN,1.8165,0.05,0,1,1
1,0,0,6,NaN,NaN,2.0665,0.1,0,1,1
1,1,1,6,NaN,NaN,0.99987,0.2,0,0,1
1,0,1,5,NaN,NaN,1.0998,0.05,0,1,1
1,0,1,4,NaN,NaN,2.0831,0.05,0,1,1
1,0,0,4,NaN,NaN,1.0499,0,0,0,1
1,0,0,6,NaN,NaN,1.1499,0.4,0,1,1
1,1,1,6,NaN,NaN,0.94988,0.2,0,1,1
1,1,1,6,NaN,NaN,0.84985,0.4,0,0,1
1,0,0,6,NaN,NaN,0.88319,0.05,0,0,1
1,1,1,6,NaN,NaN,0.66652,0.4,0,0,1
1,1,0,6,NaN,NaN,0.64984,0,0,0,1
1,1,1,6,NaN,NaN,0.78316,0,0,1,1
1,1,1,6,NaN,NaN,1.7831,0.4,0,1,1
1,0,0,6,NaN,NaN,0.76651,0.4,0,1,0
1,1,1,6,NaN,NaN,0.83316,0.2,0,0,0
1,0,0,6,NaN,NaN,1.3998,0,0,1,0
1,0,0,4,NaN,NaN,2.0665,0,0,0,0
1,1,1,4,NaN,NaN,1.7828,0.1,0,1,0
1,1,1,5,NaN,NaN,1.0832,0,0,1,0
1,1,1,5,NaN,NaN,1.6165,0.1,0,0,0
1,1,0,5,NaN,NaN,0.94986,0,0,0,0
1,0,0,5,NaN,NaN,0.71654,0.2,0,0,0
1,1,1,5,NaN,NaN,1.1832,0.05,0,1,0
1,1,0,5,NaN,NaN,0.86653,0.05,0,0,0
1,0,0,5,NaN,NaN,0.86651,0.2,0,0,0
1,0,0,5,NaN,NaN,1.2332,0.2,0,1,0
1,1,1,5,NaN,NaN,1.3665,0.05,0,1,0
1,1,0,5,NaN,NaN,1.0832,0.05,0,0,0
1,0,0,5,NaN,NaN,0.96651,0.05,0,0,0
1,0,0,6,NaN,NaN,1.8832,0.1,0,1,0
1,1,1,6,NaN,NaN,1.0832,0,0,1,0
1,1,1,6,NaN,NaN,1.5495,0.2,0,0,0
1,0,0,6,NaN,NaN,1.1498,0.2,0,1,0
1,0,0,6,NaN,NaN,1.6669,0,0,0,0
1,0,0,6,NaN,NaN,0.6836,0.1,0,0,0
1,0,1,6,NaN,NaN,1.0165,0.05,0,1,0
1,1,1,6,NaN,NaN,1.1999,0.4,0,1,0
1,0,0,6,NaN,NaN,0.94987,0.2,0,1,0
1,1,1,6,NaN,NaN,0.69983,0.4,0,1,0
1,1,1,6,NaN,NaN,1.1831,0.1,0,1,0
1,1,1,6,NaN,NaN,0.69982,0.4,0,0,0
1,1,1,6,NaN,NaN,0.66649,0.4,0,0,0
1,1,1,6,NaN,NaN,0.8665,0.2,0,1,0
1,1,1,6,NaN,NaN,0.68322,0.2,0,1,0
1,0,0,6,NaN,NaN,0.61651,0.2,0,0,0
