Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy
1,L,L,245.06,0.322,2.618,Neutr,1
1,L,L,276.82,0.323,2.725,Congr,1
1,R,L,39.89,0.379,2.251,Neutr,0
1,R,R,259.61,0.379,2.235,Congr,1
1,R,R,221.64,0.472,2.768,Neutr,1
1,L,R,35.31,0.619,1.572,Neutr,0
1,R,R,264.79,0.39,2.818,Congr,1
1,L,L,318.96,0.345,2.336,Neutr,1
1,L,L,279.75,0.635,2.234,Congr,1
1,R,R,297.33,0.359,2.485,Congr,1
1,L,L,302.65,0.38,1.954,Incongr,1
1,L,L,285.59,0.421,1.677,Congr,1
1,R,R,284.56,0.384,2.556,Incongr,1
1,R,R,281.49,0.371,1.631,Neutr,1
1,L,L,231.36,0.327,2.866,Congr,1
1,L,L,287.54,0.373,2.295,Congr,1
1,R,L,18.71,0.282,1.66,Incongr,0
1,L,L,312.2,0.499,1.479,Neutr,1
1,R,R,297.78,0.395,2.204,Incongr,1
1,L,L,301.07,0.314,2.603,Congr,1
1,L,L,300.58,0.4,2.043,Incongr,1
1,L,L,263.46,0.52,2.16,Neutr,1
1,L,L,293.91,0.304,1.381,Incongr,1
1,R,R,297.15,0.333,1.576,Congr,1
1,R,R,258.12,0.414,2.258,Incongr,1
1,L,L,88.15,0.385,2.556,Neutr,1
1,R,R,251.34,0.337,2.137,Incongr,1
1,L,L,292.19,0.364,2.131,Neutr,1
1,R,R,253.96,0.41,2.292,Neutr,1
1,R,R,262.88,0.367,1.377,Congr,1
1,R,R,273.44,0.512,1.664,Incongr,1
1,L,L,273.67,0.38,1.636,Neutr,1
1,L,L,16.24,0.37,2.47,Incongr,1
1,R,R,318.23,0.47,2.052,Congr,1
1,R,R,299.33,0.404,2.035,Incongr,1
1,R,R,296.38,0.4,2.11,Congr,1
1,L,L,261.66,0.396,2.604,Incongr,1
1,L,L,275.15,0.33,2.044,Neutr,1
1,L,L,276.04,0.314,1.71,Congr,1
1,L,L,267.88,0.419,2.098,Incongr,1
1,R,R,251.21,0.484,1.709,Congr,1
1,L,L,251.51,0.399,3.232,Incongr,1
1,R,R,287.38,0.628,2.123,Congr,1
1,L,L,265.41,0.379,3.544,Incongr,1
1,L,L,284.29,0.39,3.482,Congr,1
1,R,R,258.72,0.633,2.233,Congr,1
1,R,R,243.54,0.389,3.57,Neutr,1
1,R,R,294.85,0.364,2.7,Neutr,1
1,L,L,290.58,0.41,2.215,Incongr,1
1,L,L,252.59,0.443,1.167,Congr,1
1,L,L,262.06,0.525,1.54,Neutr,1
1,R,R,250.35,0.384,3.172,Neutr,1
1,R,L,270.5,0.366,1.45,Incongr,0
1,R,R,296.03,0.331,1.629,Congr,1
1,R,R,270.78,0.305,2.329,Neutr,1
1,R,R,269.82,0.398,2.137,Congr,1
1,L,R,289.78,0.474,1.575,Neutr,0
1,L,L,273.57,0.862,2.333,Congr,1
1,L,L,268.38,0.335,2.195,Congr,1
1,R,R,263.68,0.455,1.755,Incongr,1
1,R,R,270.36,0.42,1.915,Incongr,1
1,R,R,274.5,0.374,1.551,Neutr,1
1,L,L,272.49,0.422,1.555,Congr,1
1,R,R,303.54,0.386,1.979,Neutr,1
1,R,R,286.63,0.428,1.711,Neutr,1
1,R,R,250.72,0.401,1.642,Neutr,1
1,R,R,302.75,0.296,1.396,Incongr,1
1,L,L,291.12,0.587,1.572,Congr,1
1,L,L,293.17,0.319,2.042,Incongr,1
1,L,L,320.11,0.369,2.194,Congr,1
1,R,L,29.65,0.361,0.962,Incongr,0
1,L,L,333,0.44,2.259,Neutr,1
1,L,L,326.32,0.375,1.634,Incongr,1
1,L,L,324.92,0.41,2.77,Neutr,1
1,L,L,310.59,0.385,1.728,Congr,1
1,R,R,299.53,0.44,1.332,Congr,1
1,R,R,306.03,0.469,1.621,Neutr,1
1,L,L,306.37,0.433,1.982,Incongr,1
1,R,R,264.2,0.461,2.319,Neutr,1
1,L,L,303.29,0.45,2.228,Congr,1
1,R,R,264.32,0.363,2.85,Congr,1
1,R,R,295.92,0.319,2.545,Congr,1
1,R,R,261.38,0.73,2.216,Neutr,1
1,R,R,230.88,0.335,2.239,Incongr,1
1,L,L,300.1,0.568,2.809,Neutr,1
1,L,L,293.2,0.514,1.951,Incongr,1
1,L,L,267.51,0.454,2.024,Congr,1
1,R,L,33.05,0.354,2.229,Incongr,0
1,L,L,319.42,0.543,2.379,Neutr,1
2,L,L,347.78,0.466,5.062,Congr,1
2,R,R,335.11,0.499,6.81,Incongr,1
2,L,R,197.01,0.42,2.419,Incongr,0
2,L,L,294.56,0.461,6.704,Neutr,1
2,R,R,348.55,0.482,9.483,Congr,1
2,R,R,341.98,0.486,5.56,Incongr,1
2,L,L,338.25,0.454,3.952,Incongr,1
2,R,R,337.5,0.406,4.869,Congr,1
2,L,L,348.68,0.539,4.925,Congr,1
2,R,R,185.98,0.763,5.197,Incongr,1
2,R,R,341.62,0.56,4.63,Incongr,1
2,L,L,300.61,0.435,5.572,Congr,1
2,R,R,312.24,0.503,5.918,Incongr,1
2,L,L,212.69,0.505,4.13,Incongr,1
2,L,L,319.84,0.375,3.374,Congr,1
2,L,L,297.93,0.561,4.084,Neutr,1
2,L,L,319.14,0.4,3.427,Neutr,1
