Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Accuracy,Training
1,1,1,0.3571,1.2335,1.0577,0.1333,1,0
1,2,1,-0.7188,1.3335,1.5076,0.0083,0,0
1,1,1,-0.9453,0.7669,1.1744,0.0167,1,0
1,1,1,-0.8125,1.1002,1.0244,0.0167,1,0
1,1,1,0.7222,1.4418,1.0494,0.1333,1,0
1,2,1,-0.6875,2.2167,1.491,0.0333,0,0
1,1,1,-0.711,0.5002,1.541,0.0333,1,0
1,1,1,0.6428,1.2751,1.4077,0.0667,1,0
1,2,2,1,1.0501,0.9577,0.1333,1,0
1,1,1,-0.6016,1.0002,0.9744,0.0083,1,0
1,2,1,-0.9375,1.1419,0.8827,0.0333,0,0
1,2,1,-0.6953,0.4919,2.0743,0.0167,0,0
1,2,1,-0.8594,1.0835,2.5324,0.0167,0,0
1,2,1,-0.7969,0.9001,1.0994,0.0167,0,0
1,1,1,-0.9844,1.3418,1.1827,0.0083,1,0
1,2,2,0.3175,0.8335,0.6995,0.0667,1,0
1,2,1,-1,2.0501,0.8077,0.0667,0,0
1,1,1,-0.6953,0.3419,1.0411,0.0083,1,0
1,1,1,-1,0.5502,1.1911,0.0083,1,0
1,1,1,-0.8203,0.9752,1.166,0.0083,1,0
1,2,1,-0.8907,2.2167,1.1327,0.0333,0,0
1,1,1,0.6032,0.9502,0.966,0.0667,1,0
1,1,1,-0.9219,0.8835,0.7494,0.0333,1,0
1,1,1,-0.9141,0.8919,0.791,0.0333,1,0
1,1,1,0.3809,3.4083,1.1577,0.1333,1,0
1,2,1,0.3175,1.0918,0.7495,0.0667,0,0
1,2,1,-0.8438,1.0251,1.2661,0.0083,0,0
1,1,1,1,2.0417,0.8994,0.1333,1,0
1,2,1,-0.5781,0.8584,0.8244,0.0333,0,0
1,1,1,0.5317,0.7751,1.1578,0.0667,1,0
1,1,1,0.5,0.8501,0.8494,0.0667,1,0
1,1,1,-0.5703,1.3251,2.9825,0.0667,1,0
1,1,1,-0.4453,0.7418,1.2911,0.1333,1,0
1,2,2,0.6032,1.0502,0.8577,0.1333,1,0
1,1,1,-0.8985,1.1501,1.1661,0.0167,1,0
1,1,1,-0.6953,1.8334,1.2161,0.0167,1,0
1,1,1,-0.8672,1.3251,1.4327,0.0083,1,0
1,1,1,-0.9141,0.6835,2.4576,0.0333,1,0
1,2,2,0.8016,0.7668,0.9827,0.1333,1,0
1,2,1,-0.8594,1.5418,1.1577,0.0083,0,0
1,2,1,-0.8438,0.7668,0.9244,0.0667,0,0
1,1,1,0.5238,0.9418,0.9827,0.1333,1,0
1,2,2,-0.7735,1.9251,2.3826,0.0333,1,0
1,2,1,-1,0.9918,1.1828,0.0333,0,0
1,1,1,0.8174,0.8668,1.291,0.1333,1,0
1,2,2,0.9048,0.8918,0.8744,0.1333,1,0
1,2,1,-1,1.5417,1.0911,0.0083,0,0
1,1,2,0.5317,2.0001,1.2827,0.0083,0,0
1,2,1,-0.875,1.0918,1.0494,0.1333,0,0
1,1,2,-1,2.3334,2.0493,0.0167,0,0
1,1,1,0.8016,2.6834,1.2827,0.1333,1,0
1,1,1,-1,1.0252,1.1244,0.0083,1,0
1,1,1,-1,0.6585,1.591,0.0167,1,0
1,1,1,-0.7969,0.7084,1.4994,0.0167,1,0
1,1,1,0.7222,0.7917,1.3662,0.0667,1,0
1,2,2,0.6111,0.9835,0.7244,0.0667,1,0
1,1,1,0.3492,1.5668,1.3576,0.0667,1,0
1,1,1,0.8809,0.7335,1.3577,0.1333,1,0
1,1,1,-0.9141,5.0749,1.2577,0.0083,1,0
1,2,1,-1,1.3918,1.3661,0.0333,0,0
1,2,1,-0.9375,0.5502,0.7244,0.0167,0,0
1,2,1,-0.8672,0.4418,1.0661,0.0333,0,0
1,2,1,-0.9141,1.3668,1.916,0.0167,0,0
1,1,1,-0.836,0.6335,1.0411,0.0333,1,0
1,2,1,-1,2.5334,1.1161,0.0167,0,0
1,1,1,-0.9922,1.3835,1.4743,0.0167,1,0
1,2,1,-0.8594,1.2668,1.9243,0.0667,0,0
1,2,1,-0.961,0.9835,1.0327,0.0167,0,0
1,1,2,-0.8125,1.8584,1.0661,0.0333,0,0
1,2,2,0.3492,0.9419,1.1242,0.1333,1,0
1,1,1,-0.8125,2.5834,0.9827,0.0083,1,0
1,1,1,0.5635,1.3584,1.3577,0.0333,1,0
1,2,1,-1,2.8584,0.8492,0.0167,0,0
1,2,1,0.3175,1.4585,1.841,0.0667,0,0
1,1,1,-1,0.6835,0.917,0.0167,1,0
1,1,1,-0.9141,0.8585,1.1994,0.0083,1,0
1,1,1,0.6349,0.8668,1.2578,0.1333,1,0
1,1,1,-0.9453,0.7002,0.9494,0.0167,1,0
1,2,2,0.4206,0.7418,1.0494,0.1333,1,0
1,1,1,-1,1.7668,1.191,0.0083,1,0
1,2,1,-0.9453,0.8501,1.3744,0.0083,0,0
1,1,1,-0.961,0.5168,1.6661,0.0083,1,0
1,2,2,0.9048,0.6668,0.9827,0.1333,1,0
1,2,1,-0.9688,1.2752,1.4327,0.0333,0,0
1,1,1,0.6984,1.0334,1.5077,0.0667,1,0
1,1,1,-0.8907,2.7917,1.941,0.0083,1,0
1,2,1,0.6428,1.5334,1.341,0.0333,0,0
1,2,1,-1,0.3669,1.0743,0.0333,0,0
1,2,1,0.3254,1.2417,2.5243,0.0667,0,0
1,2,1,-0.75,0.7085,1.6744,0.0167,0,0
1,1,1,-0.8203,0.4919,0.9327,0.0333,1,0
1,2,1,-0.75,1.9251,1.241,0.0083,0,0
1,1,1,0.5397,0.8335,0.916,0.1333,1,0
1,2,1,-1,2.6084,0.9993,0.0083,0,0
1,2,1,0.4047,1.2668,0.816,0.0667,0,0
1,1,1,-0.8438,0.4335,1.091,0.0333,1,0
1,2,2,0.7778,0.8085,1.041,0.1333,1,0
1,1,1,0.3651,0.8751,1.466,0.0667,1,0
1,2,1,-0.8594,0.9835,0.8994,0.0333,0,0
1,2,1,-0.7969,0.6835,1.4576,0.0083,0,0
1,1,1,0.5873,0.8668,1.0077,0.1333,1,0
1,2,1,-0.3985,1.0168,1.466,0.0333,0,0
1,1,1,-0.6016,0.4002,1.8993,0.0167,1,0
1,1,1,0.5635,1.4002,1.4827,0.0667,1,0
1,1,1,0.7381,0.7418,1.0077,0.1333,1,0
1,2,2,0.8968,0.8585,1.291,0.1333,1,0
1,1,1,-0.8907,1.7418,1.266,0.0333,1,0
1,1,1,0.7698,0.7752,1.191,0.1333,1,0
1,1,1,-0.6875,1.1251,0.9494,0.0167,1,0
1,2,1,-0.7735,1.0585,0.741,0.0333,0,0
1,2,1,-0.8672,0.7835,1.6994,0.0333,0,0
1,2,2,1,1.6334,2.1743,0.1333,1,0
1,1,1,-0.8438,1.5669,1.5992,0.0083,1,0
1,2,1,-0.7188,2.3667,1.5827,0.0667,0,0
1,2,1,-0.9141,0.6252,1.5493,0.0167,0,0
1,2,1,0.5397,1.1418,1.066,0.0667,0,0
1,2,1,0.5635,2.0834,1.2993,0.0083,0,0
1,2,1,0.6428,3.2,1.291,0.0167,0,0
1,1,1,0.7381,0.6918,2.066,0.1333,1,0
1,1,1,0.7778,0.6668,1.2244,0.1333,1,0
1,2,1,-0.9219,1.1668,0.9577,0.0333,0,0
1,2,1,0.0794,0.9335,1.116,0.0667,0,0
1,1,1,0.0635,0.7752,0.5994,0.0667,1,0
1,1,2,-1,1.3168,1.3744,0.0083,0,0
1,1,1,-1,1.4835,1.9409,0.0167,1,0
1,2,1,-0.8907,0.9001,1.0577,0.0667,0,0
1,2,1,-0.961,0.9002,0.9827,0.0167,0,0
1,2,1,-0.961,1.3835,1.8993,0.0167,0,0
1,1,1,-1,2.0251,1.1411,0.0667,1,0
1,2,1,0.3651,0.5751,1.2411,0.0083,0,0
1,1,1,-0.8907,1.9084,0.7494,0.0333,1,0
1,2,1,-1,0.8502,1.3577,0.0167,0,0
1,2,1,-0.8438,0.9002,1.3159,0.1333,0,0
1,1,1,-0.7891,0.3085,1.0578,0.0333,1,0
1,2,1,-1,0.6669,1.3327,0.0333,0,0
1,2,1,-0.6719,0.3669,1.491,0.0167,0,0
1,1,1,0.5635,1.0918,1.0411,0.0667,1,0
1,2,1,-0.7188,0.6335,2.1743,0.0167,0,0
1,2,2,0.4762,1.3001,0.8577,0.0667,1,0
1,2,1,-0.8985,1.7834,1.3327,0.0083,0,0
1,1,1,0.7222,1.5251,2.1243,0.0667,1,0
1,2,1,-0.711,1.4585,1.3577,0.0333,0,0
1,1,2,0.746,1.4418,1.2411,0.0333,0,0
1,2,1,-0.9453,0.8001,1.1411,0.0083,0,0
1,2,1,-0.8672,0.4002,1.5327,0.0083,0,0
1,1,1,-0.875,0.5668,2.516,0.0167,1,0
1,2,1,-0.9141,1.6835,1.8159,0.0167,0,0
1,1,1,-0.836,0.8918,2.1743,0.0333,1,0
1,2,1,-0.8672,1.6917,4.4241,0.0167,0,0
1,2,1,-0.9375,5.5998,2.191,0.0083,0,0
1,1,1,0.6825,0.9001,1.2161,0.1333,1,0
1,2,1,0.8016,0.8252,1.316,0.0667,0,0
1,1,1,0.6428,0.6835,2.3743,0.0667,1,0
1,1,1,1,0.6085,1.0161,0.1333,1,0
1,2,1,-1,1.2418,0.8577,0.0083,0,0
1,1,2,-1,0.3835,1.0911,0.0167,0,0
1,1,1,0.6349,1.3085,1.0077,0.1333,1,0
1,2,1,-1,0.7085,1.2327,0.0167,0,0
1,2,1,-1,0.6419,0.7994,0.0083,0,0
1,2,2,-0.961,0.7335,1.2577,0.0667,1,0
1,2,2,-0.9688,1.0333,0.8829,0.0083,1,0
1,2,2,-0.9688,0.9751,1.4494,0.0333,1,0
1,2,2,-0.8985,1.0418,1.3577,0.0083,1,0
1,2,2,-0.8594,0.4752,1.5743,0.0167,1,0
1,1,2,-0.9375,0.5002,1.5327,0.0167,0,0
1,1,1,0.4524,0.8335,1.041,0.0667,1,0
1,2,2,0.8016,0.6918,0.8245,0.1333,1,0
1,2,1,-1,0.9085,1.7827,0.0167,0,0
1,1,2,-1,1.7918,1.4077,0.0333,0,0
1,1,1,0.7222,1.6501,1.091,0.1333,1,0
1,2,1,-0.836,2.2417,1.2911,0.0667,0,0
1,1,2,0.5238,0.9751,0.9495,0.0667,0,0
1,1,2,-0.8125,2.4834,0.8327,0.0333,0,0
1,1,2,-0.7891,2.3418,1.2993,0.1333,0,0
1,1,1,0.9762,0.7585,1.2911,0.0667,1,0
1,2,2,0.873,0.7668,1.3244,0.1333,1,0
1,1,1,0.8571,0.8252,2.191,0.1333,1,0
1,2,2,0.5238,0.7835,0.9411,0.0667,1,0
1,1,2,-1,1.1335,0.8244,0.0333,0,0
1,2,2,0.6825,0.8502,2.241,0.1333,1,0
1,2,1,-0.9453,1.5918,1.141,0.0167,0,0
1,1,1,-0.8125,2.5751,1.4743,0.0083,1,0
1,1,1,0.7698,1.1668,1.066,0.1333,1,0
1,2,2,0.9206,0.8002,1.0744,0.1333,1,0
1,1,1,-0.961,1.9501,0.916,0.0083,1,0
1,1,1,-0.7891,0.9669,1.0327,0.0333,1,0
1,2,1,-0.6641,0.6168,3.1826,0.0333,0,0
1,1,1,-0.8985,3.4167,1.2327,0.0083,1,0
1,1,1,-0.8672,0.8418,0.8827,0.0333,1,0
1,2,1,-0.9219,0.4502,0.8828,0.0667,0,0
1,2,1,-0.9141,0.4835,0.8077,0.0167,0,0
1,2,2,-0.7969,1.4918,0.8244,0.0083,1,0
1,2,1,-0.8672,1.4501,2.9158,0.0083,0,0
1,2,1,0.5317,0.7085,0.8411,0.0667,0,0
1,2,1,-0.9453,0.5668,1.616,0.0083,0,0
1,2,2,-0.8672,1.4,1.3495,0.0167,1,0
1,2,2,-0.7969,0.9836,0.816,0.0167,1,0
1,1,2,-0.9375,1.0168,0.9411,0.0167,0,0
1,1,2,-0.9141,0.5835,1.0244,0.0333,0,0
1,1,2,-0.8985,0.6669,1.4827,0.0333,0,0
1,2,2,0.7619,0.9251,1.5577,0.1333,1,0
1,2,2,0.8016,1.5168,1.0743,0.0667,1,0
1,2,1,-0.8594,2.0251,1.691,0.0333,0,0
1,2,2,0.7698,0.8168,1.341,0.0667,1,0
1,2,1,-0.7891,1.3751,1.4161,0.0083,0,0
1,1,1,-0.8203,0.7919,1.3244,0.0167,1,0
1,2,2,0.8016,0.6585,1.0994,0.1333,1,0
1,2,2,0.8016,1.2668,1.766,0.1333,1,0
1,2,1,-0.7657,0.6168,1.6827,0.0667,0,0
1,1,1,0.4444,0.8585,0.8244,0.1333,1,0
1,1,1,-0.8672,1.4418,1.5244,0.0083,1,0
1,2,1,-0.9844,0.9002,1.1577,0.0083,0,0
1,2,2,0.6905,0.9251,1.0661,0.1333,1,0
1,2,1,-0.8203,1.5335,1.1077,0.0167,0,0
1,2,2,0.6428,0.7835,0.7911,0.1333,1,0
1,1,2,-0.9141,1.8584,1.3327,0.0167,0,0
1,1,1,0.6428,0.6419,0.8576,0.1333,1,0
1,1,1,1,0.5919,1.6493,0.1333,1,0
1,1,1,-0.5625,2.1001,1.291,0.0083,1,0
1,2,1,-0.9375,0.7752,0.991,0.0333,0,0
1,1,1,-0.7735,0.5919,1.6743,0.0167,1,0
1,1,1,-0.6407,0.7085,1.216,0.0667,1,0
1,1,1,-0.9922,1.1002,0.7994,0.0333,1,0
1,2,1,0.6428,0.9919,0.8993,0.0667,0,0
1,2,2,0.8254,0.7918,0.8827,0.0667,1,0
1,2,1,-0.6407,1.4751,0.8327,0.0167,0,0
1,1,1,-0.7657,0.5002,0.9077,0.0333,1,0
1,2,1,-0.7266,1.2918,1.0077,0.1333,0,0
1,2,2,0.7381,1.0585,1.0077,0.1333,1,0
1,1,1,-0.8672,1.2335,1.0244,0.0333,1,0
1,1,1,-0.6953,2.2334,1.9327,0.0167,1,0
1,1,1,-0.7266,3.4333,1.791,0.0667,1,0
1,1,1,-0.8672,3.9,1.1327,0.0083,1,0
1,1,2,0.5635,2.2834,1.0744,0.0333,0,0
1,1,1,-0.8985,0.5085,1.2326,0.0083,1,0
1,2,1,-0.6641,0.8918,1.7744,0.0667,0,0
1,1,1,-0.7657,0.2919,1.1994,0.0083,1,0
1,2,2,0.7778,0.7751,0.7411,0.1333,1,0
1,2,1,0.8412,1.3501,1.3494,0.0167,0,0
