Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Prediction_Success,Trial_count,Block_count,Accuracy
AC,1,1,1,2,0.975165367,0.894234657,0.388809204,2,34,1,1
AC,2,2,2,2,1.165104747,0.799345672,0.011918925,2,35,1,1
AC,1,2,1,2,1.387683392,1.164122224,1.952916384,2,36,1,0
AC,2,2,2,2,0.328040689,0.694525123,1.105902791,1,37,1,1
AC,1,1,2,2,0.435931265,0.704066277,0.787218034,1,38,1,1
AC,1,1,2,2,0.529859304,1.904129267,0.305091053,2,39,1,1
AC,1,1,1,2,1.553298235,1.399297118,0.317770362,2,40,1,1
AC,1,2,1,1,1.812189698,1.505090117,1.140231609,2,41,1,0
AC,2,2,1,1,2.953142166,1.869259119,5.128228664,2,42,1,1
AC,1,1,2,2,0.727830946,0.765030682,0.376266181,1,43,1,1
AC,2,1,1,1,1.576815367,1.222992182,1.446115732,2,44,1,0
AC,2,2,2,1,1.83489573,2.492153645,1.141214848,2,45,1,1
AC,1,1,1,1,1.65877676,1.151302338,1.681694508,1,46,1,1
AC,2,2,2,2,0.788748443,0.564056039,0.175495937,1,47,1,1
AC,2,1,2,2,0.552498996,0.564015627,0.247152716,2,48,1,0
AC,1,1,2,2,0.764170229,1.482560873,0.622608066,2,49,1,1
AC,2,2,1,1,1.540412188,1.410844803,2.352846861,2,0,2,1
AC,1,1,1,2,0.799444616,0.952438235,0.353040874,2,1,2,1
AC,2,2,2,2,0.55336988,0.547207892,0.093813695,2,2,2,1
AC,1,1,1,2,0.505875528,0.410118729,0.717254162,2,3,2,1
AC,2,1,1,1,1.305331349,0.917004526,0.858835936,2,4,2,0
AC,1,1,2,2,0.505385041,0.84741056,0.375602424,2,5,2,1
AC,1,1,2,2,0.423104495,0.622838676,0.271642745,2,6,2,1
AC,1,1,2,2,0.729889572,0.658186197,0.305986196,2,7,2,1
AC,2,2,2,2,0.670107424,0.717004657,0.495190144,2,8,2,1
AC,2,1,1,2,0.739712536,0.529716074,0.74123174,2,9,2,0
AC,1,2,2,2,0.49362126,0.858163357,0.494223028,2,10,2,0
AC,1,1,1,1,1.599899411,0.693927944,2.905768633,2,11,2,1
AC,1,1,1,2,1.657236457,0.835653365,4.694929123,1,12,2,1
AC,1,2,2,2,0.54073137,2.668776751,0.576515138,1,13,2,0
AC,2,2,2,2,0.811294973,0.858325422,0.471213698,2,14,2,1
AC,2,2,1,2,2.4219625,0.846344531,1.564731002,2,15,2,1
AC,1,2,1,1,2.246415377,0.986678481,0.777477503,2,16,2,0
AC,2,2,1,2,1.411204457,0.492519766,0.059966151,1,17,2,1
AC,2,1,2,2,0.928941905,0.905165255,0.482393801,1,18,2,0
AC,2,2,2,2,0.940488935,0.445462406,0.01197013,1,19,2,1
AC,2,1,2,2,0.634819627,0.928708613,0.318737864,2,20,2,0
AC,2,2,1,2,2.600245476,0.351747245,1.281456113,2,21,2,1
AC,1,1,2,2,0.493809164,1.587476969,0.270621717,1,22,2,1
AC,2,1,2,2,0.893082321,0.717904031,0.29355365,2,23,2,0
AC,1,1,1,2,0.787710845,0.646397054,0.71773845,2,24,2,1
AC,1,1,1,1,3.659178734,3.893022299,1.447077036,1,25,2,1
AC,1,1,2,2,0.916229904,0.847267747,0.506520033,1,26,2,1
AC,2,2,1,2,2.200412989,0.881528378,1.282422066,1,27,2,1
AC,1,1,1,2,0.787795544,0.681601703,0.63533473,1,28,2,1
AC,2,2,1,2,0.669123352,0.729168057,0.352859139,1,29,2,1
AC,2,2,2,2,0.670093179,1.398370385,0.329481751,1,30,2,1
AC,1,1,1,2,0.599530995,0.846381068,0.188341573,2,31,2,1
AC,1,2,2,1,1.682683587,4.269635201,0.904791415,2,32,2,0
AC,2,1,1,1,1.635687351,1.36391449,1.341202021,1,33,2,0
AC,1,1,1,2,0.423972279,1.081672192,0.353049338,1,34,2,1
AC,1,1,1,2,0.657238305,0.999278486,0.800429821,1,35,2,1
AC,1,1,1,1,1.5170995,0.752212822,0.271697819,1,36,2,1
AC,2,2,1,1,2.399346352,1.04772687,0.364820033,1,37,2,1
AC,2,2,2,2,0.657841623,0.50574851,0.376035959,1,38,2,1
AC,2,1,2,2,0.493605107,0.575815201,0.305993885,2,39,2,0
AC,1,1,1,2,2.022947311,1.410076737,1.494097471,2,40,2,1
AC,2,2,2,2,0.671131909,0.563949764,0.293257207,2,41,2,1
AC,2,2,1,1,1.634670615,0.869960606,0.530462623,1,42,2,1
AC,2,1,1,1,1.680864811,1.329479456,0.705901563,1,43,2,0
AC,1,1,1,2,0.623065054,0.657170594,0.353084773,1,44,2,1
AC,1,1,2,2,1.093603492,3.129434586,0.4932459,1,45,2,1
AC,1,1,2,2,0.9289096,0.563971341,0.011490031,2,46,2,1
AC,2,2,1,2,0.965193391,0.658140779,0.375534683,2,47,2,1
AC,2,2,2,2,0.586916745,0.623483956,0.271605402,2,48,2,1
AC,1,2,1,2,2.294502974,0.316974163,0.763728619,2,49,2,0
AC,2,2,2,2,0.764035106,0.610802352,0.27170974,1,0,3,1
AC,1,1,1,2,0.552500188,1.563922048,0.481346607,2,1,3,1
AC,1,2,1,2,0.398631006,0.658061445,0.576550543,2,2,3,0
AC,1,2,2,1,1.622118354,2.070754766,1.223383784,1,3,3,0
AC,2,1,1,2,0.952303886,1.246734619,0.412786812,1,4,3,0
AC,2,2,2,2,0.634776473,0.892791271,0.306005418,1,5,3,1
AC,1,1,1,2,0.647595942,2.339283466,0.564816415,2,6,3,1
AC,1,2,2,2,0.422998995,0.587986648,0.294247836,2,7,3,0
AC,2,1,2,2,0.517344773,0.881469488,1.448068142,2,8,3,0
AC,2,1,2,2,0.363488704,0.658874571,0.294242829,2,9,3,0
AC,2,1,2,2,0.376040578,0.587523103,1.176503897,2,10,3,0
AC,2,2,1,2,0.518074751,0.352285117,0.035454161,2,11,3,1
AC,1,1,2,2,0.905344307,0.727744699,0.329528719,1,12,3,1
AC,1,2,1,2,1.164188385,1.434356213,0.423565716,2,13,3,0
AC,2,2,1,2,0.494555295,1.398338795,0.29429093,1,14,3,1
AC,1,1,2,2,0.786584735,1.035630822,0.201086715,1,15,3,1
AC,1,2,1,1,2.634576321,0.65741545,1.541257262,1,16,3,0
AC,2,2,1,2,1.140676618,0.328778356,0.248146012,1,17,3,1
AC,2,1,2,2,0.739762187,0.622837543,0.282420903,1,18,3,0
AC,1,1,2,2,0.646601439,0.647500813,0.32850194,1,19,3,1
AC,1,2,1,2,2.744267941,0.717873991,0.677733183,1,20,3,0
AC,2,2,1,2,0.482909322,0.611158073,1.034271836,1,21,3,1
AC,1,1,2,2,0.599467874,1.681836605,0.553051889,2,22,3,1
AC,1,1,1,2,0.904419899,1.258065224,0.482431531,2,23,3,1
AC,1,1,2,2,0.469168574,0.752191246,0.317783058,2,24,3,1
AC,2,2,1,2,0.540735662,0.574818432,0.365805656,2,25,3,1
AC,2,1,1,2,0.459384114,0.645385265,0.304997504,1,26,3,0
AC,2,2,1,2,0.611307442,0.469947815,0.258866429,1,27,3,1
AC,2,1,1,1,2.694546223,1.175771952,1.258683562,1,28,3,0
AC,1,1,1,2,0.341626674,0.539560199,0.341279417,1,29,3,1
AC,2,1,1,2,0.493620872,1.186579823,0.317769974,1,30,3,0
AC,2,2,1,1,2.105287075,1.8217628,0.753035545,1,31,3,1
AC,2,1,2,2,0.340590626,1.611007571,0.294347525,1,32,3,0
AC,1,1,2,2,0.328854591,0.823827982,0.306072026,2,33,3,1
AC,1,1,2,2,0.246632189,0.575791299,0.341207415,2,34,3,1
AC,2,2,1,2,1.292922974,1.092500448,0.69474107,2,35,3,1
AC,1,1,2,2,0.458383471,0.58762902,0.282934517,2,36,3,1
AC,2,2,1,2,1.198376298,1.059010625,0.118434258,2,37,3,1
AC,1,1,2,2,0.399613529,0.822803915,0.247145787,1,38,3,1
AC,1,1,2,2,0.339795232,0.470899552,0.282486379,1,39,3,1
AC,1,1,1,1,2.61110878,1.798313856,1.577455282,1,40,3,1
AC,1,2,1,1,2.247514248,1.387338042,0.893216312,1,41,3,0
AC,1,1,2,2,0.681753397,0.622881055,0.29429093,1,42,3,1
AC,2,2,2,2,0.599469781,0.422953188,0.695180357,1,43,3,1
AC,1,1,1,2,0.54069519,1.186550975,1.211818695,2,44,3,1
AC,2,1,1,1,0.823031425,1.482548952,2.941058636,1,45,3,0
AC,2,1,1,2,0.822173238,0.600094259,0.329368174,1,46,3,0
AC,2,2,1,2,0.881812155,1.446229339,0.471857429,2,47,3,1
AC,2,2,2,2,0.763261259,0.717897117,0.189344883,1,48,3,1
AC,1,1,2,2,0.340663791,0.658188522,0.305621207,2,49,3,1
AC,1,2,1,2,0.633728087,0.541126013,0.176613986,1,0,4,0
AC,2,1,1,2,0.728832364,0.928678572,0.329596877,1,1,4,0
AC,2,2,2,2,0.481918335,0.434615701,0.305908799,1,2,4,1
AC,2,2,2,2,0.493698269,0.387494415,0.271700114,2,3,4,1
AC,2,2,1,2,0.457717419,0.387040108,0.212002322,2,4,4,1
AC,1,1,1,2,0.30538097,0.845404327,0.341156214,2,5,4,1
AC,1,2,1,2,0.482395738,1.068946004,0.623049676,1,6,4,0
AC,1,1,2,2,0.482830793,0.728765726,0.292972684,1,7,4,1
AC,1,2,2,2,0.494550675,1.022362471,0.235408574,2,8,4,0
AC,2,2,1,2,0.435161263,0.55136019,0.564281642,2,9,4,1
AC,1,1,2,2,0.365203887,1.363931894,0.28149268,1,10,4,1
AC,2,2,2,2,0.658321321,0.870074928,0.164790168,1,11,4,1
AC,2,2,1,2,1.612010479,0.564105332,0.858593404,1,12,4,1
AC,1,1,1,2,0.445808113,0.670627177,0.306007743,1,13,4,1
AC,1,2,1,2,3.164119959,0.352164209,0.964459956,1,14,4,0
AC,2,2,1,1,1.906224012,1.705339432,0.728515089,2,15,4,1
AC,2,2,1,2,0.434898287,0.434525996,0.24712345,2,16,4,1
AC,2,2,1,2,2.02387166,0.421944469,0.729494929,1,17,4,1
AC,1,1,2,2,0.86912477,0.50618583,0.364799261,1,18,4,1
AC,1,2,1,2,1.35357368,0.740267336,0.916731954,2,19,4,0
AC,1,2,2,2,0.493625879,0.447298467,0.293262988,2,20,4,0
AC,2,1,1,1,2.199398756,0.858152568,1.095126152,2,21,4,0
AC,2,2,2,2,0.528983414,0.445405036,0.342133731,1,22,4,1
AC,1,2,2,1,2.034334898,1.693672657,1.118656039,1,23,4,0
AC,2,1,1,2,1.339639664,0.823789477,0.529558241,1,24,4,0
AC,1,2,2,2,0.740569532,0.387650341,0.195846438,1,25,4,0
AC,2,1,1,2,0.470097572,0.717027009,0.164797857,2,26,4,0
AC,1,1,2,2,0.657885134,0.517393649,0.694220185,1,27,4,1
AC,2,2,1,2,0.539805055,0.611995876,0.77642256,2,28,4,1
AC,1,1,2,2,0.258457184,0.504151881,0.305979252,1,29,4,1
AC,2,2,1,1,2.552320719,0.563070834,1.188279986,1,30,4,1
AC,2,2,2,2,0.576027334,0.975754797,0.212828919,1,31,4,1
AC,2,2,1,2,0.646402776,0.833925486,0.706233025,2,32,4,1
AC,1,1,2,2,0.492628336,0.364032716,0.059004411,2,33,4,1
AC,1,1,1,2,0.847533405,0.493168503,1.069702864,2,34,4,1
AC,1,1,2,2,0.339783281,1.235450149,0.294213563,1,35,4,1
AC,1,1,2,2,1.116928101,0.364022315,0.023694627,1,36,4,1
AC,2,2,1,2,0.482810766,0.587579727,0.340866297,2,37,4,1
AC,1,1,2,2,0.31713587,0.975618541,0.306952924,2,38,4,1
AC,2,2,1,2,0.387747347,0.974814653,0.200094178,2,39,4,1
AC,2,2,2,2,0.435786486,0.881665826,0.281420678,1,40,4,1
AC,1,1,2,2,0.729160368,0.574369133,0.424741149,1,41,4,1
AC,1,1,2,1,1.775705338,2.198177338,0.330641389,2,42,4,1
AC,2,2,2,2,0.470080256,0.376747429,0.2589342,2,43,4,1
AC,2,1,2,2,0.328917354,0.340560228,0.294255137,2,44,4,0
AC,2,1,1,2,0.940707624,0.6699211,0.176584736,2,45,4,0
AC,2,2,2,2,0.58779186,0.61194849,0.66979599,1,46,4,1
AC,1,1,2,2,0.364230603,0.611093402,0.471671849,2,47,4,1
AC,1,1,2,2,0.399523824,0.34050709,0.293895155,1,48,4,1
AC,1,1,2,2,0.294541568,0.234603539,0.328456491,1,49,4,1
AC,2,2,1,2,0.646408975,0.576000392,1.011163592,2,0,5,1
AC,1,1,2,2,0.352726698,0.704950988,0.364575177,1,1,5,1
AC,1,1,1,2,0.658859551,0.763983488,1.398850799,2,2,5,1
AC,2,2,1,2,1.093622684,1.528684258,0.20006606,1,3,5,1
AC,1,1,2,2,0.800379753,1.552341938,0.975657403,1,4,5,1
AC,1,1,1,2,0.610849679,0.435506612,0.270175129,2,5,5,1
AC,1,2,1,2,0.705329418,0.717072427,0.305991948,1,6,5,0
AC,2,1,1,1,1.906123161,0.739959717,0.763864934,1,7,5,0
AC,2,2,1,2,0.446460307,0.752283275,0.447834402,1,8,5,1
AC,2,1,2,2,2.470665932,0.527733684,0.763903439,2,9,5,0
AC,1,1,2,2,0.293145955,0.470448703,0.376542598,2,10,5,1
AC,2,2,1,2,0.564195395,0.551282763,0.364895493,1,11,5,1
AC,2,2,2,2,0.518081665,0.99401015,0.269705802,1,12,5,1
AC,1,1,1,1,2.105173111,1.022803307,2.047137022,2,13,5,1
AC,2,1,1,1,2.492762327,0.646829009,1.282558322,1,14,5,0
AC,1,1,1,2,0.657984436,1.011760712,0.823267817,1,15,5,1
AC,1,1,1,2,0.480988562,0.517868757,1.211807132,2,16,5,1
AC,2,1,1,1,1.046564937,1.18847096,0.822550178,2,17,5,0
AC,2,2,1,2,0.458556354,0.528559148,0.341228604,1,18,5,1
AC,1,1,2,2,0.388705641,0.504234254,0.352067977,2,19,5,1
AC,2,2,1,2,0.327982187,0.364943236,0.330473155,2,20,5,1
AC,1,1,1,2,0.353440493,0.916849375,0.282459408,1,21,5,1
AC,1,1,1,1,1.798425078,1.777755499,0.789324403,2,22,5,1
AC,2,1,1,2,0.328944683,0.446331739,0.294182748,2,23,5,0
AC,2,2,2,2,0.329428643,0.763621986,0.281363696,1,24,5,1
AC,1,1,1,2,0.306381971,1.03460288,0.305042535,2,25,5,1
AC,1,1,2,2,0.351911664,0.376399785,0.342267722,1,26,5,1
AC,2,2,2,2,0.412220836,0.810119569,0.952031672,1,27,5,1
AC,1,1,1,2,0.317252129,0.858199537,0.305831403,2,28,5,1
AC,2,2,2,1,2.280799627,2.070824862,0.317717612,1,29,5,1
AC,2,1,1,2,0.388142377,0.529316068,0.305032909,2,30,5,0
AC,2,2,2,1,1.293570995,0.894264698,1.587177396,1,31,5,1
AC,2,1,1,2,0.316679269,0.788042724,0.258949965,2,32,5,0
AC,1,1,1,2,0.306327671,0.775823891,0.352095306,2,33,5,1
AC,1,1,2,2,0.305513024,0.293327272,0.294807225,2,34,5,1
AC,1,1,1,1,2.011183262,1.175861359,0.353039712,1,35,5,1
AC,1,1,2,2,0.492678404,1.023718834,0.307000279,1,36,5,1
AC,1,1,1,2,0.41133073,1.504647017,0.305971175,2,37,5,1
AC,2,2,1,2,0.870003343,0.470020205,1.530489564,1,38,5,1
AC,2,2,1,2,0.728966713,0.552261829,0.141303822,1,39,5,1
AC,1,1,1,2,1.070089817,0.870810688,0.552008927,2,40,5,1
AC,2,1,2,2,0.30538249,0.480733663,0.33049047,2,41,5,0
AC,1,2,2,1,1.35142231,0.506123483,1.000059247,1,42,5,0
AC,2,2,1,1,0.799498856,1.774756312,0.905968785,1,43,5,1
AC,2,2,1,2,0.800238073,0.493560433,1.105900049,1,44,5,1
AC,1,2,1,1,1.399404526,0.870627403,0.293278784,2,45,5,0
AC,2,2,1,2,1.598474145,0.611598909,0.741273701,1,46,5,1
AC,1,2,2,1,1.280880928,1.847218037,0.836302459,2,47,5,0
AC,2,1,1,2,0.341673642,0.398359567,1.634175539,1,48,5,0
AC,1,2,1,1,1.975874186,1.575627685,1.365296245,2,49,5,0
AC,1,1,2,2,0.681901991,0.76249665,0.318707466,2,0,6,1
AC,2,1,2,2,0.305822551,0.587074995,0.269715428,2,1,6,0
AC,2,2,2,2,0.4345541,0.739405274,0.271049857,2,2,6,1
AC,2,2,1,2,0.505440891,0.65807569,0.63503325,2,3,6,1
AC,2,1,2,2,0.31710121,0.716015577,0.364891261,1,4,6,0
AC,1,1,2,2,0.293662995,0.281628191,0.306905955,1,5,6,1
AC,2,1,1,2,0.294637829,0.669941485,1.65784204,2,6,6,0
AC,1,1,1,2,0.471092045,0.728292584,2.0342834,1,7,6,1
AC,1,2,1,2,0.623123586,0.327738076,0.400050908,2,8,6,0
AC,1,1,1,1,2.011175156,1.422667503,0.341276705,1,9,6,1
AC,2,1,1,2,0.31793052,0.869864762,0.329118311,1,10,6,0
AC,2,1,1,2,0.245409414,1.341346383,0.317942828,2,11,6,0
AC,2,1,1,1,1.894041777,1.8453089,0.294252455,2,12,6,0
AC,2,1,2,2,0.316583008,0.270266742,0.32953912,2,13,6,0
AC,2,1,2,2,0.24660562,0.199302226,0.295209557,2,14,6,0
AC,1,1,2,2,0.187742501,1.116920829,0.306004673,1,15,6,1
AC,1,1,2,2,0.258313954,1.469933987,0.611867666,2,16,6,1
AC,1,1,1,2,0.493629366,1.516766906,0.354159683,2,17,6,1
AC,1,2,2,2,0.363256931,0.588452518,0.283036143,2,18,6,0
AC,1,1,2,2,0.434802055,0.588099122,0.317213267,1,19,6,1
AC,1,1,1,2,1.340616822,0.764211416,1.200996637,1,20,6,1
AC,1,1,2,2,0.329720855,0.480869591,0.306006193,1,21,6,1
AC,1,1,2,2,0.317205936,0.775684893,0.269677311,2,22,6,1
AC,2,2,2,2,0.41152361,0.50600338,0.25778842,2,23,6,1
AC,1,1,1,2,0.564293563,0.457583815,0.317726463,2,24,6,1
AC,1,2,1,2,0.599520624,0.459105372,0.328473836,1,25,6,0
AC,2,2,2,2,0.388333708,0.422908902,0.258355141,2,26,6,1
AC,2,2,2,2,0.351508945,0.706062496,0.448138922,1,27,6,1
AC,2,1,1,2,0.952457905,1.057014346,0.365709007,1,28,6,0
AC,2,1,1,2,0.234465703,0.411540926,0.446942329,1,29,6,0
AC,2,2,2,2,0.352347493,0.351337224,0.306045085,1,30,6,1
AC,2,2,2,2,0.387667269,0.704232156,0.600158155,2,31,6,1
AC,1,2,1,2,0.318080664,0.434474021,0.375551611,2,32,6,0
AC,1,1,1,1,1.482711792,1.164002419,0.858908296,2,33,6,1
AC,2,1,1,1,1.469044566,1.364921689,1.129434943,2,34,6,0
AC,2,1,1,2,1.04655838,0.27083233,2.588171005,1,35,6,0
AC,2,2,1,2,0.835726142,0.599278033,0.384231508,1,36,6,1
AC,1,1,2,2,0.340666115,0.434639573,0.282447487,1,37,6,1
AC,1,1,1,2,0.564260483,0.48161763,0.75300014,2,38,6,1
AC,1,2,1,2,0.846612453,0.281661302,0.258967698,1,39,6,0
AC,2,2,2,2,0.328023374,0.259156346,0.283013433,2,40,6,1
AC,1,1,2,2,0.292710125,0.999230385,0.447138309,2,41,6,1
AC,1,1,2,2,0.329874843,0.658086896,0.282509476,2,42,6,1
AC,1,1,1,2,0.39878577,0.552191019,0.305825621,1,43,6,1
AC,1,1,1,2,0.387735039,0.811068237,1.470629692,1,44,6,1
AC,2,2,1,2,0.647702575,0.740470588,0.38819319,2,45,6,1
AC,2,2,1,2,0.365141124,0.56397289,0.317701042,1,46,6,1
AC,2,2,2,1,1.282741666,1.222793937,1.281414509,2,47,6,1
AC,1,1,2,2,0.294592023,1.1169312,0.316810161,2,48,6,1
AC,2,1,1,2,0.528916836,0.63466984,1.188256145,1,49,6,0
AC,1,2,1,1,1.564306259,1.928997755,1.575532556,1,0,7,0
AC,1,1,1,2,1.622924209,0.952218056,0.505999863,1,1,7,1
AC,2,2,1,1,2.364941359,1.799212456,0.588373959,1,2,7,1
AC,2,1,1,2,1.599681854,0.692210853,1.071202874,1,3,7,0
AC,1,1,2,2,0.387340397,1.116892338,0.236813456,1,4,7,1
AC,2,2,1,2,0.587642491,0.470864117,0.975605845,2,5,7,1
AC,1,1,2,2,0.317201704,0.587593555,0.294234335,2,6,7,1
AC,2,2,1,2,0.398649871,0.552257597,0.294197768,2,7,7,1
AC,2,1,1,2,0.375045329,0.364980191,0.341258228,2,8,7,0
