Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,mean,sd,Condition,Training
1,1,0,34.314,NaN,NaN,3.1172,0.45,0.0333,-1,1
1,0,0,34.314,NaN,NaN,3.9302,0.526,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.6645,0.474,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.0246,0.526,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.91814,0.474,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.85146,0.55,0.0333,-1,1
1,1,0,34.314,NaN,NaN,1.0647,0.474,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.9977,0.55,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.95805,0.55,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.59839,0.474,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.4512,0.526,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.87815,0.474,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.71817,0.474,0.1,-1,1
1,1,0,34.314,NaN,NaN,0.67815,0.45,0.1,-1,1
1,1,0,34.314,NaN,NaN,1.6645,0.45,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.1312,0.55,0.1,-1,1
1,1,0,34.314,NaN,NaN,0.65145,0.474,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.0916,0.474,0.0333,-1,1
1,1,0,34.314,NaN,NaN,1.0782,0.45,0.1,-1,1
1,1,0,34.314,NaN,NaN,0.57175,0.45,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.57158,0.45,0.0333,-1,1
1,1,1,33.66,NaN,NaN,4.3567,0.474,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.70475,0.526,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.5715,0.55,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.71819,0.474,0.0333,-1,1
1,0,1,33.66,NaN,NaN,0.77149,0.55,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.42486,0.526,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.69156,0.526,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.43828,0.55,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.4916,0.45,0.0333,-1,1
1,1,0,34.314,NaN,NaN,2.2242,0.474,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.70486,0.55,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.50491,0.526,0.1,-1,1
1,0,1,33.66,NaN,NaN,0.3983,0.526,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.54491,0.45,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.98481,0.55,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.65154,0.45,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.42496,0.55,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.55824,0.526,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.49158,0.55,0.0333,-1,1
1,0,1,33.66,NaN,NaN,0.89135,0.55,0.1,-1,1
1,0,1,33.66,NaN,NaN,1.7577,0.55,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.55826,0.526,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.0514,0.45,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.78477,0.45,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.53149,0.55,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.5049,0.526,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.67821,0.474,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.57153,0.45,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.85147,0.45,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.77141,0.526,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.4116,0.45,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.5716,0.474,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.038,0.526,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.65161,0.474,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.5715,0.45,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.1046,0.526,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.38489,0.474,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.51819,0.55,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.7177,0.526,0.1,-1,1
1,0,1,33.66,NaN,NaN,0.94483,0.526,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.51823,0.45,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.79814,0.55,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.70486,0.474,0.1,-1,1
1,0,0,38.235,NaN,NaN,2.424,0.55,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.8775,0.55,0.0333,-1,1
1,0,0,38.235,NaN,NaN,1.7309,0.55,0.0333,-1,1
1,0,1,9.15,NaN,NaN,2.6906,0.55,0.1,-1,1
1,1,1,15.2775,NaN,NaN,1.2111,0.474,0.1,-1,1
1,1,1,31.6175,NaN,NaN,1.3312,0.45,0.1,-1,1
1,1,1,45.915,NaN,NaN,1.5177,0.474,0.0333,-1,1
1,1,1,45.915,NaN,NaN,2.5573,0.45,0.0333,-1,1
1,0,0,14.706,NaN,NaN,1.2777,0.526,0.1,-1,1
1,1,0,2.941,NaN,NaN,1.1446,0.474,0.1,-1,1
1,0,0,36.275,NaN,NaN,0.5982,0.526,0.0333,-1,1
1,1,0,10.784,NaN,NaN,2.3041,0.474,0.0333,-1,1
1,1,1,27.5325,NaN,NaN,0.678,0.45,0.0333,-1,1
1,1,1,11.1925,NaN,NaN,2.464,0.474,0.0333,-1,1
1,1,0,18.627,NaN,NaN,1.9175,0.474,0.1,-1,1
1,0,0,40.1961,NaN,NaN,0.67801,0.55,0.0333,-1,1
1,1,1,37.745,NaN,NaN,2.6107,0.45,0.0333,-1,1
1,1,0,16.667,NaN,NaN,0.89126,0.474,0.1,-1,1
1,1,1,5.065,NaN,NaN,2.1575,0.474,0.1,-1,1
1,0,0,38.235,NaN,NaN,0.81128,0.526,0.1,-1,1
1,0,0,44.1176,NaN,NaN,1.2111,0.55,0.1,-1,1
1,1,1,45.915,NaN,NaN,1.0779,0.474,0.0333,-1,1
1,0,0,50,NaN,NaN,0.82459,0.526,0.0333,-1,1
1,0,0,50,NaN,NaN,0.93128,0.526,0.0333,-1,1
1,1,0,14.706,NaN,NaN,2.0508,0.474,0.0333,-1,1
1,0,0,12.745,NaN,NaN,2.3708,0.526,0.1,-1,1
1,1,1,19.3625,NaN,NaN,1.1311,0.45,0.1,-1,1
1,0,0,26.471,NaN,NaN,1.2912,0.55,0.1,-1,1
1,0,0,28.431,NaN,NaN,0.98462,0.526,0.0333,-1,1
1,0,0,12.745,NaN,NaN,1.1046,0.526,0.1,-1,1
1,1,1,15.2775,NaN,NaN,0.82462,0.474,0.0333,-1,1
1,1,1,31.6175,NaN,NaN,0.63808,0.45,0.0333,-1,1
1,1,0,8.824,NaN,NaN,1.6778,0.45,0.1,-1,1
1,1,0,14.706,NaN,NaN,1.2112,0.474,0.0333,-1,1
1,1,1,19.3625,NaN,NaN,0.50479,0.45,0.0333,-1,1
1,1,1,7.10749999999999,NaN,NaN,2.1308,0.474,0.1,-1,1
1,1,0,12.745,NaN,NaN,1.6776,0.45,0.0333,-1,1
1,0,0,40.1961,NaN,NaN,0.6381,0.55,0.0333,-1,1
1,0,0,14.706,NaN,NaN,0.70477,0.526,0.1,-1,1
1,1,1,19.3625,NaN,NaN,1.3177,0.45,0.1,-1,1
1,0,1,9.15,NaN,NaN,2.9438,0.526,0.1,-1,1
1,0,0,16.667,NaN,NaN,1.6243,0.55,0.1,-1,1
1,0,0,28.431,NaN,NaN,0.63803,0.526,0.1,-1,1
1,0,0,38.235,NaN,NaN,0.69133,0.55,0.0333,-1,1
1,0,0,50,NaN,NaN,0.94453,0.526,0.0333,-1,1
1,1,0,10.784,NaN,NaN,2.2374,0.45,0.1,-1,1
1,1,0,12.745,NaN,NaN,1.8243,0.45,0.1,-1,1
1,1,1,9.15,NaN,NaN,0.97139,0.45,0.1,-1,1
1,0,0,28.431,NaN,NaN,0.66469,0.55,0.1,-1,1
1,0,0,16.667,NaN,NaN,0.67804,0.526,0.1,-1,1
1,1,0,12.745,NaN,NaN,0.98464,0.474,0.1,-1,1
1,1,1,13.235,NaN,NaN,0.85135,0.45,0.1,-1,1
1,0,0,50,NaN,NaN,0.49142,0.55,0.0333,-1,1
1,0,0,16.667,NaN,NaN,1.4777,0.55,0.1,-1,1
1,0,0,26.471,NaN,NaN,1.1844,0.55,0.1,-1,1
1,1,1,15.2775,NaN,NaN,0.86462,0.474,0.1,-1,1
1,1,1,27.5325,NaN,NaN,0.75807,0.45,0.0333,-1,1
1,1,1,13.235,NaN,NaN,1.0379,0.474,0.0333,-1,1
1,0,0,50,NaN,NaN,0.59813,0.526,0.0333,-1,1
