"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Difficulty","Condition"
"1",1,0,21.4708116319444,3.57,3.266532124,0.31,"incongruent"
"1",1,0,100,1.114,0.998847006,0.46,"congruent"
"1",1,1,18.9236111111111,4.974,0.981719789,0.46,"congruent"
"1",1,1,33.8123914930556,1.698,1.782953746,0.31,"incongruent"
"1",1,0,75.693359375,1.26,4.084064778,0.51,"congruent"
"1",1,0,92.8781467013889,1.31,1.649267213,0.51,"congruent"
"1",0,1,82.4278428819444,1.226,2.666584087,-0.51,"congruent"
"1",1,0,77.8119574652778,1.578,1.666323684,0.36,"incongruent"
"1",1,0,91.8326822916667,0.631,1.682243697,0.51,"congruent"
"1",0,1,100,0.654,1.466340187,-0.36,"incongruent"
"1",0,1,90.7915581597222,0.623,1.249186686,-0.35,"congruent"
"1",1,0,100,1.412,1.182423512,0.36,"congruent"
"1",0,1,91.2619357638889,1.497,1.499367164,-0.16,"incongruent"
"1",0,1,92.0399305555556,0.681,1.949054086,-0.31,"incongruent"
"1",0,1,94.5301649305556,1.495,1.832299898,-0.42,"congruent"
"1",1,0,97.6019965277778,0.957,2.833407997,0.15,"incongruent"
"1",1,0,76.9574652777778,2.749,2.916226676,0.41,"congruent"
"1",0,1,100,1.278,1.34851032,-0.52,"incongruent"
"1",0,1,97.4294704861111,0.945,1.13189727,-0.27,"congruent"
"1",0,1,98.4282769097222,0.632,1.632019515,-0.41,"congruent"
"1",1,1,91.9656032986111,1.698,2.232625777,0.18,"congruent"
"1",1,1,76.0107421875,0.64,1.383037872,0.26,"incongruent"
"1",0,1,100,1.246,1.098850453,-0.73,"incongruent"
"1",0,1,94.8611111111111,1.304,0.915772732,-0.15,"incongruent"
"1",1,0,83.3403862847222,1.256,1.782749076,0.41,"congruent"
"1",0,1,82.0138888888889,0.821,1.7157945,-0.41,"congruent"
"1",0,1,99.2637803819444,0.546,1.132341636,-0.26,"incongruent"
"1",0,1,96.0904947916667,0.773,1.532737129,-0.26,"incongruent"
"1",1,1,75.3390842013889,1.397,1.765647736,0.21,"incongruent"
"1",1,0,83.8872612847222,1.603,1.031854079,0.39,"congruent"
"1",1,1,93.0474175347222,0.604,1.232677915,0.26,"incongruent"
"1",1,1,72.6719835069444,1.258,1.632785494,0.36,"congruent"
"1",1,0,98.1787109375,1.124,0.965953513,0.31,"incongruent"
"1",0,1,92.1701388888889,0.855,0.83268813,-0.41,"congruent"
"1",1,1,91.2516276041667,0.883,1.282354756,0.31,"incongruent"
"1",1,0,96.3422309027778,0.679,1.265679232,0.36,"incongruent"
"1",0,1,82.3692491319444,1.325,1.549596642,-0.15,"incongruent"
"1",0,1,81.9911024305556,1.315,1.548523738,-0.36,"incongruent"
"1",0,1,97.0480685763889,0.617,1.315798227,-0.41,"congruent"
"1",1,1,21.9949001736111,0.965,1.515919296,0.31,"incongruent"
"1",0,1,61.5082465277778,1.352,1.366011305,-0.36,"incongruent"
"1",0,1,100,0.608,1.366306291,-0.36,"incongruent"
"1",1,1,12.4104817708333,1.848,1.61544869,0.31,"incongruent"
"1",1,1,27.8917100694444,0.602,1.482079919,0.36,"incongruent"
"1",0,1,82.5271267361111,1.203,1.015803898,-0.2,"congruent"
"1",1,0,85.4665798611111,0.923,1.115270625,0.41,"incongruent"
