Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Trial_number,Skin_site,raw_Confidence_NotReverseCoded,raw_Response,logTransformed_RT_dec_NaNOutlier,logTransformed_RT_conf_NaNOutlier
4,47,5.36,100,3950,2823,3,3,0.13,5.36,8.281470858,7.945555428
4,46.5,6.43,100,3673,1989,4,4,0.21,6.43,8.208764046,7.595387279
4,43.5,2.56,100,3312,1416,5,5,-2.32,2.56,8.105307516,7.255591274
4,48.5,7.98,100,2152,4024,6,6,-6.11,7.98,7.674152921,8.300031712
4,42.5,1.03,100,2305,2134,7,7,-0.82,1.03,7.742835955,7.665753432
4,48.5,8.28,NaN,1818,5432,8,8,-0.19,8.28,7.505492275,NaN
4,45.5,4.03,100,2020,1834,9,1,-0.74,4.03,7.61085279,7.514254653
4,43,0,100,721,1836,10,2,-5.88,-1.35,6.580639137,7.515344571
4,43.5,0,100,1118,1376,11,3,-15.52,-1.38,7.019296654,7.226936018
4,48,8.05,100,4200,949,12,4,-4.93,8.05,8.342839804,6.855408799
4,46,5.35,100,1388,1042,13,5,-11.73,5.35,7.235619141,6.948897222
4,46,1.96,100,2402,1207,14,6,-6.04,1.96,7.784057003,7.095893221
4,48,10,100,861,929,15,7,-4.69,10.5,6.758094504,6.834108739
4,44,2.98,100,2645,1103,16,8,-16.15,2.98,7.880426344,7.005789019
4,47.5,6.98,100,2290,1312,17,1,-6.83,6.98,7.736307097,7.17930797
4,47.5,8.08,100,1637,852,18,2,-16.71,8.08,7.400620577,6.747586527
4,46,5.4,100,1437,816,19,3,-15.76,5.4,7.270312886,6.704414355
4,44,1.01,100,1687,976,20,4,-7.38,1.01,7.430707083,6.883462586
4,47.5,8.05,100,1367,1100,21,5,-18.84,8.05,7.220373837,7.003065459
4,44,1,100,1353,972,22,6,-2.4,1,7.210079628,6.879355804
4,46,6.97,100,3528,656,23,7,-16.08,6.97,8.168486417,6.486160789
4,46,5.48,100,1659,861,24,8,-16.94,5.48,7.41397029,6.758094504
5,41,1.39,90.86,4652,5929,1,1,9.14,1.39,8.445052514,8.687610844
5,44,1.99,90.62,4651,4027,2,2,9.38,1.99,8.444837529,8.300776961
5,47,6.4,83.43,2498,6555,3,3,16.57,6.4,7.823245691,8.787983396
5,45.5,5.07,88.17,2416,1589,4,4,11.83,5.07,7.789868559,7.370860167
5,42,1.23,NaN,11042,6328,5,5,8.19,1.23,NaN,NaN
5,48.5,7.97,100,2291,8993,6,6,-6.91,7.97,7.736743682,9.104201776
5,42.5,3.02,88.8,1812,1244,7,7,11.2,3.02,7.502186487,7.126087273
5,48,8.1,100,1867,917,8,8,-16,8.1,7.532088144,6.821107472
5,45,6.01,90.62,1144,3571,9,1,9.38,6.01,7.042286172,8.180600948
5,42,1.06,90.7,2527,10519,10,2,9.3,1.06,7.834788107,9.260938425
5,42.5,1.02,97.81,778,1444,11,3,2.19,1.02,6.656726524,7.275172319
5,48,8.11,100,1422,1322,12,4,-17.89,8.11,7.25981961,7.18690102
5,45.5,6.42,80.5,708,1015,13,5,19.5,6.42,6.562444094,6.922643891
5,45,2.01,100,1617,824,14,6,-3.74,2.01,7.38832786,6.71417053
5,47.5,7.51,86.83,1014,840,15,7,13.17,7.51,6.921658184,6.733401892
5,43,2.45,89.2,833,1584,16,8,10.8,2.45,6.725033642,7.367708572
5,48,8.17,90.54,2722,9064,17,1,9.46,8.17,7.909122183,9.112065803
5,47.5,6.52,91.33,1874,906,18,2,8.67,6.52,7.535830463,6.809039306
5,45.5,3.96,94.18,1118,2735,19,3,5.82,3.96,7.019296654,7.913886715
5,42.5,1.44,100,1533,575,20,4,-6.19,1.44,7.334981879,6.354370041
5,48,7.5,92.28,1687,7132,21,5,7.72,7.5,7.430707083,8.872346979
5,42.5,1.71,89.91,1110,945,22,6,10.09,1.71,7.012115294,6.851184927
5,45.5,1.98,92.91,1783,7908,23,7,7.09,1.98,7.486052618,8.975630184
5,45.5,4.6,91.96,1075,1160,24,8,8.04,4.6,6.980075941,7.056175284
6,41,3,90.62,4735,13030,1,1,9.38,3,8.462737006,9.47500967
6,44,5.43,100,6970,15404,2,2,-0.58,5.43,8.849370504,9.642382495
6,46.5,7.96,NaN,2707,51970,3,3,-5.56,7.96,7.90359629,NaN
6,43.5,7.65,81.14,9680,27904,4,4,18.86,7.65,9.17781718,10.23652533
6,40.5,5.01,100,2888,3414,5,5,-1.53,5.01,7.9683195,8.135639903
6,45,7.95,100,3395,28149,6,6,-9.59,7.95,8.13005904,10.24526711
6,39.5,5.88,90.54,6006,8203,7,7,9.46,5.88,8.700514249,9.01225522
6,44.5,7.43,100,3263,2559,8,8,-0.27,7.43,8.090402297,7.847371836
6,41,3.99,100,1832,1313,9,1,-14.49,3.99,7.513163545,7.180069874
6,38,2.99,100,1618,1387,10,2,-0.98,2.99,7.388946098,7.23489842
6,37,2.42,100,2020,1323,11,3,-0.66,2.42,7.61085279,7.187657164
6,44.5,6.48,100,6138,1228,12,4,-16.94,6.48,8.722254235,7.113142109
6,41.5,4.03,100,3263,1027,13,5,-16.08,4.03,8.090402297,6.93439721
6,41.5,4.94,100,1145,893,14,6,-18.6,4.94,7.043159916,6.794586581
6,45,7.93,100,5937,2302,15,7,-0.34,7.93,8.688959234,7.741533589
6,37,3.98,100,1291,1361,16,8,-17.26,3.98,7.163172391,7.215975003
6,45,6.43,100,1583,7416,17,1,-3.11,6.43,7.36707706,8.911395107
6,45,6.97,100,1576,960,18,2,-18.29,6.97,7.36264527,6.866933284
6,41.5,4.97,100,1735,1992,19,3,-2,4.97,7.458762692,7.596894438
6,36,1.98,100,3325,2110,20,4,-13.31,1.98,8.109224953,7.654443226
6,45.5,7.97,88.88,1645,4461,21,5,11.12,7.97,7.405495663,8.403128235
6,36.5,4.48,100,6743,1831,22,6,-3.98,4.48,8.816260209,7.512617545
6,41,2.93,100,679,986,23,7,-0.74,2.93,6.520621128,6.893656355
6,41,4.97,100,2749,1276,24,8,-16.71,4.97,7.918992488,7.151485464
7,41,1.9,98.76,3930,9569,1,1,1.24,1.9,8.276394705,9.166283986
7,44,2.47,97.18,1916,3016,2,2,2.82,2.47,7.557994959,8.011686729
7,46,7.96,95.92,2561,4009,3,3,4.08,7.96,7.848153086,8.296297113
7,44,7.98,97.42,1672,1782,4,4,2.58,7.98,7.421775794,7.485491608
7,42.5,1.98,100,1825,1937,5,5,0.76,1.98,7.509335266,7.568895663
7,45,8.93,97.5,721,8092,6,6,2.5,8.93,6.580639137,8.998631198
7,42.5,7.88,97.1,1555,2438,7,7,2.9,7.88,7.349230825,7.79893331
7,44.5,7.92,100,1569,1866,8,8,-3.59,7.92,7.358193753,7.531552381
7,43,7.99,97.42,1874,3121,9,1,2.58,7.99,7.535830463,8.045908742
7,42,0.85,96.95,2200,2084,10,2,3.05,0.85,7.696212639,7.642044403
7,42.5,7.94,97.26,1492,1630,11,3,2.74,7.94,7.307872781,7.396335294
7,44,7.9,97.81,1679,1559,12,4,2.19,7.9,7.425953657,7.351799869
7,43,7.98,97.89,1277,2265,13,5,2.11,7.98,7.152268856,7.725330038
7,43,7.88,NaN,8749,14164,14,6,2.98,7.88,NaN,NaN
