Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,ContrastLevel,BlockNumber
1,0,1,1,0.931331504,0.29588752,0.053092118,2,2
1,1,1,1,1.271846267,0.216657901,0.035394745,1,2
1,1,1,3,0.826083153,0.312506589,0.053092118,2,2
1,0,1,2,1.858163696,0.38386253,0.070789491,3,2
1,1,1,2,0.814940271,0.544083499,0.070789491,3,2
1,0,1,2,0.630682945,0.288043499,0.035394745,1,2
1,1,1,3,0.774957265,0.160080232,0.053092118,2,2
1,0,1,3,0.894681449,0.543870144,0.053092118,2,2
1,0,1,3,0.827092775,0.383689057,0.035394745,1,2
1,0,1,2,1.46448127,0.232412867,0.035394745,1,2
1,1,1,2,1.059001647,0.199301689,0.053092118,2,2
1,0,0,3,1.829961599,0.711897338,0.035394745,1,2
1,1,1,2,0.678450673,0.520486448,0.053092118,2,2
1,1,1,3,0.708437497,0.519406888,0.035394745,1,2
1,0,1,3,0.785180806,0.479256737,0.035394745,1,2
1,0,0,1,2.260149685,0.519584677,0.035394745,1,2
1,1,1,1,0.883001501,0.232595193,0.035394745,1,2
1,0,1,3,1.891976274,0.280262378,0.053092118,2,2
1,1,1,3,0.562966135,0.248020641,0.053092118,2,2
1,1,1,3,0.496721374,0.271476004,0.070789491,3,2
1,1,1,3,0.742946275,0.415984732,0.035394745,1,2
1,1,1,1,1.64907717,0.349595637,0.035394745,1,2
1,1,1,2,0.811976311,0.295838277,0.035394745,1,2
1,1,1,2,0.661560036,0.167993974,0.035394745,1,2
1,1,1,4,0.69870062,0.255914169,0.070789491,3,2
1,1,1,4,0.473701372,0.167866048,0.070789491,3,2
1,1,1,4,0.445105232,0.176667144,0.070789491,3,2
1,0,0,3,1.993671661,1.480536732,0.053092118,2,2
1,1,1,4,0.813491067,0.215724661,0.070789491,3,2
1,0,1,2,0.946551743,0.319295039,0.035394745,1,2
1,1,1,4,0.685182196,0.319398378,0.070789491,3,2
1,1,1,4,1.106460604,0.22370622,0.053092118,2,2
1,1,1,2,0.802998356,0.480540453,0.035394745,1,2
1,1,1,3,0.612751575,0.496273833,0.070789491,3,2
1,1,0,1,2.806264878,0.280329617,0.035394745,1,2
1,0,0,1,1.705488342,0.200205693,0.070789491,3,2
1,0,1,2,0.931214789,0.591695637,0.070789491,3,2
1,1,1,2,1.763684151,0.656263763,0.053092118,2,2
1,0,0,3,0.848841181,0.536175291,0.070789491,3,2
1,1,1,3,1.134986261,0.816432215,0.035394745,1,2
1,1,1,1,1.510908054,0.599552425,0.053092118,2,2
1,1,1,1,0.696736794,0.671888337,0.070789491,3,2
1,1,1,3,0.902912634,0.368146457,0.070789491,3,2
1,1,1,4,0.538100322,0.30360741,0.053092118,2,2
1,0,1,3,0.654226611,0.439415472,0.070789491,3,2
1,0,0,4,0.647572372,0.480334119,0.070789491,3,2
1,0,1,1,1.024459208,0.688492098,0.035394745,1,2
1,1,1,3,0.537982513,0.344487111,0.053092118,2,2
1,0,1,2,0.964520124,0.687499555,0.053092118,2,2
1,0,0,2,1.255608347,0.896319137,0.070789491,3,2
1,1,1,3,0.655129622,0.312482104,0.070789491,3,2
1,0,0,2,1.149809224,0.600529318,0.070789491,3,2
1,1,1,2,1.166019949,0.303660713,0.035394745,1,2
1,0,1,1,0.896157859,0.37600205,0.035394745,1,2
1,0,1,1,0.715021369,0.368067166,0.053092118,2,2
1,0,1,1,1.541212388,0.42384758,0.035394745,1,2
1,0,1,2,0.764635287,0.591836047,0.053092118,2,2
1,0,1,1,0.755957448,0.463968875,0.035394745,1,2
1,1,1,2,1.072935027,0.31942487,0.070789491,3,2
1,1,1,1,0.870886839,0.944300908,0.035394745,1,2
1,0,1,1,1.07538583,0.488164607,0.053092118,2,2
1,1,1,1,1.267086428,0.368156611,0.053092118,2,2
1,1,1,3,0.799350327,0.576229562,0.070789491,3,2
1,1,1,2,0.453778856,0.442926839,0.070789491,3,2
1,1,1,3,0.927976506,0.744309056,0.035394745,1,2
1,0,0,2,0.690808882,0.423821934,0.070789491,3,2
1,0,1,2,1.372427765,0.288054405,0.053092118,2,2
1,1,1,2,0.664446313,0.495149981,0.070789491,3,2
1,0,0,2,1.223887281,1.287100216,0.070789491,3,2
1,1,1,2,1.096818906,0.168040597,0.053092118,2,2
1,0,0,1,1.492815842,0.207999046,0.035394745,1,2
1,1,1,1,0.813981656,0.255807055,0.035394745,1,2
1,0,0,3,1.488914661,0.183513453,0.070789491,3,2
1,1,1,3,0.772073657,0.431528741,0.070789491,3,2
1,0,0,3,0.552986923,0.415981514,0.070789491,3,2
1,0,1,3,1.159920031,0.20790997,0.053092118,2,2
1,1,1,1,1.567150787,0.247067312,0.035394745,1,2
1,0,1,1,1.796143529,0.568363383,0.053092118,2,2
1,1,1,4,0.915774962,0.360102464,0.070789491,3,2
1,1,1,4,0.726679163,0.215837316,0.053092118,2,2
1,1,1,2,0.878613476,0.551820828,0.035394745,1,2
1,0,1,1,1.363831905,0.335933182,0.070789491,3,2
1,1,1,1,0.980889428,0.248040768,0.035394745,1,2
1,0,0,1,1.169922712,0.30371199,0.035394745,1,2
1,0,0,1,0.948939582,0.248033129,0.070789491,3,2
1,0,1,1,1.202530974,0.184525872,0.070789491,3,2
1,0,0,2,1.225001242,0.431602957,0.070789491,3,2
1,0,0,2,1.116650604,0.791982234,0.053092118,2,2
1,0,1,1,1.366770117,0.343642323,0.070789491,3,2
1,0,0,1,1.375395187,0.464583533,0.053092118,2,2
1,0,0,1,1.71653793,0.287015953,0.053092118,2,2
1,0,0,1,1.090319129,0.279164496,0.053092118,2,2
1,1,1,2,1.992594699,0.519537362,0.053092118,2,2
1,1,1,2,1.298168224,0.19246297,0.053092118,2,2
1,0,0,1,1.684680405,0.528182875,0.035394745,1,2
1,0,0,2,1.114272863,0.471695565,0.053092118,2,2
1,0,0,3,0.72100967,0.479406007,0.053092118,2,2
1,0,1,1,1.062401246,1.063279205,0.035394745,1,2
1,1,1,2,1.167281587,0.175733411,0.053092118,2,2
1,0,0,2,0.886904133,0.431823982,0.035394745,1,2
1,1,1,1,1.017540974,0.360095495,0.035394745,1,3
1,0,1,1,1.120457982,0.287984519,0.053092118,2,3
1,0,1,1,1.333977317,0.231894782,0.070789491,3,3
1,0,0,2,0.980789123,0.375927229,0.035394745,1,3
1,1,1,2,1.164171926,0.375958691,0.053092118,2,3
1,1,1,2,0.732441543,0.647925095,0.053092118,2,3
1,1,1,3,0.827153556,0.199977347,0.053092118,2,3
1,1,1,2,1.191809385,0.367962186,0.053092118,2,3
1,1,1,2,0.95927096,0.575963046,0.035394745,1,3
1,1,1,2,0.815539566,0.303840241,0.070789491,3,3
1,0,1,2,1.872129389,0.487963088,0.070789491,3,3
1,1,0,1,1.735876492,0.48799793,0.070789491,3,3
1,1,1,2,1.556916114,0.519961383,0.070789491,3,3
1,0,1,1,1.800021007,0.703950415,0.035394745,1,3
1,1,1,2,1.617698292,0.479990677,0.070789491,3,3
1,1,1,1,1.332140209,0.407848532,0.035394745,1,3
1,0,0,2,1.172269577,0.232028608,0.053092118,2,3
1,1,0,2,1.457696256,0.464011787,0.053092118,2,3
1,1,1,2,0.938752725,0.686880505,0.053092118,2,3
1,1,0,1,2.335936211,0.671848806,0.053092118,2,3
1,0,1,1,1.389441382,0.3040589,0.035394745,1,3
1,0,0,3,1.127704624,0.279996675,0.053092118,2,3
1,1,0,1,2.397179956,0.687966307,0.070789491,3,3
1,0,0,1,2.423806134,0.239982425,0.035394745,1,3
1,0,0,1,1.371706995,0.247902882,0.053092118,2,3
1,1,1,1,1.80050546,0.287989376,0.053092118,2,3
1,1,1,3,1.314918564,0.351730269,0.070789491,3,3
1,0,1,3,1.125645259,0.911872836,0.053092118,2,3
1,1,0,1,1.474095362,0.287951143,0.070789491,3,3
1,0,0,1,1.505572543,0.367943517,0.035394745,1,3
1,1,1,1,1.012523804,0.407959485,0.070789491,3,3
1,0,0,1,2.025348443,0.199902251,0.070789491,3,3
1,0,1,1,1.646336907,0.215822074,0.053092118,2,3
1,1,0,1,1.673886614,0.295855894,0.070789491,3,3
1,0,1,1,1.312956032,0.255862756,0.035394745,1,3
1,1,1,1,1.215772005,0.18396539,0.053092118,2,3
1,1,1,1,1.42116495,0.208046423,0.053092118,2,3
1,0,0,1,0.978085258,0.239868682,0.053092118,2,3
1,1,1,1,0.958816857,0.207935315,0.035394745,1,3
1,1,1,1,1.04546941,0.192015207,0.070789491,3,3
1,0,0,1,1.129544112,0.231973228,0.070789491,3,3
1,1,1,1,1.096963972,0.231829805,0.053092118,2,3
1,0,1,1,1.153695328,0.248021087,0.053092118,2,3
1,0,0,3,1.023266335,0.983888911,0.070789491,3,3
1,0,1,1,1.548819497,0.287937869,0.053092118,2,3
1,0,1,1,1.009112193,0.239970436,0.035394745,1,3
1,1,1,1,1.388478375,0.240030797,0.035394745,1,3
1,1,1,1,1.657347036,0.415996952,0.070789491,3,3
1,1,0,2,1.82834134,0.463947423,0.053092118,2,3
1,0,1,1,0.758707898,0.280007623,0.035394745,1,3
1,1,1,3,0.754708715,0.271993302,0.053092118,2,3
1,0,1,1,1.975467219,0.463880518,0.035394745,1,3
1,1,1,3,1.427865167,0.359936572,0.053092118,2,3
1,0,0,4,0.642023349,0.36000447,0.070789491,3,3
1,1,1,2,1.495359528,0.831833038,0.035394745,1,3
1,1,1,1,1.272461133,0.215911588,0.053092118,2,3
1,1,1,4,0.705574482,0.256948009,0.035394745,1,3
1,1,1,2,1.177896093,0.648031,0.035394745,1,3
1,0,1,1,1.35088356,0.847953603,0.053092118,2,3
1,1,1,4,0.692505702,0.303977514,0.070789491,3,3
1,1,1,4,0.658467666,0.200010046,0.070789491,3,3
1,1,1,2,0.989813168,0.407933787,0.035394745,1,3
1,0,1,2,1.619944862,0.367969517,0.035394745,1,3
1,0,0,4,0.586255793,0.263963621,0.070789491,3,3
1,0,0,3,0.789439517,0.295871477,0.053092118,2,3
1,0,1,2,1.135575461,0.375941372,0.070789491,3,3
1,0,0,3,0.865029325,0.25599548,0.070789491,3,3
1,0,1,1,1.113701134,0.343982817,0.053092118,2,3
1,0,1,1,0.989176401,0.527950452,0.035394745,1,3
1,1,1,2,0.92592613,0.248062331,0.070789491,3,3
1,0,0,3,0.676688065,0.272013971,0.070789491,3,3
1,0,1,2,0.932009339,0.376000345,0.053092118,2,3
1,1,1,3,0.781393825,0.240047669,0.070789491,3,3
1,0,1,3,0.666095822,0.527939553,0.035394745,1,3
1,1,1,1,1.528155384,0.351892083,0.035394745,1,3
1,0,0,3,0.571128102,0.359946102,0.053092118,2,3
1,0,0,3,0.715701302,0.263918245,0.070789491,3,3
1,1,1,1,1.042310544,0.27196896,0.035394745,1,3
1,1,1,1,1.507736659,0.415940513,0.035394745,1,3
1,1,1,1,1.332695337,0.224014106,0.035394745,1,3
1,0,1,1,1.116265455,0.263842438,0.053092118,2,3
1,1,1,1,1.019115301,0.223840127,0.035394745,1,3
1,0,0,1,1.647020071,0.223931337,0.035394745,1,3
1,1,1,3,0.642015537,0.327934921,0.053092118,2,3
1,0,1,1,1.096651167,0.303896,0.070789491,3,3
1,0,1,2,1.254150791,0.207876752,0.070789491,3,3
1,1,1,1,0.91346947,0.648065924,0.035394745,1,3
1,0,1,1,1.401082266,0.167939373,0.035394745,1,3
1,0,1,1,0.631685757,0.264173799,0.053092118,2,3
1,0,0,3,0.729798539,0.288053905,0.070789491,3,3
1,1,1,3,1.038485862,0.175945855,0.053092118,2,3
1,1,1,2,1.71579707,0.216092318,0.035394745,1,3
1,0,1,1,0.804130818,0.21584016,0.035394745,1,3
1,0,1,1,0.7288454,0.231943026,0.035394745,1,3
1,0,1,1,1.208136312,0.216004116,0.070789491,3,3
1,1,1,2,0.964926416,0.439936543,0.035394745,1,3
1,0,1,1,0.810377657,0.239995605,0.070789491,3,3
1,1,1,4,0.61364637,0.224098929,0.070789491,3,3
1,0,1,3,0.793660558,0.223973415,0.070789491,3,3
1,0,1,3,0.694312457,0.191916888,0.035394745,1,3
1,0,0,2,1.528200782,0.39196043,0.053092118,2,3
1,1,1,2,1.673227491,0.391946385,0.070789491,3,3
1,0,1,1,1.079115966,0.256005029,0.053092118,2,4
1,1,1,1,1.167199877,0.279976119,0.053092118,2,4
1,1,1,4,0.682346592,0.192889808,0.053092118,2,4
1,1,1,3,0.837882703,0.183996465,0.053092118,2,4
1,1,1,4,1.162573179,0.559824797,0.053092118,2,4
1,1,1,2,0.579530298,0.904001063,0.035394745,1,4
1,1,1,3,0.733677832,0.255910271,0.070789491,3,4
1,1,1,4,0.619598566,0.232012108,0.035394745,1,4
