Subj_idx,Stimulus,Response,Confidence,RT_dec,NoiseLevel,Condition,Accuracy,Mean_direction,SD_direction
1,0,0,68,0.440201998,1.160643953,6,1,-44.61358644,53.45104347
1,0,0,72,0.576212168,0.715584993,3,1,-48.28424393,40.32011218
1,1,0,66,0.738121033,1.160643953,6,0,47.09720944,53.85275241
1,1,1,87,0.632245064,0.715584993,3,1,44.31475916,36.89938223
1,0,0,65,0.866039038,1.160643953,6,1,-46.35488317,58.43235256
1,1,1,84,0.348103046,0.715584993,3,1,44.00107437,36.41191411
1,1,0,50,1.757742167,1.160643953,6,0,41.39976159,56.68136929
1,0,1,86,1.285712004,1.160643953,6,0,-49.84607851,55.42661437
1,1,0,51,1.015776157,1.160643953,6,0,48.85049702,56.572541
1,0,0,55,1.073606968,0.715584993,3,1,-45.88518433,38.65219655
1,0,1,71,0.585466862,0.715584993,3,0,-44.47638166,38.49904346
1,1,0,50,0.847521067,1.160643953,6,0,33.3482808,52.8241671
1,1,0,55,0.917399883,1.160643953,6,0,46.09397861,54.28001545
1,1,1,59,1.035266876,1.160643953,6,1,47.42912201,57.71707756
1,0,1,74,1.007271051,1.160643953,6,0,-47.6582362,51.70140447
1,0,1,70,0.949157953,1.160643953,6,0,-40.57143829,52.95154007
1,0,0,56,1.013297796,1.160643953,6,1,-50.03128739,58.76134801
1,1,1,52,1.047100067,1.160643953,6,1,35.06597507,56.13511642
1,0,1,71,0.583101988,1.160643953,6,0,-41.11802907,57.29199364
1,1,0,69,0.783146858,1.160643953,6,0,45.16608063,54.91660861
1,0,0,69,0.732954979,1.160643953,6,1,-46.44342457,56.93576543
1,1,0,62,0.876738071,1.160643953,6,0,42.37246577,56.08021918
1,1,1,63,0.63270092,1.160643953,6,1,51.51588954,55.40636433
1,1,1,78,0.854762077,0.715584993,3,1,46.346388,37.32576952
1,1,0,74,0.760701895,1.160643953,6,0,40.80728569,54.68020036
1,1,1,76,0.572635174,1.160643953,6,1,44.71302832,56.06102148
1,0,0,78,1.790455103,1.160643953,6,1,-50.6285318,52.61749451
1,1,1,59,1.096411943,0.715584993,3,1,47.52857374,40.75516367
1,0,0,73,0.480369091,0.715584993,3,1,-45.03862968,38.65333081
1,0,0,67,1.178329945,1.160643953,6,1,-37.66319356,54.99130302
1,1,1,68,0.966268063,0.715584993,3,1,49.05169391,36.05021828
1,1,1,80,0.578231096,1.160643953,6,1,48.40284767,54.41780073
1,1,1,86,0.626209974,0.715584993,3,1,38.52878133,37.96818909
1,1,1,84,0.781973839,1.160643953,6,1,41.06138581,56.91859589
1,1,0,59,1.085945129,0.715584993,3,0,44.0674328,37.78147068
1,0,1,67,0.393872023,1.160643953,6,0,-38.43772243,53.4885174
