Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Prompt_time
1,1,2,50,0.90134,2.5895,0.08,0.75
1,2,1,65,1.0005,1.8475,0.04,0.05
1,2,2,66,0.79619,2.9728,0.04,1.5
1,2,1,72,1.0498,2.578,0.08,0.75
1,1,1,73,0.83162,1.6417,0.02,0.05
1,1,2,84,0.77013,1.5679,0.08,0.05
1,2,2,77,0.74473,2.2361,0.04,0.75
1,1,1,85,0.74873,1.5465,0.16,0.05
1,2,2,85,0.73435,2.1642,0.16,0.75
1,2,1,77,0.99707,1.8809,0.02,0.05
1,1,1,98,0.75053,2.964,0.16,1.5
1,1,2,87,0.99627,2.4876,0.02,0.75
1,2,1,72,0.80822,3.0955,0.08,1.5
1,1,1,94,0.86645,3.0922,0.16,1.5
1,1,1,58,1.071,2.587,0.02,0.75
1,1,1,77,0.81947,1.6172,0.16,0.05
1,1,2,75,0.77519,1.6221,0.08,0.05
1,2,1,65,1.0011,3.2145,0.02,1.5
1,1,1,92,0.85656,3.1192,0.08,1.5
1,2,2,78,1.1669,1.9646,0.04,0.05
1,1,1,86,0.79124,2.3072,0.04,0.75
1,1,1,90,0.89399,3.1689,0.04,1.5
1,2,2,75,0.83691,2.5251,0.08,0.75
1,1,1,91,0.71504,1.5251,0.08,0.05
1,2,2,83,0.71393,2.1684,0.02,0.75
1,2,2,83,0.78692,2.988,0.04,1.5
1,2,2,80,0.79933,1.5971,0.16,0.05
1,1,2,49,0.76364,2.9647,0.02,1.5
1,1,1,90,0.81881,2.2856,0.16,0.75
1,1,2,52,0.76711,1.7125,0.04,0.05
1,2,2,77,0.80277,3.053,0.02,1.5
1,1,1,78,0.84503,2.361,0.04,0.75
1,2,2,78,0.89071,3.1164,0.08,1.5
1,2,1,90,0.83573,3.1229,0.04,1.5
1,1,2,72,0.85628,2.4214,0.08,0.75
1,1,2,69,1.0403,1.8996,0.02,0.05
1,2,1,72,0.95343,1.788,0.02,0.05
1,2,2,79,0.79464,1.617,0.08,0.05
1,2,2,83,0.79843,1.5716,0.16,0.05
1,2,1,71,0.77632,2.2677,0.02,0.75
1,2,2,76,0.78762,3.0502,0.08,1.5
1,1,1,85,0.99343,2.4725,0.16,0.75
1,1,1,84,0.82133,2.3373,0.04,0.75
1,1,1,99,0.8406,3.091,0.16,1.5
1,1,1,77,0.85111,1.7718,0.04,0.05
1,2,1,11,0.82922,3.0673,0.16,1.5
1,1,1,73,0.79301,3.1664,0.08,1.5
1,2,2,78,0.82055,2.3119,0.08,0.75
1,2,1,83,0.79843,3.0365,0.04,1.5
1,2,2,48,0.87358,1.819,0.04,0.05
1,2,2,71,0.88501,1.7935,0.02,0.05
1,2,2,18,0.73434,2.2011,0.02,0.75
1,2,2,87,0.80658,3.0323,0.16,1.5
1,1,1,88,0.79672,2.2881,0.16,0.75
1,2,2,87,0.80638,2.2608,0.04,0.75
1,2,1,64,0.80231,3.0773,0.08,1.5
1,1,1,91,0.7532,1.5632,0.16,0.05
1,1,1,46,0.83479,3.1835,0.04,1.5
1,1,2,76,0.77517,2.2542,0.08,0.75
1,1,1,84,0.82643,1.6242,0.08,0.05
1,2,2,96,0.76234,2.2168,0.16,0.75
1,2,2,90,1.0687,3.3312,0.02,1.5
1,1,1,80,0.92573,1.7358,0.08,0.05
1,1,1,90,0.81655,2.2464,0.04,0.75
1,2,2,86,0.93112,1.8027,0.04,0.05
1,1,1,88,0.72891,1.5881,0.16,0.05
1,2,2,92,0.73464,1.52,0.02,0.05
1,1,1,75,0.76927,2.2114,0.02,0.75
1,2,2,93,0.77133,2.9848,0.16,1.5
1,1,1,50,0.94951,3.1998,0.02,1.5
2,2,2,76,1.7293,4.0279,0.04,0.05
2,1,1,97,0.92231,2.8966,0.16,1.5
2,1,1,83,1.6581,3.5639,0.16,1.5
2,1,2,83,1.4693,3.1206,0.04,0.75
2,2,2,92,1.4218,2.8961,0.08,0.05
2,1,1,85,1.2015,2.8651,0.16,0.75
2,2,2,95,0.95631,2.2338,0.16,0.05
2,1,1,84,1.4004,2.5965,0.08,0.75
2,1,2,86,1.1775,2.8867,0.02,1.5
2,2,2,76,1.3256,2.7631,0.08,0.05
2,1,1,75,1.5618,3.0619,0.04,1.5
2,2,2,85,1.1577,3.8879,0.08,1.5
2,1,2,25,1.6951,3.4893,0.02,0.05
2,1,2,85,1.0466,2.7679,0.02,1.5
2,2,2,85,1.8556,3.946,0.08,1.5
2,1,2,86,1.4437,3.1934,0.02,0.75
2,1,1,53,2.1054,3.6659,0.02,0.05
2,1,1,55,1.6553,3.512,0.04,1.5
2,1,1,74,1.1733,2.6155,0.16,0.75
2,1,1,65,1.5815,2.9575,0.04,0.05
2,2,2,84,0.95873,2.4208,0.16,0.05
2,2,2,94,0.83444,2.0492,0.08,0.75
2,1,1,78,0.89191,2.1926,0.04,0.75
2,2,2,77,1.3905,2.6604,0.02,0.75
2,1,2,55,2.0469,4.0389,0.02,1.5
2,1,1,63,1.1138,2.6128,0.16,0.05
2,1,1,74,1.2073,2.4219,0.16,0.75
2,2,1,55,1.3372,2.8778,0.04,0.75
2,1,1,64,1.1405,3.6615,0.08,1.5
2,2,2,54,1.3989,2.7256,0.02,0.05
2,2,2,64,0.89535,3.1826,0.16,1.5
2,2,2,74,1.2232,2.6361,0.04,0.05
2,2,2,84,1.0026,2.2432,0.04,0.05
2,1,2,47,1.4613,3.1494,0.04,0.75
2,1,1,57,1.0595,3.5189,0.02,1.5
2,2,2,57,0.99059,3.6469,0.08,1.5
2,2,2,85,0.90615,2.1837,0.16,0.05
2,2,2,97,0.83058,1.8005,0.08,0.05
2,1,2,53,1.1132,2.9982,0.02,0.75
2,1,1,57,1.3904,3.899,0.04,1.5
2,2,1,58,1.1937,2.5081,0.02,0.05
2,2,2,90,0.88275,2.5955,0.16,0.75
2,2,2,95,0.83325,1.8894,0.08,0.05
2,1,1,66,0.9774,2.8871,0.08,0.75
2,1,1,94,1.027,3.5726,0.16,1.5
2,1,1,34,1.3468,3.1456,0.02,0.75
2,2,1,64,1.2393,3.0013,0.08,0.75
2,1,1,56,1.4497,4.0814,0.04,1.5
2,2,2,45,1.3113,3.2541,0.02,1.5
2,2,1,57,1.1832,3.019,0.02,0.75
2,1,1,48,1.1503,2.4448,0.04,0.75
2,2,2,74,1.5025,3.1169,0.16,0.75
2,1,1,84,0.96926,2.3945,0.16,0.05
2,1,1,66,1.0574,2.6225,0.16,0.75
2,2,2,76,1.2521,2.5419,0.08,0.05
2,1,1,74,0.90523,2.5407,0.16,1.5
2,2,2,84,1.1963,2.4369,0.16,0.05
2,1,1,55,1.1001,2.7477,0.02,1.5
2,1,1,82,0.98888,2.7104,0.16,1.5
