Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Accuracy,Training,cond,Int.Block,five_s_to,exclude_subj
101,0,1,10,3.925211498,0.634689186,0.256,0,0,Expt,Pre,TRUE,FALSE
101,1,0,10,2.950425261,0.751479092,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.046786962,0.433326541,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.729733222,0.751975367,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,40,3.13433313,0.751408152,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,1,10,3.907741931,0.583310165,0.064,0,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.204657867,0.635959157,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.402082003,0.815218517,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,2.805892821,0.950117956,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,40,3.365234139,0.751328156,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,3.818373067,0.7191771,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.297299011,0.568046367,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,3.833541171,0.666465017,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,4.119861139,0.784504064,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,4.535530651,0.531810999,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,0,30,3.751643913,0.618072404,0.256,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,3.979161856,0.615839163,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.980028527,0.734788351,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,10,4.26793392,0.568379633,0.128,0,0,Expt,Pre,TRUE,FALSE
101,1,1,10,3.434640283,0.383087686,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,2.567042345,1.201053831,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.957027478,0.666873448,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,30,3.479961361,0.748045009,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.621448527,0.56526825,0.128,1,0,Expt,Pre,TRUE,FALSE
