Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Visual_search_accuracy
1,1,0,0,0.819367919,0.8907945,0.05490375,5,0,1
1,1,1,1,1.187162802,0.6232479,0.05490375,5,1,1
1,0,0,0,1.132325244,0.9362517,0.05490375,5,1,1
1,0,0,1,1.032029584,0.6232513,0.05490375,5,1,1
1,0,0,0,1.070125208,0.5062713,0.05490375,5,1,1
1,1,0,1,0.869519824,0.4681391,0.05490375,5,0,1
1,0,0,0,0.802628082,0.4848714,0.05490375,5,1,1
1,0,0,0,0.936370685,0.3678593,0.05490375,5,1,1
1,0,0,1,0.852808947,0.6185917,0.030991736,2,1,NaN
1,1,0,0,0.685639097,1.459172,0.030991736,2,0,NaN
1,0,1,1,1.019987923,0.6520189,0.030991736,2,0,NaN
1,0,0,0,1.098906147,0.4727986,0.030991736,2,1,NaN
1,1,1,0,0.752478598,0.5517841,0.030991736,2,1,NaN
1,0,0,0,1.003348378,0.4681637,0.030991736,2,1,NaN
1,1,0,1,0.680971465,0.422656,0.030991736,2,0,NaN
1,1,0,1,0.752512308,0.9743171,0.030991736,2,0,NaN
1,0,0,0,0.802633576,0.5517179,0.030991736,2,1,NaN
1,1,1,0,1.50476136,0.6065969,0.030991736,2,1,NaN
1,0,0,0,0.747832011,0.7523194,0.030991736,2,1,NaN
1,1,0,0,0.953085379,0.6233105,0.030991736,2,0,NaN
1,1,0,0,1.199201948,0.4393522,0.05490375,6,0,1
1,1,0,1,1.483391884,0.5184326,0.05490375,6,0,1
1,1,0,0,1.065452267,0.3678565,0.05490375,6,0,1
1,1,0,0,1.098876534,0.4013206,0.05490375,6,0,1
1,1,0,0,1.354295868,0.5731642,0.05490375,6,0,1
1,0,0,0,1.070106956,0.9910913,0.05490375,6,1,1
1,1,1,1,1.199178761,1.354209,0.05490375,6,1,1
1,1,0,1,1.053393379,0.5731295,0.05490375,6,0,1
1,1,1,0,1.304181957,0.4681592,0.05490375,6,1,1
1,1,0,1,0.965164568,0.4514169,0.05490375,6,0,1
1,0,0,0,1.203879265,0.6734074,0.05490375,6,1,1
1,0,1,1,1.237277644,0.5851816,0.05490375,6,0,1
1,1,0,0,0.802656484,1.358845,0.05490375,4,0,1
1,0,0,0,1.270742232,0.5898322,0.05490375,4,1,1
1,0,0,0,1.349634661,0.7403089,0.05490375,4,1,1
1,1,0,1,1.488077303,0.5684935,0.05490375,4,0,1
1,1,1,0,1.889277083,0.6734378,0.05490375,4,1,1
1,0,0,0,1.07015212,0.9696788,0.05490375,4,1,1
1,0,0,0,1.554904419,1.487911,0.05490375,4,1,1
1,0,0,0,1.371048229,0.647413,0.05490375,4,1,1
1,0,0,1,1.003235421,0.3678336,0.05490375,4,1,1
1,0,0,1,0.836108408,0.6520527,0.05490375,4,1,1
1,0,0,0,1.504752234,0.3845818,0.05490375,4,1,1
1,0,1,1,1.471347616,0.9074762,0.05490375,4,0,1
1,1,0,0,0.88621161,0.5183117,0.030991736,3,0,NaN
1,1,NaN,0,NaN,0.8359384,0.030991736,3,0,NaN
1,1,0,0,1.399792805,0.92417,0.030991736,3,0,NaN
1,0,0,0,0.881568376,0.8573011,0.030991736,3,1,NaN
1,1,0,0,0.886263758,0.3724962,0.030991736,3,0,NaN
1,1,1,0,0.819377324,0.5852065,0.030991736,3,1,NaN
1,1,1,0,1.070133589,0.6400316,0.030991736,3,1,NaN
1,0,0,1,0.668916395,0.6734591,0.030991736,3,1,NaN
1,1,1,1,0.953107821,0.5062618,0.030991736,3,1,NaN
1,1,0,0,0.802630503,1.086688,0.030991736,3,0,NaN
1,1,1,1,0.585326721,1.003084,0.030991736,3,1,NaN
1,0,0,0,1.086823326,0.456132,0.030991736,3,1,NaN
1,1,0,0,0.902980238,0.6123778,0.05490375,6,0,0
1,0,0,0,0.969805194,0.3892143,0.05490375,6,1,1
1,1,0,0,0.898303834,0.7068605,0.05490375,6,0,1
1,1,0,0,0.802635251,0.6353637,0.05490375,6,0,0
1,0,0,0,0.936396106,0.1552063,0.05490375,6,1,1
1,1,1,0,1.337586574,0.5898847,0.05490375,6,1,1
