Subj_idx,Stimulus,Response,Confidence,RT_decConf,Picture_ID,Accuracy,Confidence_raw
103,1,1,2,1.18151575,words\slide34.jpg,1,8
103,0,0,2,0.978733543,words\slide35.jpg,1,2
103,0,1,1,1.565512777,words\slide36.jpg,0,6
103,1,1,2,1.008253082,words\slide37.jpg,1,8
103,1,1,2,1.108851903,shapes\slide.028.jpeg,1,8
103,0,0,2,1.681758219,shapes\slide.033.jpeg,1,2
103,1,1,2,1.277254945,shapes\slide.023.jpeg,1,8
103,1,0,1,4.520829355,shapes\slide.025.jpeg,0,4
103,0,1,1,2.235132192,shapes\slide.036.jpeg,0,6
103,1,0,1,2.960884732,faces\slide025.jpg,0,4
103,0,0,2,2.673119534,faces\slide035.jpg,1,2
103,0,0,1,3.008483637,faces\slide036.jpg,1,4
103,0,1,1,1.446731225,faces\slide037.jpg,0,6
103,1,0,1,2.655338167,faces\slide026.jpg,0,4
103,0,0,2,1.216983183,words\slide52.jpg,1,2
103,0,0,2,0.708142349,words\slide53.jpg,1,2
103,1,0,2,1.097520593,words\slide48.jpg,0,2
103,0,1,1,1.589248634,words\slide55.jpg,0,6
103,0,0,2,0.947522041,words\slide191.jpg,1,2
103,1,1,2,1.680710639,shapes\slide.042.jpeg,1,8
103,1,0,1,1.260604363,shapes\slide.047.jpeg,0,4
103,0,0,1,2.570279302,shapes\slide.053.jpeg,1,4
103,0,0,2,1.731758347,shapes\slide.054.jpeg,1,2
103,0,0,2,0.940490281,shapes\slide.055.jpeg,1,2
103,0,1,1,3.851257957,faces\slide053.jpg,0,6
103,0,0,1,1.05889466,faces\slide054.jpg,1,4
103,1,1,1,1.480074907,faces\slide041.jpg,1,6
103,0,0,1,1.698447654,faces\slide107.jpg,1,4
103,0,0,1,0.923817706,faces\slide057.jpg,1,4
104,0,1,2,1.707116395,words\slide14.jpg,0,8
104,1,1,2,2.600926328,words\slide7.jpg,1,8
104,0,1,2,1.474003122,words\slide16.jpg,0,8
104,0,0,2,1.013035002,words\slide217.jpg,1,2
104,0,0,2,0.709853372,words\slide18.jpg,1,2
104,1,1,2,1.261619321,shapes\slide.284.jpeg,1,8
104,1,1,2,0.977672034,shapes\slide.288.jpeg,1,8
104,0,0,2,0.910525758,shapes\slide.299.jpeg,1,2
104,0,0,2,1.349327192,shapes\slide.300.jpeg,1,2
104,1,1,2,2.630872156,shapes\slide.292.jpeg,1,8
104,0,0,2,0.978686992,faces\slide015.jpg,1,2
104,1,1,1,1.909065084,faces\slide005.jpg,1,6
104,1,1,2,1.110369758,faces\slide004.jpg,1,8
104,0,0,2,1.176310474,faces\slide018.jpg,1,2
104,1,1,1,2.327996956,faces\slide012.jpg,1,6
104,0,0,2,0.762171518,words\slide33.jpg,1,2
104,1,1,2,1.136622299,words\slide34.jpg,1,8
104,0,0,2,0.60906798,words\slide35.jpg,1,2
104,0,0,1,1.860325498,words\slide36.jpg,1,4
104,1,1,2,0.928013891,words\slide37.jpg,1,8
104,1,0,2,1.315847523,shapes\slide.028.jpeg,0,2
104,0,0,2,1.146237088,shapes\slide.033.jpeg,1,2
104,1,1,1,2.211705697,shapes\slide.023.jpeg,1,6
104,1,0,2,0.825459196,shapes\slide.025.jpeg,0,2
104,0,1,2,0.760996381,shapes\slide.036.jpeg,0,8
104,1,1,1,1.91852336,faces\slide025.jpg,1,6
104,0,0,1,2.67801948,faces\slide035.jpg,1,4
104,0,0,2,1.026575099,faces\slide036.jpg,1,2
104,0,1,1,6.292813961,faces\slide037.jpg,0,6
104,1,1,1,1.108989723,faces\slide026.jpg,1,6
104,0,0,2,0.642748882,words\slide52.jpg,1,2
104,0,0,2,0.742250273,words\slide53.jpg,1,2
104,1,1,1,1.1835431,words\slide48.jpg,1,6
104,0,1,1,1.470560184,words\slide55.jpg,0,6
104,0,1,2,0.77873193,words\slide191.jpg,0,8
104,1,1,2,1.788031858,shapes\slide.042.jpeg,1,8
104,1,0,1,1.429005206,shapes\slide.047.jpeg,0,4
104,0,0,1,2.751354468,shapes\slide.053.jpeg,1,4
104,0,0,2,0.842591415,shapes\slide.054.jpeg,1,2
104,0,0,2,0.743681257,shapes\slide.055.jpeg,1,2
104,0,1,1,1.214250971,faces\slide053.jpg,0,6
104,0,0,1,1.587568401,faces\slide054.jpg,1,4
104,1,1,2,1.061691017,faces\slide041.jpg,1,8
104,0,0,2,1.231198819,faces\slide107.jpg,1,2
104,0,0,2,0.844498905,faces\slide057.jpg,1,2
105,0,1,2,2.55039911,words\slide14.jpg,0,8
105,1,1,2,0.708573037,words\slide7.jpg,1,8
105,0,1,1,1.639214674,words\slide16.jpg,0,6
105,0,0,2,1.369804482,words\slide217.jpg,1,2
105,0,0,2,0.811415835,words\slide18.jpg,1,2
105,1,1,2,1.932408374,shapes\slide.284.jpeg,1,8
105,1,1,2,0.841067696,shapes\slide.288.jpeg,1,8
105,0,0,2,1.277225255,shapes\slide.299.jpeg,1,2
105,0,1,2,1.528993,shapes\slide.300.jpeg,0,8
