Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy,Response_key,Solution,Target,Anagram,Type_of_change,RT_covresp,Trial,Sol_letters,Target_letters
37,0,0,2,0.696,0.993,1,3,1,p,stolnica,stolica,ILOTNCSA,added,0,38,8,7
37,0,0,2,1.312,2.207,0,3,1,p,doniczka,odznaka,OCDAIZKN,added&changed,0,39,8,7
37,0,1,4,1.35,0.674,1,3,0,o,spotkanie,eksponat,TPNSKAOIE,added,0,40,9,8
37,1,0,1,1.353,1.11,3,3,0,p,prowincja,prowincja,RPWIJNOAC,none,0,41,9,9
37,1,1,3,0.637,0.839,3,3,1,o,plantacja,plantacja,CJATLANPA,none,0,42,9,9
38,0,0,4,0.736,1.16,2,3,1,p,bratowa,watroba,TRWAOBA,changed,1710,3,7,7
38,1,NaN,1,NaN,1.579,3,3,0,NaN,mieszkanie,mieszkanie,ZKESIAIENM,none,1070,4,10,10
38,0,0,4,0.751,1.19,1,3,1,p,podstawa,dostawa,AODSTPAW,added,1070,5,9,8
38,0,0,4,0.469,0.848,1,3,1,p,kosiarka,sikorka,RSKIOAKA,added,927,6,8,7
38,0,0,4,0.588,1.083,1,3,1,p,wanilia,lawina,WLNIAIA,added,629,7,7,6
38,0,0,4,0.401,1.54,2,3,1,p,czujnik,czajnik,KZIJUNC,changed,670,8,7,7
38,0,0,3,0.902,1.47,0,3,1,p,doniczka,odznaka,OCDAIZKN,added&changed,694,9,8,7
38,0,0,4,0.435,0.853,0,3,1,p,sliniak,slimak,IALNKIS,added&changed,664,10,7,6
38,1,0,1,0.977,0.684,3,3,0,p,cmentarz,cmentarz,RNACTMZE,none,968,11,8,8
38,1,1,1,0.582,0.626,3,3,1,o,dzielnica,dzielnica,NZLDIACIE,none,1185,12,9,9
38,1,1,4,0.481,0.811,3,3,1,o,nadzieja,nadzieja,ZDAEJNAI,none,746,13,8,8
38,0,0,4,0.441,0.574,1,3,1,p,katalog,lokata,KTGALOA,added,725,14,7,6
38,0,0,2,1.289,0.851,1,3,1,p,spotkanie,eksponat,TPNSKAOIE,added,763,15,9,8
38,1,0,4,0.426,0.66,3,3,0,p,bankomat,bankomat,AKMOTABN,none,582,16,8,8
38,1,1,2,0.623,0.696,3,3,1,o,korytarz,korytarz,RTZKYARO,none,1263,17,8,8
38,1,1,4,0.555,0.722,3,3,1,o,kurczak,kurczak,CKRAZKU,none,617,18,7,7
38,0,0,2,0.475,0.653,2,3,1,p,koniczyna,zakonnica,NYNICZKOA,changed,1260,19,9,9
38,0,1,2,0.895,0.73,1,3,0,o,uzdrowisko,skorowidz,ISDRKWOZUO,added,642,20,10,9
38,0,0,3,0.439,1.655,2,3,1,p,rakieta,karetka,RKEAIAT,changed,985,21,7,7
38,1,0,2,0.674,1.97,3,3,0,p,remanent,remanent,TRMNAENE,none,739,22,8,8
38,1,1,2,0.551,1.502,3,3,1,o,lakomstwo,lakomstwo,TLKOASOWM,none,537,23,9,9
38,1,1,4,0.477,0.655,3,3,1,o,kochanka,kochanka,AKNAOHCK,none,878,24,8,8
38,1,1,2,0.426,1.393,3,3,1,o,bakteria,bakteria,AREIAKTB,none,727,25,8,8
38,1,1,2,0.633,1.237,3,3,1,o,rachunek,rachunek,ENCKRHAU,none,761,26,8,8
38,1,1,2,0.514,0.853,3,3,1,o,trucizna,trucizna,CNRIZAUT,none,548,27,8,8
38,1,1,4,0.471,0.966,3,3,1,o,prowincja,prowincja,RPWIJNOAC,none,660,28,9,9
38,0,0,4,0.477,0.656,0,3,1,p,kregoslup,skorupa,UGELROKSP,added&changed,728,29,9,7
38,0,0,3,0.467,0.529,2,3,1,p,zmiennik,ziemniak,NZIEKNMI,changed,1286,30,8,8
38,1,1,2,0.523,1.624,3,3,1,o,potrawa,potrawa,PAOATWR,none,593,31,7,7
38,1,1,2,0.818,1.163,3,3,1,o,klasztor,klasztor,ARLZOSTK,none,481,32,8,8
38,1,1,2,0.58,0.959,3,3,1,o,tabletka,tabletka,KTALAETB,none,704,33,8,8
38,0,0,4,0.709,1.737,2,3,1,p,klamerka,kelnerka,ELAMKRKA,changed,1255,34,8,8
38,0,0,4,0.512,1.036,1,3,1,p,stolnica,stolica,ILOTNCSA,added,1003,35,8,7
38,0,0,3,0.547,0.965,1,3,1,p,bratanek,kabaret,RNATBKEA,added,826,36,8,7
38,1,1,4,0.466,0.761,3,3,1,o,plantacja,plantacja,CJATLANPA,none,817,37,9,9
38,1,1,4,1.368,2.087,3,3,1,o,parowka,parowka,RAOKAPW,none,0,38,7,7
38,0,0,3,0.437,1.471,1,3,1,p,naparstek,pasterka,RAEKNSTPA,added,894,39,9,8
38,0,0,4,0.509,1.115,0,3,1,p,sniezyca,sciezka,ICEYZANS,added&changed,705,40,8,7
38,0,0,4,0.44,1.074,1,3,1,p,koszula,kalosz,OULZKSA,added,569,41,7,6
38,1,1,4,0.465,0.893,3,3,1,o,dinozaur,dinozaur,OIDZUARN,none,734,42,8,8
39,1,1,4,1.493,1.528,3,3,1,p,kochanka,kochanka,AKNAOHCK,none,979,3,8,8
39,1,1,NaN,1.252,NaN,3,3,1,o,doniczka,doniczka,OCDAIZKN,none,1786,4,8,8
39,0,0,3,1.165,2.404,2,3,1,o,rakieta,karetka,RKEAIAT,changed,1823,5,7,7
39,1,0,NaN,1.558,NaN,3,3,0,o,nadzieja,nadzieja,ZDAEJNAI,none,2179,6,8,8
39,1,1,3,1.41,2.274,3,3,1,p,potrawa,potrawa,PAOATWR,none,1329,7,7,7
39,1,NaN,NaN,NaN,NaN,3,3,1,NaN,cmentarz,cmentarz,RNACTMZE,none,0,8,8,8
39,1,1,4,1.222,1.831,3,3,1,p,parowka,parowka,RAOKAPW,none,802,9,7,7
39,1,1,2,1.663,1.891,3,3,1,p,bakteria,bakteria,AREIAKTB,none,1620,10,8,8
39,0,0,3,1.065,2.065,1,3,1,o,kosiarka,sikorka,RSKIOAKA,added,0,11,8,7
39,1,1,2,1.611,2.661,3,3,1,p,prowincja,prowincja,RPWIJNOAC,none,1423,12,9,9
39,1,1,4,0.996,1.608,3,3,1,p,rachunek,rachunek,ENCKRHAU,none,797,13,8,8
39,0,0,4,1.03,1.486,0,3,1,o,kregoslup,skorupa,UGELROKSP,added&changed,894,14,9,7
39,1,1,3,1.081,1.609,3,3,1,p,klasztor,klasztor,ARLZOSTK,none,2209,15,8,8
39,1,NaN,2,NaN,1.449,3,3,1,NaN,remanent,remanent,TRMNAENE,none,1746,16,8,8
39,0,0,3,1.225,1.45,0,3,1,o,sniezyca,sciezka,ICEYZANS,added&changed,1396,17,8,7
39,0,0,4,1.132,1.286,1,3,1,o,podstawa,dostawa,AODSTPAW,added,1007,18,9,8
39,0,0,4,0.96,2.313,1,3,1,o,koszula,kalosz,OULZKSA,added,2311,19,7,6
39,0,0,4,0.917,1.324,1,3,1,o,naparstek,pasterka,RAEKNSTPA,added,771,20,9,8
