Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
3,1,NaN,1,NaN,0.523,1,NaN,25,2,8,6,896,100,2
3,2,2,3,0.543,0.713,1,1,26,2,8,8,328,328,0
3,1,2,3,0.827,1.974,1,0,27,2,8,6,175,160,2
3,2,2,3,0.776,1.253,1,1,28,2,9,9,653,653,0
3,2,2,3,0.538,1.622,1,1,29,2,7,7,212,212,0
3,1,2,4,1.435,0.241,1,0,30,2,9,9,120,1042,1
3,2,2,3,0.552,1.487,1,1,31,2,7,7,920,920,0
3,1,2,3,1.563,0.99,1,0,32,2,8,6,455,457,2
4,1,1,4,1.52,4.084,1,1,1,0,NaN,NaN,NaN,NaN,NaN
4,2,1,4,1.077,1.264,1,0,2,0,NaN,NaN,NaN,NaN,NaN
4,2,NaN,2,NaN,1.992,1,NaN,3,1,9,9,707,707,0
4,1,1,2,1.584,2.118,1,1,4,1,8,7,134,196,1
4,2,2,2,1.463,2.113,1,1,5,1,8,8,248,248,0
4,1,NaN,4,NaN,1.174,1,NaN,6,1,8,7,104,100,1
4,2,2,3,0.871,2.135,1,1,7,1,8,8,1124,1124,0
4,1,2,2,0.424,2.017,1,0,8,1,8,7,857,227,1
4,2,2,3,0.526,0.687,1,1,9,1,7,7,613,613,0
4,2,1,2,2.27,1.558,1,0,10,1,8,8,162,162,0
4,1,2,1,1.032,2.891,1,0,11,1,8,8,594,100,1
4,1,1,2,0.836,1.689,1,1,12,1,8,7,1022,556,1
4,1,2,2,1.427,1.966,1,0,13,1,8,7,272,12786,0
4,1,1,2,0.994,1.775,1,1,14,1,7,7,177,236,1
4,2,1,2,0.993,2.123,1,0,15,1,7,7,126,126,0
4,1,1,1,1.23,1.558,1,1,16,1,7,7,618,1644,1
4,1,2,2,0.765,1.528,1,0,17,1,8,9,3412,100,1
4,1,1,2,1.003,1.701,1,1,18,2,8,6,175,160,2
4,1,2,1,0.938,1.575,1,0,19,2,8,6,455,457,2
4,1,2,2,1.273,1.399,1,0,20,2,9,9,2212,100,2
4,2,2,3,1.364,2.174,1,1,21,2,8,8,2183,2183,0
4,2,2,2,0.992,1.607,1,1,22,2,6,6,422,422,0
4,2,2,2,0.904,1.775,1,1,23,2,7,7,248,248,0
4,2,2,2,0.696,1.448,1,1,24,2,7,7,920,920,0
4,2,2,2,1.038,1.43,1,1,25,2,9,9,653,653,0
4,2,2,2,0.808,1.631,1,1,26,2,8,8,1026,1026,0
4,1,1,2,1.309,1.48,1,1,27,2,9,9,120,1042,1
4,1,2,2,1.03,1.272,1,0,28,2,8,6,896,100,2
4,2,2,2,0.8,1.508,1,1,29,2,7,7,212,212,0
4,1,1,2,0.77,1.899,1,1,30,2,8,7,976,283,2
4,2,2,2,0.84,1.592,1,1,31,2,8,8,328,328,0
4,1,1,2,1.297,1.635,1,1,32,2,8,7,962,408,2
5,1,NaN,2,NaN,10.451,1,NaN,1,0,NaN,NaN,NaN,NaN,NaN
5,2,NaN,3,NaN,9.114,1,NaN,2,0,NaN,NaN,NaN,NaN,NaN
5,1,2,3,1.856,2.445,1,0,3,1,8,8,594,100,1
5,2,2,3,1.241,3.921,1,1,4,1,8,8,248,248,0
5,1,1,2,2.196,4.083,1,1,5,1,8,7,1022,556,1
5,1,2,3,2.719,2.744,1,0,6,1,8,7,857,227,1
5,1,2,3,2.613,1.933,1,0,7,1,8,7,104,100,1
5,1,NaN,3,NaN,1.529,1,NaN,8,1,8,7,272,12786,0
5,1,1,2,1.755,1.99,1,1,9,1,7,7,618,1644,1
5,2,1,2,1.945,1.505,1,0,10,1,9,9,707,707,0
5,2,2,3,1.593,2.087,1,1,11,1,8,8,162,162,0
5,2,2,3,0.99,2.31,1,1,12,1,8,8,1124,1124,0
5,2,NaN,3,NaN,1.602,1,NaN,13,1,7,7,613,613,0
5,1,NaN,3,NaN,2.475,1,0,14,1,8,7,134,196,1
5,1,1,2,1.457,1.663,1,1,15,1,7,7,177,236,1
5,2,NaN,4,NaN,2.367,1,NaN,16,1,7,7,126,126,0
5,1,2,2,1.437,2.062,1,0,17,1,8,9,3412,100,1
5,1,1,3,0.653,3.129,1,1,18,2,8,7,976,283,2
5,2,1,3,1.182,1.962,1,0,19,2,8,8,328,328,0
5,1,2,3,1,1.574,1,0,20,2,9,9,120,1042,1
5,1,1,3,0.644,1.785,1,1,21,2,8,6,175,160,2
5,2,2,3,1.556,1.717,1,1,22,2,8,8,1026,1026,0
5,2,2,3,0.618,1.292,1,1,23,2,6,6,422,422,0
5,2,2,3,0.47,1.306,1,1,24,2,8,8,2183,2183,0
