Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Prompt_time
1,1,2,77,1.4815,0.08,0.75
1,2,2,99,2.8394,0.08,1.5
1,2,1,72,2.1962,0.02,0.75
1,1,1,72,1.5926,0.02,0.05
1,1,1,79,2.8374,0.02,1.5
1,2,2,90,2.1626,0.08,0.75
1,2,1,88,2.139,0.04,0.75
1,1,2,76,1.6163,0.08,0.05
1,1,1,87,1.4648,0.16,0.05
1,1,2,82,1.5,0.04,0.05
1,1,1,77,2.8794,0.04,1.5
1,2,2,82,2.966,0.04,1.5
1,2,1,87,2.291,0.04,0.75
1,1,1,91,2.9754,0.16,1.5
1,2,2,96,2.8348,0.16,1.5
1,2,2,91,1.5158,0.16,0.05
1,2,2,85,2.8375,0.02,1.5
1,1,2,77,3.1082,0.02,1.5
1,2,2,84,1.533,0.16,0.05
1,2,1,79,1.5159,0.02,0.05
1,1,1,89,2.089,0.16,0.75
1,2,2,51,2.8493,0.04,1.5
1,1,2,55,1.5833,0.02,0.05
1,1,1,87,2.1086,0.04,0.75
1,1,2,82,1.4856,0.08,0.05
1,1,1,74,2.1648,0.04,0.75
1,1,1,50,3.0947,0.08,1.5
1,1,2,78,1.6915,0.04,0.05
1,2,2,87,2.8405,0.16,1.5
1,1,1,68,2.1644,0.02,0.75
1,2,1,85,2.1485,0.02,0.75
1,1,2,79,1.6701,0.04,0.05
1,1,1,94,2.0835,0.16,0.75
1,1,2,79,2.885,0.02,1.5
1,2,2,79,1.6522,0.08,0.05
1,2,2,67,2.9017,0.04,1.5
1,1,1,92,2.8929,0.16,1.5
1,2,1,76,2.952,0.08,1.5
1,1,1,76,2.2246,0.08,0.75
1,2,2,76,2.3476,0.08,0.75
1,2,2,76,1.5726,0.16,0.05
2,2,2,85,2.0813,0.08,0.05
2,1,2,95,2.1132,0.02,0.75
2,2,2,96,1.9427,0.04,0.75
2,1,1,82,2.018,0.16,0.05
2,1,2,76,2.1069,0.02,0.75
2,2,2,65,2.5071,0.08,0.05
2,1,1,75,2.7368,0.08,1.5
2,2,2,75,3.3656,0.16,1.5
2,1,1,96,2.731,0.16,0.75
2,1,1,95,2.7808,0.16,0.75
2,1,1,86,3.4006,0.08,1.5
2,2,2,84,2.2839,0.16,0.05
2,1,2,54,2.804,0.04,0.75
2,2,2,67,3.3176,0.16,1.5
