Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
15,2,37,97,1.5,0.45288,1.7484,3,1.9137,1,0.12882
15,2,38,98,1.5,0.50004,1.6445,3,1.313,0,0.33943
15,2,39,99,1.5,0.73525,1.9461,3,2.1866,0,1.6915
15,2,40,100,1.5,0.60776,1.2272,2,1.6274,0,0.13873
15,2,41,101,1.5,0.42599,1.9028,2,2.4065,1,0.13291
15,2,42,102,1.5,0.44635,3.0077,1,19.72,1,0.42859
15,2,43,103,1.5,0.65689,1.6265,3,4.1631,0,0.18388
15,2,44,104,1.5,0.85226,1.7453,2,1.6102,1,0.23873
15,2,45,105,1.5,0.7065,1.5131,3,1.5132,0,0.12495
15,2,46,106,1.5,0.47312,1.8259,3,1.7746,0,0.43544
15,2,47,107,1.5,0.62058,1.3355,2,1.7947,0,0.11336
15,2,48,108,1.5,0.50761,1.7522,3,0.90499,0,1.2354
15,2,49,109,1.5,0.60531,1.4872,3,0.88238,1,0.59234
15,2,50,110,1.5,0.69266,1.628,3,11.311,1,5.5519
15,2,51,111,1.5,0.64483,1.5179,3,2.0303,0,0.62825
15,2,52,112,1.5,0.67378,1.8382,3,2.3822,1,0.19205
15,2,53,113,1.5,0.10543,1.951,3,7.5036,0,0.13108
15,2,54,114,1.5,0.75861,1.6399,3,1.6103,0,0.076577
15,2,55,115,1.5,0.55391,1.4719,3,1.0104,0,0.077858
15,2,56,116,1.5,0.91756,1.5929,3,0.814,0,0.84017
15,2,57,117,1.5,0.39241,1.4529,3,1.3452,0,0.51574
15,2,58,118,1.5,0.29483,1.7695,2,2.1551,1,0.25767
15,2,59,119,1.5,0.46968,1.3603,3,1.0004,0,0.09453
15,2,60,120,1.5,0.43957,1.4011,3,1.2295,0,0.089215
15,3,1,121,3,1.1511,2.7817,2,2.2647,0,0.50447
15,3,2,122,3,0.81615,2.9808,3,1.8634,0,1.1665
15,3,3,123,3,2.6279,2.937,3,1.2414,1,1.3001
15,3,4,124,1.5,0.98675,1.2591,2,4.2256,0,0.76664
15,3,5,125,3,0.89625,3.1183,3,1.0256,1,0.35212
15,3,6,126,3,0.92192,3.1603,3,1.7964,1,0.16617
15,3,7,127,1.5,0.72606,1.9398,3,1.16,1,0.43878
15,3,8,128,1.5,0.61975,1.3839,2,1.4176,0,0.20491
15,3,9,129,1.5,0.726,1.9894,2,1.8091,0,0.46151
15,3,10,130,3,1.1958,3.2552,3,1.4545,1,1.2956
15,3,11,131,3,0.64356,3.092,3,4.9329,0,0.11019
15,3,12,132,3,0.6758,3.4163,3,2.413,1,0.15161
15,3,13,133,3,1.179,2.9048,3,1.6291,0,0.35309
15,3,14,134,3,0.63112,2.8919,3,2.0077,1,0.73589
15,3,15,135,1.5,0.91116,1.3919,2,1.6383,0,0.44636
15,3,16,136,1.5,0.72981,1.4685,3,1.9186,0,0.42944
15,3,17,137,3,0.71154,2.755,2,1.618,0,0.46682
15,3,18,138,3,1.004,2.7466,2,2.8012,0,0.28845
15,3,19,139,3,0.58452,2.6824,3,2.0119,0,0.43949
15,3,20,140,1.5,0.76953,1.6831,3,5.1537,0,0.87552
15,3,21,141,3,0.54416,2.8676,3,1.4258,0,3.0636
15,3,22,142,1.5,0.66639,2.1679,3,1.6032,1,0.40697
15,3,23,143,1.5,0.725,1.7646,2,1.6759,1,0.43723
15,3,24,144,1.5,0.88773,1.2226,2,1.4105,0,0.55076
15,3,25,145,3,0.57109,2.4348,3,1.1903,0,0.49998
15,3,26,146,3,0.55998,3.1172,3,1.5869,0,0.39407
15,3,27,147,1.5,0.65564,1.4372,3,1.9202,0,0.30695
15,3,28,148,1.5,0.50419,1.0362,3,1.1954,0,0.31745
15,3,29,149,1.5,0.53583,1.3587,3,0.9251,0,0.41497
15,3,30,150,1.5,0.49878,1.7555,2,1.5335,1,0.4034
15,3,31,151,3,0.55975,2.6666,3,10.176,0,0.52881
15,3,32,152,3,0.61862,2.4709,2,5.8425,0,0.97998
15,3,33,153,1.5,0.51144,1.5434,3,0.50159,0,1.0836
15,3,34,154,1.5,0.4649,1.4047,3,1.9213,1,2.0946
15,3,35,155,3,0.83731,2.7473,3,1.7629,0,0.34139
15,3,36,156,1.5,0.53983,1.4627,3,1.187,0,0.28418
15,3,37,157,3,0.54318,2.8151,3,1.6751,1,0.4737
15,3,38,158,3,0.5221,3.5622,2,2.2224,1,0.53195
15,3,39,159,1.5,0.5707,1.5229,3,1.6104,1,0.70085
15,3,40,160,1.5,0.48925,1.4001,3,1.5922,0,0.52391
15,3,41,161,3,0.59102,2.7144,3,1.4014,0,1.8064
15,3,42,162,3,0.5865,3.335,2,1.5999,1,0.44194
15,3,43,163,1.5,0.93581,1.5694,3,1.8312,0,0.67562
15,3,44,164,3,0.48313,2.8813,3,1.4013,1,0.40698
15,3,45,165,1.5,0.89059,1.0009,2,2.6815,0,0.46404
15,3,46,166,1.5,0.53687,1.5345,3,1.2813,1,0.38895
15,3,47,167,3,0.56137,3.0802,3,5.1382,1,0.60157
15,3,48,168,3,0.61403,2.9214,3,2.5536,0,0.15443
15,3,49,169,1.5,0.76846,1.1696,3,1.9963,0,0.1765
15,3,50,170,3,0.70744,2.5758,2,2.0354,1,0.21669
15,3,51,171,1.5,0.48896,1.3254,3,1.6631,0,0.15444
15,3,52,172,3,0.47218,2.887,3,0.66623,0,0.2677
15,3,53,173,3,0.50323,3.2482,3,4.563,0,0.15734
15,3,54,174,3,0.4685,2.9457,3,2.0749,0,0.17252
15,3,55,175,1.5,0.6142,1.9834,2,1.5269,1,0.97677
15,3,56,176,1.5,0.77225,1.2241,3,2.2123,1,0.30153
15,3,57,177,3,0.49046,2.9892,3,2.6551,0,0.96863
15,3,58,178,3,0.45328,3.0851,3,1.1257,0,0.70183
15,3,59,179,3,0.74312,2.8275,3,1.9614,0,0.70214
15,3,60,180,1.5,0.67812,1.1927,3,1.6015,0,0.28007
15,3,61,181,1.5,0.47414,1.39,3,1.3615,0,0.10211
15,3,62,182,1.5,0.44144,1.5533,3,1.4686,0,0.14433
15,3,63,183,3,0.53306,2.7689,3,6.8525,0,0.032685
15,3,64,184,3,0.6903,3.4501,2,1.0613,1,0.15343
15,3,65,185,1.5,0.96877,1.2694,3,2.2956,0,0.051167
15,3,66,186,1.5,0.56167,1.393,3,1.6384,0,0.04607
15,3,67,187,3,1.0639,2.419,2,4.7663,1,0.06025
15,3,68,188,1.5,0.86482,1.1715,3,1.835,0,0.029151
15,3,69,189,3,0.7514,2.9953,2,4.9485,1,0.13407
