Subj_idx,Stimulus,Response,Confidence,RT_decConf,Condition,Accuracy,Raw_Response,StimulusType
52,1,0,2,2.109,Words,0,2,Word
52,0,0,1,2.448,Words,1,3,Word
52,0,0,3,2.581,Words,1,1,Word
52,0,0,1,2.981,Words,1,3,Word
52,1,1,3,4.805,Words,1,6,Word
52,0,0,1,4.083,Words,1,3,Word
52,1,1,1,1.984,Words,1,4,Word
52,1,1,3,4.6,Words,1,6,Word
52,1,1,1,3.454,Words,1,4,Word
52,1,1,3,1.982,Words,1,6,Word
52,0,1,1,4.518,Words,0,4,Word
52,1,1,2,2.441,Words,1,5,Word
52,0,0,1,2.078,Words,1,3,Word
52,1,1,3,2.377,Words,1,6,Word
52,1,1,1,8.897,Words,1,4,Word
52,0,1,2,6.897,Words,0,5,Word
52,1,1,1,7.889,Words,1,4,Word
52,1,1,1,2.647,Words,1,4,Word
52,1,1,1,3.188,Words,1,4,Word
52,0,0,1,2.079,Words,1,3,Word
52,0,0,1,2.778,Words,1,3,Word
52,0,1,1,3.73,Words,0,4,Word
52,0,0,3,3.943,Words,1,1,Word
52,1,0,2,2.454,Words,0,2,Word
52,0,0,2,2.91,Words,1,2,Word
52,0,0,3,2.033,Words,1,1,Word
52,0,0,1,4.036,Words,1,3,Word
52,0,0,1,1.927,Words,1,3,Word
52,0,0,2,3.62,Words,1,2,Word
52,1,1,2,3.732,Words,1,5,Word
52,1,0,2,8.924,Words,0,2,Word
52,1,0,2,5.09,Words,0,2,Word
52,1,0,1,4.759,Words,0,3,Word
52,1,0,2,2.925,Words,0,2,Word
52,0,0,1,5.09,Words,1,3,Word
52,1,1,1,6.919,Words,1,4,Word
52,0,1,1,4.621,Words,0,4,Word
52,1,0,2,1.669,Words,0,2,Word
52,1,0,1,1.488,Words,0,3,Word
52,1,0,2,5.141,Words,0,2,Word
52,1,0,2,2.773,Words,0,2,Word
52,1,1,3,3.597,Words,1,6,Word
52,0,0,1,2.776,Words,1,3,Word
52,0,1,2,3.776,Words,0,5,Word
52,1,1,3,2,Words,1,6,Word
52,0,0,1,2.398,Words,1,3,Word
52,1,1,1,6.68,Words,1,4,Word
