Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Trial_count,Block_count,Accuracy
ah,1,2,1,1,2.434478221,0.457777531,0.9529782590000001,0,0,0
ah,1,1,3,2,0.5527300079999999,0.599049501,0.482468633,1,0,1
ah,2,2,3,1,0.9406573490000001,0.6346431570000001,1.070632135,2,0,1
ah,2,2,2,2,1.411246671,0.822884892,0.482393942,3,0,1
ah,1,1,3,2,0.62309726,0.505094956,0.305962986,4,0,1
ah,1,1,3,2,0.517174468,1.128701962,0.43532061,5,0,1
ah,2,2,2,1,2.846467951,0.8228733420000001,1.270628439,6,0,1
ah,1,1,2,2,0.55241238,0.42289959899999996,0.306025357,7,0,1
ah,2,2,2,2,0.564218924,0.6699503689999999,0.6824345209999999,8,0,1
ah,2,2,3,2,0.77532915,0.529380262,0.294237293,9,0,1
ah,1,1,3,1,0.552505551,0.399259945,0.282413038,10,0,1
ah,2,2,3,1,1.5403486519999998,0.305218388,0.282755307,11,0,1
ah,2,2,2,1,1.7052845319999999,0.516996211,1.3176085990000002,12,0,1
ah,2,2,2,2,0.799585966,0.540433353,1.152969173,13,0,1
ah,2,2,2,2,0.576013149,0.6933998309999999,0.624534867,14,0,1
ah,1,1,2,2,0.681740743,0.5404941839999999,0.23551334399999999,15,0,1
ah,1,1,1,2,0.423042821,0.422893824,0.541276898,16,0,1
ah,1,1,1,1,0.917103935,0.434632223,0.6001444539999999,17,0,1
ah,1,1,1,2,0.36435660200000003,0.32862088,0.282445763,18,0,1
ah,2,2,2,1,2.23474988,0.422869954,0.352938142,19,0,1
ah,2,2,3,2,1.470115382,1.222188342,0.31775759600000003,20,0,1
ah,2,2,1,1,1.8111776780000002,0.9757978540000001,0.623656287,21,0,1
ah,1,1,2,1,0.56426012,0.728699729,0.48247979799999996,22,0,1
ah,1,1,2,1,0.681875495,0.52874693,0.729487063,23,0,1
ah,1,1,2,2,0.470083042,0.540487639,0.306051922,24,0,1
ah,2,1,1,2,0.6582266,1.270036302,0.329451334,25,0,0
ah,1,1,3,2,0.599535377,1.6698799130000002,0.389259841,26,0,1
ah,1,1,2,2,0.528940587,0.44638101700000005,0.27069697,27,0,1
ah,2,2,2,2,0.987774571,0.975732788,0.270679259,28,0,1
ah,2,2,3,1,1.364172955,0.44636523100000003,0.88244815,29,0,1
ah,2,2,3,1,1.164211686,0.728698959,0.670678027,30,0,1
ah,1,2,1,1,0.7759882770000001,0.6934213920000001,0.764775025,31,0,0
ah,2,2,1,1,1.211218412,0.787534174,0.32952795,32,0,1
ah,2,2,3,1,0.905462943,0.64634344,0.800061062,33,0,1
ah,2,2,3,1,0.881817513,0.38760432200000006,0.576493634,34,0,1
ah,2,2,1,2,1.081865793,0.411064949,1.3647312109999998,35,0,1
ah,1,1,2,2,0.646492052,0.505285148,0.341323329,36,0,1
ah,1,1,3,1,0.6229128429999999,0.422970825,0.306021892,37,0,1
ah,1,1,2,2,0.411386043,0.6110404629999999,0.270544508,38,0,1
ah,1,1,3,1,0.599506116,0.446389872,0.376592811,39,0,1
ah,2,2,1,2,0.98775301,0.54055694,0.5294795929999999,40,0,1
ah,1,1,1,2,0.423273823,0.493437023,0.364636115,41,0,1
ah,2,2,2,1,1.493738866,0.610668934,0.529520019,42,0,1
ah,1,1,2,1,0.9994351990000001,1.16411505,0.353057878,43,0,1
ah,2,2,1,2,0.8583326309999999,0.305179888,0.35299512200000005,44,0,1
ah,2,2,3,1,0.9646558270000001,0.305216848,0.587831243,45,0,1
ah,2,2,3,1,1.328808762,0.38760509200000004,0.388382416,46,0,1
ah,1,1,2,1,0.458477084,0.328614335,0.317754131,47,0,1
ah,1,1,1,2,0.481740204,0.411224341,0.235436728,48,0,1
ah,1,1,1,1,0.7758677709999999,0.35243840600000004,0.376545071,49,0,1
ah,2,2,2,1,0.7521738309999999,0.9638669529999999,1.247110446,0,1,1
ah,2,1,1,1,1.023052523,0.399295365,1.094162448,1,1,0
ah,1,2,1,1,0.6583532670000001,0.9993008320000001,0.9764985620000001,2,1,0
ah,2,2,3,1,0.717156142,0.43466379299999996,1.999928004,3,1,1
ah,1,1,1,1,0.376011455,0.39937506100000003,0.411857673,4,1,1
ah,2,2,2,1,0.517276109,0.9991868709999999,0.941240245,5,1,1
ah,1,1,2,2,0.43485129,0.564059147,0.27071622,6,1,1
ah,2,2,1,2,0.7287517040000001,0.352263229,0.5061048220000001,7,1,1
ah,1,1,3,1,0.493648005,0.528771955,0.38836124,8,1,1
ah,1,1,3,1,0.505381784,0.669943439,0.9059642179999999,9,1,1
ah,1,1,1,1,0.587756167,0.7052109959999999,0.694147125,10,1,1
ah,2,1,1,2,0.458347338,0.9404660020000001,0.83542949,11,1,0
ah,2,2,1,2,0.575866847,0.9522467509999999,0.5766557210000001,12,1,1
ah,2,2,1,1,2.587578295,0.7875576590000001,1.505929645,13,1,1
ah,1,1,1,1,0.68184508,0.364077474,1.81178252,14,1,1
ah,1,2,1,1,0.599547697,0.646414281,1.12947428,15,1,0
ah,2,2,2,2,0.493668025,0.599317464,0.294204567,16,1,1
ah,1,1,1,2,0.552468975,0.46990979,0.600099023,17,1,1
ah,2,2,1,2,0.55246782,0.7287732640000001,1.152954928,18,1,1
