Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast,Condition
1,1,1,1,1.0262,3,1
1,2,1,2,0.85062,1,1
1,1,1,2,0.77716,2,1
1,2,1,2,0.73026,2,1
1,2,2,2,0.80203,3,1
1,2,2,1,1.0898,2,1
1,2,1,1,0.80947,2,1
1,2,1,1,1.1211,2,1
1,1,1,2,0.78659,2,1
1,1,1,1,1.2507,1,1
1,1,1,2,0.65008,3,1
1,2,2,2,0.83433,1,1
1,2,2,2,0.88277,3,1
1,1,1,2,0.69722,3,1
1,1,1,1,0.85866,1,1
1,1,2,1,0.60136,1,1
1,1,2,1,0.96242,1,1
1,1,2,1,1.1377,2,1
1,1,1,2,1.0894,3,1
1,1,2,1,0.89805,1,1
1,2,2,2,0.94537,3,1
1,1,1,2,0.82588,3,1
1,2,1,2,0.80176,1,1
1,2,2,2,0.85038,2,1
1,1,1,2,0.79333,1,1
1,1,1,2,0.65061,2,1
1,2,2,1,0.95419,2,1
1,2,1,1,0.72174,1,1
1,2,2,1,0.8892,1,1
1,1,2,1,0.93822,1,1
1,1,1,1,1.1141,2,1
1,2,1,2,1.042,1,1
1,1,1,1,0.8424,2,1
1,2,2,2,0.83364,3,1
1,1,1,2,0.69762,2,1
1,2,1,1,0.88262,2,1
1,2,2,2,0.99414,3,1
1,1,1,1,0.86671,1,1
1,2,2,2,0.72952,3,1
1,2,1,2,0.80248,2,1
1,1,1,2,0.71478,1,1
1,1,1,2,0.92118,1,1
1,1,1,2,0.77775,2,1
1,2,1,1,1.3381,1,1
1,1,1,2,0.90641,2,1
1,1,1,2,0.85069,2,1
1,1,1,2,0.72917,2,1
1,1,2,2,0.89864,1,1
1,1,1,1,1.0414,1,1
1,1,2,1,0.76992,2,1
1,1,1,1,0.8972,1,1
1,1,1,2,0.84276,3,1
1,2,2,1,0.88967,2,1
1,2,1,1,0.72148,1,1
1,1,1,1,0.79418,2,1
1,1,1,1,0.73731,3,1
1,1,1,1,0.92956,2,1
1,2,1,2,0.90679,2,1
1,1,1,2,0.66579,3,1
1,2,2,1,1.2096,3,1
1,1,1,1,0.93841,3,1
1,2,1,2,1.0342,3,1
1,1,1,2,0.69815,1,1
1,2,1,1,1.0826,1,1
1,1,1,2,1.0026,3,1
1,2,2,1,0.81039,3,1
1,1,1,2,0.6902,3,1
1,2,1,2,0.75443,2,1
1,2,1,2,0.74524,1,1
1,1,1,2,0.64145,3,1
1,1,1,2,0.61022,2,1
1,2,2,1,0.89855,1,1
1,1,2,1,0.91473,1,1
1,1,1,2,1.1463,3,1
1,1,1,1,0.97841,1,1
1,2,2,2,0.83396,2,1
1,2,2,2,0.73837,2,1
1,2,2,2,0.92237,2,1
1,1,1,2,1.1627,1,1
1,2,1,2,0.69026,1,1
1,1,1,2,0.73736,1,1
1,1,1,2,0.65765,2,1
1,2,1,2,1.0181,2,1
1,2,1,2,0.66591,1,1
1,1,1,2,0.69836,3,1
1,1,1,2,0.61082,3,1
1,2,2,2,0.79362,2,1
1,2,1,1,0.87384,1,1
1,2,2,1,0.75325,3,1
1,1,1,1,0.8733,2,1
1,2,2,1,1.0335,3,1
1,2,2,2,0.82619,3,1
1,1,1,2,0.65793,3,1
1,2,2,2,0.69035,3,1
1,1,1,2,0.76154,1,1
1,2,2,2,0.6582,3,1
1,1,1,2,0.72131,2,1
1,1,1,2,0.74573,1,1
1,1,1,2,0.59432,2,1
1,2,2,2,0.6258,2,1
1,2,1,1,0.97072,2,1
1,1,1,1,0.79397,3,1
1,1,1,1,0.88972,2,1
1,1,1,1,0.68125,1,1
1,1,1,2,0.85009,3,1
1,2,2,2,0.86657,1,1
1,1,2,2,0.73872,1,1
1,2,2,1,0.80192,1,1
1,2,1,1,0.88133,1,1
1,2,1,1,1.0573,1,1
1,1,1,2,0.90567,2,1
1,2,2,2,0.84277,3,1
1,1,1,2,0.65864,3,1
1,2,2,1,0.89846,1,1
1,1,2,2,0.73722,2,1
1,2,2,2,0.66539,3,1
1,1,1,2,0.61719,1,1
1,2,2,2,0.57804,3,1
1,2,2,2,1.0469,2,1
1,2,1,2,1.0219,1,1
1,2,1,1,1.1422,1,1
1,2,2,2,0.77425,2,1
1,2,2,2,0.79818,3,1
1,2,2,1,1.2866,1,1
1,1,1,1,0.84646,3,1
1,2,2,1,1.5035,1,1
1,2,2,1,1.0073,1,1
1,1,1,1,0.71044,2,1
1,2,2,1,1.2707,2,1
1,1,1,2,0.93393,2,1
1,1,1,2,0.71848,3,1
1,2,2,2,0.61436,3,1
1,1,1,2,0.63114,2,1
1,2,2,2,0.63941,2,1
1,1,1,2,0.56649,3,1
1,2,2,2,0.65517,1,1
1,2,1,2,0.70994,3,1
1,2,2,2,1.143,3,1
1,1,1,1,1.1594,1,1
1,1,1,1,1.214,3,1
1,2,2,1,0.89426,2,1
1,1,1,2,0.69508,3,1
1,2,1,1,1.0865,2,1
1,2,2,1,0.73419,3,1
1,2,1,1,0.65513,1,1
1,1,1,2,0.70226,3,1
1,1,1,2,0.89486,1,1
1,1,2,1,0.90277,2,1
1,1,1,1,0.77543,1,1
1,1,1,2,0.78196,2,1
1,1,1,1,0.93474,1,1
1,2,1,2,0.91929,2,1
1,2,1,1,0.9114,1,1
1,2,2,2,0.92658,2,1
1,2,2,1,1.07,2,1
1,1,1,2,0.62992,1,1
1,1,1,2,0.78303,1,1
1,2,2,1,0.8795,2,1
1,1,1,2,0.91832,1,1
1,2,2,2,0.71028,2,1
1,1,1,1,1.1752,1,1
1,2,1,2,0.80656,2,1
1,2,2,2,0.75944,1,1
1,2,1,2,0.73459,1,1
1,1,2,2,0.8391,2,1
1,2,2,1,1.0392,2,1
1,1,1,2,0.76716,3,1
1,2,2,2,0.70259,2,1
1,2,2,2,0.74226,3,1
1,2,1,2,0.91045,2,1
1,1,2,1,0.87105,1,1
1,2,2,1,0.79857,3,1
1,1,1,2,1.3114,3,1
1,1,1,2,0.71811,3,1
1,1,1,2,0.59147,3,1
1,2,2,1,1.3023,2,1
1,1,2,1,0.9584,1,1
1,1,1,1,0.7433,1,1
1,2,1,1,0.90277,1,1
1,2,1,1,0.70219,1,1
1,1,1,2,1.0469,3,1
1,1,1,1,0.79848,1,1
1,2,1,2,1.0787,2,1
1,2,1,2,0.68712,2,1
1,2,2,2,0.87136,2,1
1,2,2,2,0.76614,2,1
1,2,2,1,0.74997,1,1
1,1,1,1,0.72649,3,1
1,1,2,2,1.006,3,1
