Subj_idx,Trial,Block,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,madFilter
1,61,1,304.4397463,345.0317125,40.59196617,2,-1,1.301970149,1.315755062,1,1
1,62,1,466.807611,446.5116279,-20.29598309,2,-1,1.546788746,1.564284525,1,1
1,63,1,466.807611,426.2156448,-40.59196617,3,1,1.396550061,0.621794864,1,1
1,64,1,304.4397463,446.5116279,142.0718816,2,1,1.652189332,0.684099651,1,0
1,65,1,669.7674419,446.5116279,-223.255814,2,-1,1.265302234,0.790877265,1,1
1,66,1,466.807611,446.5116279,-20.29598309,2,-1,0.626850415,0.514188767,1,1
1,67,1,304.4397463,385.6236786,81.18393235,2,1,1.600900916,0.345880143,1,1
1,68,1,304.4397463,365.3276956,60.88794926,2,1,1.3605675,0.508244279,1,1
1,69,1,669.7674419,547.9915433,-121.7758985,2,-1,0.341270352,0.249025686,1,1
1,70,1,669.7674419,527.6955603,-142.0718816,2,-1,0.354767106,0.340071637,1,1
1,71,1,669.7674419,608.8794926,-60.88794926,2,1,3.37554373,0.92856433,1,1
1,72,1,466.807611,629.1754757,162.3678647,3,-1,0.927621135,0.270952807,1,0
1,73,1,669.7674419,385.6236786,-284.1437632,1,-1,0.497367786,0.467958695,1,1
1,74,1,669.7674419,487.1035941,-182.6638478,2,-1,0.252335136,1.069284325,1,1
1,75,1,669.7674419,649.4714588,-20.29598309,3,-1,1.057810572,0.947420929,1,1
1,76,1,466.807611,568.2875264,101.4799154,3,-1,0.431408358,0.719697828,1,1
1,77,1,304.4397463,324.7357294,20.29598309,2,1,0.377549408,0.29456334,1,1
1,78,1,669.7674419,487.1035941,-182.6638478,2,1,0.327829348,0.246107547,1,1
1,79,1,466.807611,466.807611,-6.25E-13,3,-1,0.202881453,0.562147345,1,1
1,80,1,466.807611,446.5116279,-20.29598309,3,-1,0.720783582,0.284497298,1,1
1,81,1,669.7674419,507.3995772,-162.3678647,3,1,0.340738981,1.20210104,1,1
1,82,1,466.807611,426.2156448,-40.59196617,3,-1,0.67333424,0.572488413,1,1
1,83,1,466.807611,446.5116279,-20.29598309,2,1,1.407497401,0.715159445,1,1
1,84,1,304.4397463,284.1437632,-20.29598309,3,1,0.600805691,0.281767251,1,1
1,85,1,669.7674419,365.3276956,-304.4397463,3,-1,0.280909178,0.589965282,1,1
1,86,1,466.807611,284.1437632,-182.6638478,2,-1,0.270922574,0.58470651,1,1
1,87,1,304.4397463,345.0317125,40.59196617,2,-1,0.729742457,0.485613913,1,1
1,88,1,466.807611,405.9196617,-60.88794926,2,-1,39.88582983,1.217116522,1,1
1,89,1,304.4397463,182.6638478,-121.7758985,3,-1,0.344440327,0.582392188,1,1
1,90,1,466.807611,466.807611,-6.25E-13,3,-1,0.28844742,0.533435766,1,1
1,91,1,669.7674419,568.2875264,-101.4799154,3,1,0.830596216,1.275768694,1,1
