Subj_idx,Stimulus,Response,Confidence,RT_dec,Conf_presses,Condition,Accuracy,Contrast,Orientation
42,1,0,5,0.9503482,1,Detection,0,0.09,Anticlockwise
42,1,1,6,0.6156332,2,Detection,1,0.09,Anticlockwise
42,0,0,6,0.9824643,5,Detection,1,0,NaN
42,0,0,6,0.6995311,3,Detection,1,0,NaN
42,0,0,6,0.7324958,3,Detection,1,0,NaN
42,0,0,6,0.7656291,4,Detection,1,0,NaN
42,1,1,4,0.832615,3,Detection,1,0.09,Clockwise
42,0,0,6,0.7159617,3,Detection,1,0,NaN
42,0,0,6,0.6493738,3,Detection,1,0,NaN
42,1,1,6,0.6493944,4,Detection,1,0.09,Clockwise
42,1,0,4,1.0157883,2,Detection,0,0.081,Clockwise
42,1,0,5,1.2150726,2,Detection,0,0.081,Anticlockwise
42,1,1,6,0.8498344,0,Detection,1,0.081,Clockwise
