Subj_idx,Stimulus,Response,Confidence,RT_dec,Conf_presses,Condition,Accuracy,Contrast,Orientation
41,0,0,1,0.7171926,5,Detection,1,0,NaN
41,1,1,6,0.5820411,3,Detection,1,0.045,Clockwise
41,0,1,1,0.7162766,1,Detection,0,0,NaN
41,0,1,2,1.0158413,2,Detection,0,0,NaN
41,1,1,6,0.4832428,4,Detection,1,0.045,Clockwise
41,1,1,6,0.4663344,1,Detection,1,0.045,Clockwise
41,1,1,4,0.7828393,1,Detection,1,0.045,Clockwise
41,0,0,3,0.8671983,2,Detection,1,0,NaN
41,0,1,1,0.8488142,4,Detection,0,0,NaN
41,1,1,5,0.7164941,1,Detection,1,0.045,Anticlockwise
41,0,0,2,0.8333108,1,Detection,1,0,NaN
41,0,0,6,0.5995416,2,Detection,1,0,NaN
41,1,1,4,0.8667675,3,Detection,1,0.045,Clockwise
41,1,1,3,0.7323354,2,Detection,1,0.045,Clockwise
41,1,1,4,0.965939,2,Detection,1,0.045,Anticlockwise
41,1,1,6,0.5336481,5,Detection,1,0.045,Clockwise
41,0,0,3,0.7331894,1,Detection,1,0,NaN
41,0,0,5,0.6827615,3,Detection,1,0,NaN
41,0,0,4,0.750335,2,Detection,1,0,NaN
41,1,0,1,1.1479503,4,Detection,0,0.045,Clockwise
41,0,0,6,0.5985684,1,Detection,1,0,NaN
41,1,0,4,0.5157141,2,Detection,0,0.045,Anticlockwise
41,0,0,5,0.5834731,1,Detection,1,0,NaN
41,0,0,3,1.1659515,3,Detection,1,0,NaN
41,1,1,3,0.8664073,3,Detection,1,0.045,Clockwise
41,1,0,3,0.8976821,2,Detection,0,0.045,Anticlockwise
41,0,1,3,0.649609,1,Detection,0,0,NaN
41,1,1,4,0.7492976,1,Detection,1,0.045,Anticlockwise
41,1,0,6,0.8161149,1,Detection,0,0.045,Clockwise
41,1,0,5,0.900373,2,Detection,0,0.045,Clockwise
41,0,0,2,0.9161264,1,Detection,1,0,NaN
41,1,1,6,0.5669831,3,Detection,1,0.045,Clockwise
41,1,1,1,0.9821674,1,Detection,1,0.045,Anticlockwise
41,0,0,4,0.7336135,2,Detection,1,0,NaN
41,0,0,6,0.6333045,2,Detection,1,0,NaN
41,0,0,4,0.6502166,2,Detection,1,0,NaN
41,0,0,5,0.7327678,0,Detection,1,0,NaN
41,1,0,5,0.8475211,1,Detection,0,0.045,Anticlockwise
41,1,1,5,0.6659522,1,Detection,1,0.045,Clockwise
41,1,0,4,0.7162528,3,Detection,0,0.045,Anticlockwise
41,1,0,4,0.7373255,0,Detection,0,0.045,Clockwise
41,1,0,4,0.7502088,2,Detection,0,0.045,Anticlockwise
41,0,0,4,1.0001908,1,Detection,1,0,NaN
41,0,0,4,0.5491008,1,Detection,1,0,NaN
41,1,1,4,0.5488778,2,Detection,1,0.045,Anticlockwise
41,0,0,4,0.6158543,1,Detection,1,0,NaN
41,0,1,5,0.6485043,4,Detection,0,0,NaN
41,0,0,5,0.6662337,2,Detection,1,0,NaN
41,1,1,5,0.8325419,0,Detection,1,0.045,Clockwise
41,1,1,2,0.8991321,0,Detection,1,0.045,Clockwise
41,0,0,4,0.7196001,2,Detection,1,0,NaN
41,1,0,1,0.6658532,3,Detection,0,0.045,Anticlockwise
41,1,0,3,0.7323004,2,Detection,0,0.045,Anticlockwise
41,0,1,2,0.8986866,3,Detection,0,0,NaN
41,0,0,2,0.7994191,3,Detection,1,0,NaN
41,1,1,1,0.931395,5,Detection,1,0.045,Anticlockwise
41,0,0,5,0.7329031,1,Detection,1,0,NaN
41,1,0,1,0.7320262,2,Detection,0,0.045,Clockwise
41,0,0,2,0.6661863,2,Detection,1,0,NaN
41,0,1,4,0.7337526,3,Detection,0,0,NaN
41,1,1,5,0.9316159,2,Detection,1,0.045,Clockwise
41,0,1,3,0.8331093,2,Detection,0,0,NaN
41,1,0,1,1.1487785,2,Detection,0,0.045,Clockwise
41,1,1,6,0.7320194,1,Detection,1,0.045,Anticlockwise
41,0,0,2,0.7995045,1,Detection,1,0,NaN
41,0,0,4,0.8169182,2,Detection,1,0,NaN
41,1,1,3,0.7161291,1,Detection,1,0.045,Anticlockwise
41,0,1,5,0.6996344,3,Detection,0,0,NaN
42,0,0,6,1.016252,0,Discrimination,1,0.055,NaN
42,0,0,6,0.7829339,2,Discrimination,1,0.055,NaN
42,1,0,6,0.9493035,3,Discrimination,0,0.055,NaN
42,0,0,6,0.6165029,4,Discrimination,1,0.055,NaN
42,1,0,6,0.7659808,4,Discrimination,0,0.055,NaN
42,0,0,3,0.898895,1,Discrimination,1,0.055,NaN
42,1,1,4,1.0823712,1,Discrimination,1,0.055,NaN
42,0,0,4,0.7660386,0,Discrimination,1,0.055,NaN
42,0,0,6,0.6664377,3,Discrimination,1,0.055,NaN
42,1,1,4,0.7654181,0,Discrimination,1,0.055,NaN
42,1,1,6,0.7825292,2,Discrimination,1,0.055,NaN
42,0,0,6,0.6827785,3,Discrimination,1,0.055,NaN
42,1,0,5,0.7822008,2,Discrimination,0,0.055,NaN
42,0,0,5,0.6657557,2,Discrimination,1,0.055,NaN
42,1,1,6,0.8153131,5,Discrimination,1,0.055,NaN
42,1,1,6,0.6334123,5,Discrimination,1,0.055,NaN
42,1,1,4,0.6993994,2,Discrimination,1,0.055,NaN
42,0,0,6,0.7502238,1,Discrimination,1,0.055,NaN
42,1,0,5,0.8991373,3,Discrimination,0,0.055,NaN
42,0,0,5,0.7327478,1,Discrimination,1,0.055,NaN
42,1,0,2,1.3484029,3,Discrimination,0,0.055,NaN
42,0,0,6,0.6993891,1,Discrimination,1,0.055,NaN
42,0,0,6,0.6329857,1,Discrimination,1,0.055,NaN
42,0,0,2,0.7664774,4,Discrimination,1,0.055,NaN
42,0,0,6,0.7157197,2,Discrimination,1,0.055,NaN
42,1,0,2,0.8828335,1,Discrimination,0,0.055,NaN
42,1,1,6,0.8658552,3,Discrimination,1,0.055,NaN
42,0,1,6,0.6675992,4,Discrimination,0,0.055,NaN
42,1,1,6,0.6832,3,Discrimination,1,0.055,NaN
42,1,0,2,0.9319507,1,Discrimination,0,0.055,NaN
42,1,1,6,0.7492964,3,Discrimination,1,0.055,NaN
42,1,1,5,0.7329675,4,Discrimination,1,0.055,NaN
42,1,1,2,0.9494034,3,Discrimination,1,0.055,NaN
42,1,1,6,0.5825584,1,Discrimination,1,0.055,NaN
42,0,1,6,0.6832132,2,Discrimination,0,0.055,NaN
42,0,0,6,0.6825362,3,Discrimination,1,0.055,NaN
42,0,0,6,0.6662116,1,Discrimination,1,0.055,NaN
42,1,1,4,0.6835109,3,Discrimination,1,0.055,NaN
42,0,0,6,0.6171993,4,Discrimination,1,0.055,NaN
42,0,0,6,0.6006177,4,Discrimination,1,0.055,NaN
42,1,1,2,0.9443036,5,Discrimination,1,0.055,NaN
42,0,1,3,1.1658322,2,Discrimination,0,0.055,NaN
42,1,1,2,0.866446,4,Discrimination,1,0.055,NaN
42,0,0,6,0.7163982,4,Discrimination,1,0.055,NaN
42,0,0,6,0.6330998,2,Discrimination,1,0.055,NaN
42,1,1,4,0.9316778,2,Discrimination,1,0.055,NaN
42,1,1,6,0.7329902,1,Discrimination,1,0.055,NaN
42,0,1,4,1.2318732,1,Discrimination,0,0.055,NaN
42,0,1,5,0.9822535,2,Discrimination,0,0.055,NaN
42,1,1,4,0.9983763,0,Discrimination,1,0.055,NaN
42,1,1,3,1.0483991,3,Discrimination,1,0.055,NaN
42,0,1,2,0.8827583,0,Discrimination,0,0.055,NaN
42,1,1,6,0.8326716,4,Discrimination,1,0.055,NaN
42,1,1,6,0.8157747,1,Discrimination,1,0.055,NaN
42,0,1,6,0.8818423,0,Discrimination,0,0.055,NaN
42,0,1,4,0.7826878,3,Discrimination,0,0.055,NaN
42,1,1,6,0.6328081,5,Discrimination,1,0.055,NaN
42,1,1,6,0.616672,4,Discrimination,1,0.055,NaN
42,1,1,6,0.6825048,5,Discrimination,1,0.055,NaN
42,1,1,6,0.7826145,3,Discrimination,1,0.055,NaN
42,1,1,2,0.8992586,1,Discrimination,1,0.055,NaN
42,1,1,6,0.6659363,3,Discrimination,1,0.055,NaN
42,0,1,6,0.6489256,5,Discrimination,0,0.055,NaN
42,0,1,2,0.9492174,1,Discrimination,0,0.055,NaN
42,1,1,6,0.6824544,2,Discrimination,1,0.055,NaN
42,0,1,6,0.8003065,0,Discrimination,0,0.055,NaN
42,0,0,4,1.015638,2,Discrimination,1,0.055,NaN
42,1,1,6,0.7331123,1,Discrimination,1,0.055,NaN
42,0,1,6,1.1318943,0,Discrimination,0,0.055,NaN
42,1,1,4,0.8826739,1,Discrimination,1,0.055,NaN
42,0,0,6,1.1823344,1,Discrimination,1,0.055,NaN
42,0,0,6,0.6655195,4,Discrimination,1,0.055,NaN
42,1,1,4,1.1153949,0,Discrimination,1,0.055,NaN
42,0,1,2,1.0154651,0,Discrimination,0,0.055,NaN
42,1,1,3,0.8989993,1,Discrimination,1,0.055,NaN
42,0,0,6,0.7828289,6,Discrimination,1,0.055,NaN
42,0,0,6,0.8992445,1,Discrimination,1,0.055,NaN
42,0,0,6,0.7657524,4,Discrimination,1,0.055,NaN
42,1,0,6,0.5988562,5,Discrimination,0,0.055,NaN
42,0,0,6,0.5988899,1,Discrimination,1,0.055,NaN
42,0,1,2,0.841777,1,Discrimination,0,0.055,NaN
