Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,coherence,Accuracy,Training,Scale
1,64,59.6738,1,11.2918,1.6207,0.016,4.3262,0,four-point scale
1,310,301.445,1,6.2953,1.0676,0.25,8.555,0,four-point scale
1,103,118.6941,1,3.7116,4.3047,0.25,15.6941,0,four-point scale
1,157,301.7745,0,4.9539,1.3908,0.016,144.7745,0,four-point scale
1,117,300.6284,0,2.2686,1.0367,0.016,176.3716,0,four-point scale
1,255,241.1771,3,4.215,1.2076,0.5,13.8229,0,four-point scale
1,243,270.0542,0,6.6769,0.8247,0.125,27.0542,0,four-point scale
1,232,58.5664,0,3.5155,1.4407,0.062,173.4336,0,four-point scale
1,355,60.5793,1,4.1203,1.0582,0.062,65.5793,0,four-point scale
1,125,120.6622,2,3.7664,3.4627,0.125,4.3378,0,four-point scale
1,314,60.3541,2,2.1028,1.5049,0.016,106.3541,0,four-point scale
1,285,299.1953,2,2.0621,1.0628,0.25,14.1953,0,four-point scale
1,150,27.9592,1,3.4494,1.9432,0.016,122.0408,0,four-point scale
1,156,149.8385,3,2.309,1.172,0.125,6.1615,0,four-point scale
1,215,28.5009,2,3.0615,1.565,0.031,173.5009,0,four-point scale
1,32,60.5347,1,4.6135,1.0028,0.125,28.5347,0,four-point scale
1,207,209.6646,2,5.8019,1.0086,0.25,2.6646,0,four-point scale
1,307,210.0348,0,3.4954,0.6648,0.031,96.9652,0,four-point scale
1,72,30.1323,0,4.004,1.2528,0.125,41.8677,0,four-point scale
1,72,27.9148,1,2.7586,1.1186,0.125,44.0852,0,four-point scale
1,222,59.3762,1,7.6379,0.9247,0.031,162.6238,0,four-point scale
1,138,29.6324,1,3.2356,1.1954,0.016,108.3676,0,four-point scale
1,131,118.0763,2,1.9755,1.1828,0.5,12.9237,0,four-point scale
1,199,210.8443,1,2.0313,1.2568,0.25,11.8443,0,four-point scale
1,112,121.1588,0,5.6077,1.1428,0.125,9.1588,0,four-point scale
1,338,152.0396,0,2.9487,1.0707,0.125,174.0396,0,four-point scale
1,282,29.6324,0,11.5356,1.2167,0.016,107.6324,0,four-point scale
1,323,300.4428,0,2.9057,1.9229,0.062,22.5572,0,four-point scale
1,67,60.8808,0,4.6456,1.3887,0.25,6.1192,0,four-point scale
1,58,270.0542,3,3.3588,0.8606,0.062,147.9458,0,four-point scale
1,315,298.7243,1,6.2257,1.0166,0.5,16.2757,0,four-point scale
1,106,300.5564,0,5.474,0.9468,0.031,165.4436,0,four-point scale
1,289,300.104,3,3.9128,1.2826,0.25,11.104,0,four-point scale
1,286,299.0724,3,1.8016,0.9331,0.25,13.0724,0,four-point scale
1,230,61.2293,0.83,3.6577,2.3137,0.125,168.7707,0,continuous scale
1,33,30.1323,0.73,1.8703,2.4265,0.016,2.8677,0,continuous scale
1,56,60.5347,2.18,3.576,1.203,0.5,4.5347,0,continuous scale
1,71,59.5091,3,1.6312,1.223,0.5,11.4909,0,continuous scale
1,34,58.838,0.76,1.7746,1.492,0.016,24.838,0,continuous scale
1,154,149.5523,3,2.4887,1.2246,0.25,4.4477,0,continuous scale
1,15,27.9148,3,3.2894,1.1796,0.031,12.9148,0,continuous scale
1,92,151.345,0.79,2.5266,1.0048,0.062,59.345,0,continuous scale
1,353,149.1954,1.91,2.5381,1.942,0.5,156.1954,0,continuous scale
1,194,211.3601,1.27,5.7466,3.458,0.25,17.3601,0,continuous scale
1,240,180.056,0.87,2.5805,0.9357,0.062,59.944,0,continuous scale
1,23,27.9425,3,1.7195,1.0896,0.5,4.9425,0,continuous scale
1,47,61.2293,2.03,2.7149,1.225,0.25,14.2293,0,continuous scale
1,69,29.6324,1.68,2.6806,1.1426,0.125,39.3676,0,continuous scale
1,354,241.2512,1.27,4.4764,0.8263,0.031,112.7488,0,continuous scale
1,47,240.4063,0,2.5412,1.3376,0.062,166.5937,0,continuous scale
1,279,270.0542,3,5.3718,1.9279,0.25,8.9458,0,continuous scale
1,241,28.5144,0.99,7.8551,0.8916,0.016,147.5144,0,continuous scale
1,357,359.9413,3,2.046,0.9136,0.5,2.9413,0,continuous scale
1,279,301.7745,0.87,2.6086,0.8264,0.031,22.7745,0,continuous scale
1,17,210.4909,0,4.0812,0.8259,0.062,166.5091,0,continuous scale
1,297,301.7745,3,1.4873,1.048,0.5,4.7745,0,continuous scale
1,11,180.5111,0,2.3927,0.8714,0.016,169.5111,0,continuous scale
1,329,301.7745,0.79,3.9369,1.2807,0.062,27.2255,0,continuous scale
1,211,210.8277,2.05,2.5739,1.4482,0.5,0.1723,0,continuous scale
1,162,149.3913,1.78,1.6233,1.9435,0.125,12.6087,0,continuous scale
1,174,151.9789,0.53,2.6474,0.8021,0.016,22.0211,0,continuous scale
1,280,180.0886,0.72,1.7255,0.8255,0.031,99.9114,0,continuous scale
1,31,149.2185,0,2.1045,0.7795,0.125,118.2185,0,continuous scale
1,179,148.3374,1.6,1.9827,1.2929,0.031,30.6626,0,continuous scale
1,101,271.872,1.36,6.8726,1.1811,0.25,170.872,0,continuous scale
1,235,240.3676,3,3.4598,1.3814,0.5,5.3676,0,continuous scale
1,238,208.1026,3,2.821,1.1804,0.25,29.8974,0,continuous scale
1,303,301.7745,3,4.6674,1.0716,0.5,1.2255,0,continuous scale
1,176,180.062,2.5,1.6328,1.0788,0.5,4.062,0,continuous scale
1,333,151.017,2.56,1.9849,1.1824,0.125,178.017,0,continuous scale
1,311,150.0396,0,2.0416,0.8763,0.031,160.9604,0,continuous scale
1,235,240.7066,2.24,3.2866,1.0054,0.5,5.7066,0,continuous scale
1,347,328.5344,1.06,2.8675,0.7665,0.25,18.4656,0,continuous scale
1,26,359.9458,1.23,1.1842,1.1796,0.25,26.0542,0,continuous scale
1,83,59.0173,1.87,2.5121,0.9578,0.25,23.9827,0,continuous scale
1,324,298.812,0,4.1391,0.8494,0.016,25.188,0,continuous scale
1,272,61.9332,0,2.273,1.1148,0.062,149.9332,0,continuous scale
1,22,31.0003,2.2,2.5618,0.8478,0.5,9.0003,0,continuous scale
1,106,117.8722,1.82,2.0242,0.981,0.5,11.8722,0,continuous scale
1,248,152.0396,1,1.5738,1.6888,0.062,95.9604,0,four-point scale
1,211,59.8481,1,5.1481,1.1646,0.125,151.1519,0,four-point scale
1,148,148.7409,0,1.7872,1.1228,0.016,0.7409,0,four-point scale
1,69,59.8481,1,1.897,0.9508,0.25,9.1519,0,four-point scale
1,331,149.322,0,4.5867,1.195,0.062,178.322,0,four-point scale
1,13,28.7302,1,4.3222,0.8369,0.5,15.7302,0,four-point scale
1,182,180.0574,1,8.5589,0.9228,0.125,1.9426,0,four-point scale
1,53,28.296,1,2.6774,1.0108,0.125,24.704,0,four-point scale
1,119,119.3625,2,3.5119,1.7269,0.5,0.3625,0,four-point scale
1,95,270.0542,1,4.5516,0.9648,0.125,175.0542,0,four-point scale
1,118,299.4182,1,4.8374,0.7491,0.016,178.5818,0,four-point scale
1,183,180.0543,3,3.0386,1.2432,0.5,2.9457,0,four-point scale
1,158,150.3202,3,2.6805,0.9731,0.5,7.6798,0,four-point scale
1,10,27.9148,2,3.1138,1.2211,0.25,17.9148,0,four-point scale
1,104,301.445,0,4.1111,0.7493,0.016,162.555,0,four-point scale
1,105,302.4263,1,4.691,1.0973,0.25,162.5737,0,four-point scale
1,160,149.5314,0,5.8834,1.1011,0.016,10.4686,0,four-point scale
1,69,61.9332,0,3.0076,1.0171,0.031,7.0668,0,four-point scale
1,103,119.3405,0,3.5737,1.7292,0.016,16.3405,0,four-point scale
1,139,120.6842,2,1.4405,0.8832,0.125,18.3158,0,four-point scale
1,143,301.1133,0,2.4115,0.877,0.031,158.1133,0,four-point scale
1,77,152.3903,0,2.4669,0.8911,0.031,75.3903,0,four-point scale
1,278,149.9831,0,2.1035,0.9532,0.016,128.0169,0,four-point scale
1,1,359.9458,3,2.1797,0.9292,0.5,1.0542,0,four-point scale
1,105,299.0724,0,3.3581,0.8913,0.062,165.9276,0,four-point scale
1,294,118.655,2,2.5776,1.1672,0.25,175.345,0,four-point scale
1,250,149.9831,0,1.3173,0.9571,0.031,100.0169,0,four-point scale
1,331,298.9936,0,5.2395,1.6338,0.016,32.0064,0,four-point scale
1,50,60.8808,3,2.8244,1.5534,0.5,10.8808,0,four-point scale
1,236,30.9827,1,2.0016,1.0554,0.031,154.9827,0,four-point scale
1,81,60.5347,0,2.0882,0.9054,0.125,20.4653,0,four-point scale
1,146,151.345,1,2.2536,1.0082,0.031,5.345,0,four-point scale
1,0,300.5037,1,6.1887,0.6986,0.062,59.4963,0,four-point scale
