Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Correct,Stimulus1,Stimulus2,Solution,Confidence_prospective,Training
1,XXX-XX,1,3,0.488,0.266,1,963,52,921,3,0
1,X*XX,1,2,1.009,0.815,1,5,29,146,1,0
1,XX-X,0,6,1.112,0.384,1,45,4,41,6,0
1,XX*XX,1,5,1.632,1.108,0,14,14,196,5,0
1,XXX-XXX,1,2,0.848,0.275,1,989,577,418,3,0
1,XXX-XXX,1,3,0.395,0.32,0,254,188,66,3,0
1,XXX-XXX,1,3,0.359,1.437,1,784,431,357,3,0
1,X*XX,1,2,1.884,0.806,1,6,16,97,1,0
1,XXX-XXX,1,2,1.016,0.884,0,888,574,314,2,0
1,XX-XX,0,3,1.973,1.068,0,72,51,11,3,0
1,XX*XX,1,1,0.543,0.286,1,50,21,1000,1,0
1,XXX-XXX,1,2,1.769,0.728,0,989,577,412,2,0
1,XXX-XXX,1,2,0.369,0.343,1,339,111,218,2,0
1,XX*X,0,6,0.905,0.283,1,10,9,90,6,0
1,XX-X,0,6,1.152,0.327,1,66,7,59,5,0
1,XXX-XXX,1,1,2.239,0.379,1,888,574,304,2,0
1,XX-X,0,6,0.823,0.284,1,67,3,64,6,0
1,XX-X,1,6,1.413,0.498,1,58,6,51,5,0
1,XX-X,1,6,1.601,0.342,1,99,8,92,6,0
1,XX-XX,1,3,1.319,1.431,0,66,29,37,2,0
1,XX-XX,1,3,1.665,0.292,0,72,51,21,2,0
1,XXX-XX,0,3,1.687,0.361,0,105,22,93,2,0
1,XXX-XX,1,3,1.386,0.312,0,123,66,57,2,0
1,XX*XX,1,1,0.804,0.665,1,25,11,250,1,0
1,XXX-XXX,1,3,0.53,0.37,1,576,225,359,2,0
1,XX-XX,1,3,0.451,0.326,1,46,27,29,2,0
1,XXX-XX,0,3,0.75,0.389,0,119,52,63,2,0
1,XX*XX,1,3,1.265,0.339,1,25,18,451,1,0
1,XXX-XXX,1,3,0.464,0.322,1,652,559,83,2,0
1,XX*X,1,4,1.48,0.978,0,55,3,165,5,0
1,XXX-XXX,1,3,1.376,0.271,1,263,177,96,2,0
1,XX-X,1,6,1.802,0.904,1,51,9,48,5,0
1,XX-X,1,6,2.231,0.531,1,85,2,82,6,0
1,XX-XX,1,3,0.646,0.721,1,46,27,11,1,0
1,XXX-XX,1,3,0.332,0.244,0,156,63,93,2,0
1,XXX-XXX,1,3,0.675,0.381,1,326,253,83,2,0
1,X*XX,1,3,0.705,0.474,1,2,98,198,1,0
1,XX-X,1,3,1.711,0.432,1,94,8,84,5,0
1,XX-XX,1,2,0.431,1.091,0,58,16,42,1,0
1,XX-X,0,6,1.651,0.39,1,59,1,58,6,0
1,XX-XX,1,3,1.035,0.166,0,82,71,11,2,0
1,XXX-XXX,1,2,0.82,1.001,0,326,253,73,2,0
1,XXX-XXX,1,2,0.665,0.611,1,882,795,83,2,0
1,XX-XX,0,4,1.35,0.614,0,64,12,42,5,0
1,XX*X,1,5,1.412,0.833,1,16,4,80,2,0
1,XX*X,1,4,2.117,0.774,1,87,2,261,2,0
1,XX-XX,1,3,2.202,0.711,1,82,71,21,2,0
1,XXX-XXX,1,2,0.516,1.076,1,495,244,261,2,0
1,XX-XX,1,2,0.862,0.369,0,75,26,49,2,0
1,XX*X,1,6,1.74,0.267,1,10,9,80,6,0
1,XX-XX,1,2,0.712,1.024,1,46,12,24,6,0
1,XX-X,0,6,2.032,0.356,1,77,5,72,5,0
1,X*XX,1,3,1.331,0.275,1,3,46,139,1,0
1,XXX-XX,1,3,2.897,0.755,0,963,52,911,2,0
1,XXX-XXX,1,3,1.182,0.292,1,326,253,77,2,0
1,XX-X,0,5,1.361,0.736,1,42,5,37,5,0
1,XX-X,1,6,1.643,0.319,1,38,2,34,6,0
1,XX*X,1,2,0.993,0.287,0,87,2,174,1,0
1,XXX-XXX,0,3,1.055,0.443,0,254,188,76,2,0
1,XX*X,1,6,1.753,0.312,1,10,9,89,6,0
1,XXX-XXX,1,2,0.389,0.459,0,677,160,517,2,0
1,XX-XX,1,2,1.012,0.865,0,98,64,34,3,0
1,XX*X,1,3,1.383,0.181,0,16,4,64,2,0
1,XX*X,1,3,0.545,0.352,1,75,6,525,1,0
1,XXX-XX,1,3,0.383,0.325,1,169,85,94,2,0
1,XX-XX,1,3,0.276,0.222,1,72,51,29,2,0
1,XXX-XX,1,3,1.335,0.231,0,105,22,83,2,0
1,X*XX,0,3,0.474,0.269,1,2,98,196,1,0
1,X*XX,1,3,0.629,0.368,1,7,21,140,1,0
1,XX-X,1,6,1.32,0.281,1,85,2,73,6,0
1,XXX-XXX,1,3,0.612,0.24,0,882,795,87,2,0
1,XXX-XX,0,3,0.92,0.264,0,172,99,83,2,0
1,XXX-XX,0,3,0.277,0.191,1,663,22,641,2,0
1,X*XX,1,3,0.364,0.21,0,5,29,145,1,0
1,XX*XX,1,5,1.293,0.383,1,11,11,132,5,0
1,XX*XX,0,3,2.328,0.64,1,50,21,1050,1,0
1,XXX-XX,1,3,0.375,0.365,1,169,85,86,2,0
1,XXX-XX,1,3,0.745,1.025,1,105,22,87,2,0
1,XX-X,1,6,1.33,0.562,1,42,5,27,5,0
1,XXX-XX,1,2,0.575,0.35,0,279,45,234,2,0
1,XX-XX,1,2,0.331,0.61,0,32,15,17,2,0
1,XXX-XXX,1,3,0.462,0.24,1,479,105,376,2,0
1,XXX-XX,1,3,0.411,0.224,0,169,85,84,2,0
1,XXX-XX,1,3,0.302,0.247,1,599,63,567,2,0
1,XXX-XXX,1,3,0.338,0.314,1,263,177,84,2,0
1,XXX-XXX,1,3,0.259,0.27,0,576,225,351,2,0
1,XXX-XX,1,3,0.22,0.28,1,888,62,824,2,0
1,XX-X,0,5,1.712,0.641,1,94,8,86,5,0
1,XX-X,0,6,1.039,0.283,1,85,2,83,6,0
1,XX-XX,0,4,0.783,0.276,0,66,29,33,2,0
1,XX*XX,1,5,1.745,0.257,1,12,12,132,5,0
1,XXX-XX,1,3,0.736,0.247,1,774,53,711,2,0
1,XX-XX,1,2,0.434,0.501,1,81,37,46,2,0
1,XXX-XXX,1,3,0.288,0.249,0,788,699,89,2,0
1,XX-XX,0,3,0.324,0.221,0,91,57,24,2,0
1,XXX-XX,0,4,0.652,0.519,0,156,63,97,2,0
1,XX-X,0,5,1.274,0.364,1,31,9,22,5,0
1,XX*X,1,4,1.175,0.238,0,24,5,120,2,0
1,XXX-XX,1,4,0.782,0.756,1,465,22,453,2,0
1,XX*X,1,2,0.729,0.193,1,87,2,175,1,0
1,XX-X,0,4,1.898,0.339,1,88,9,79,6,0
1,XXX-XXX,1,3,0.562,0.337,0,452,369,83,2,0
1,XX*XX,1,2,0.316,0.292,0,25,11,275,1,0
1,XXX-XX,1,3,0.478,0.288,0,119,52,67,2,0
1,X*XX,1,3,1.518,0.647,1,4,56,220,1,0
1,X*XX,1,3,1.063,0.898,0,9,24,216,2,0
1,XX-X,1,6,1.686,0.232,1,66,7,49,5,0
1,XXX-XXX,1,3,0.826,0.415,1,788,699,79,2,0
1,X*XX,0,3,0.614,0.179,1,4,56,224,1,0
1,XX-XX,1,3,0.321,0.233,0,64,12,52,2,0
1,XX*XX,1,6,1.161,0.416,1,11,11,122,5,0
1,X*XX,1,3,1.981,0.019,1,4,56,223,2,0
1,X*XX,1,3,0.401,0.294,1,2,98,197,2,0
1,XX*XX,1,3,0.28,0.257,1,25,11,274,2,0
1,X*XX,1,5,2.407,0.445,1,3,46,141,1,0
1,XX*X,1,4,2.49,1.548,1,55,3,220,5,0
1,XX-XX,1,3,0.345,0.352,1,52,16,26,2,0
1,XX*X,1,3,0.994,0.288,1,75,6,451,1,0
1,XX-X,1,3,0.34,0.06,1,66,7,51,2,0
1,X*XX,1,3,0.664,0.196,1,9,24,207,1,0
1,XX-X,0,3,1.879,0.898,0,31,9,28,5,0
1,XX-XX,1,3,0.447,0.194,0,79,68,11,2,0
1,XX-X,1,6,2.134,0.23,1,77,5,62,6,0
1,XX*X,1,2,0.497,0.178,1,61,8,549,1,0
1,XX-X,1,6,1.552,0.615,1,58,6,42,6,0
1,XXX-XXX,1,3,0.28,0.337,1,452,369,87,2,0
1,XX-X,0,6,1.122,0.251,1,58,6,52,6,0
1,XX-X,1,6,1.439,0.347,1,88,9,69,6,0
1,XX-XX,1,2,0.514,0.755,0,91,57,34,3,0
1,XXX-XX,1,3,0.436,0.216,1,279,45,224,2,0
1,XXX-XXX,0,4,0.978,0.288,1,479,105,374,2,0
1,XXX-XX,1,4,0.634,0.341,1,963,52,919,2,0
1,X*XX,1,2,0.464,0.227,0,7,21,147,1,0
1,XXX-XX,1,3,0.435,0.294,0,465,22,443,2,0
1,XXX-XX,1,3,0.24,0.427,0,172,99,73,2,0
1,XX-XX,1,3,0.174,0.315,1,79,68,21,2,0
1,XXX-XX,1,2,1.052,0.519,1,398,66,322,3,0
1,XX-X,1,4,1.849,0.052,1,31,9,12,5,0
1,XX*X,1,2,1.529,0.577,1,15,7,90,1,0
1,XXX-XX,1,3,0.431,0.322,1,774,53,729,2,0
1,XXX-XXX,1,3,0.351,0.23,1,339,111,222,2,0
1,XX-X,1,6,1.133,0.325,1,59,1,52,6,0
1,XX-X,1,5,2.038,0.314,1,71,9,68,5,0
1,XX*X,1,2,0.307,0.284,1,55,3,166,1,0
1,X*XX,1,3,0.238,0.281,1,6,16,102,2,0
1,XXX-XX,1,3,0.275,0.221,1,148,56,98,2,0
1,XXX-XXX,1,3,0.299,0.292,1,479,105,384,2,0
1,XXX-XXX,1,3,0.254,0.233,0,537,444,93,2,0
1,X*XX,1,2,0.33,0.21,0,6,16,96,1,0
1,XX-XX,1,3,0.274,0.412,0,52,16,36,2,0
1,XX-XX,0,4,0.244,0.352,0,79,68,19,2,0
1,XX-X,0,6,1.886,0.2,1,71,9,62,5,0
1,XX-XX,1,4,0.252,0.023,1,75,26,59,2,0
1,XX*XX,1,5,1.167,0.149,1,14,14,195,1,0
1,XXX-XX,1,5,0.535,0.327,1,123,66,67,2,0
1,XX*X,1,2,0.291,0.22,1,15,7,104,1,0
1,XX*XX,0,2,1.146,0.145,0,50,21,1049,1,0
1,XX-XX,1,4,0.229,0.304,1,66,29,27,2,0
1,XX-XX,1,4,0.861,0.032,1,98,64,36,2,0
1,XX-X,1,6,1.122,0.282,1,99,8,81,6,0
1,XX-XX,1,4,0.297,0.482,1,32,15,27,2,0
1,XX-X,1,6,1.337,0.297,1,45,4,31,6,0
1,XX-XX,1,4,0.464,0.21,0,81,37,44,2,0
1,X*XX,1,2,0.398,0.194,0,8,31,248,1,0
1,X*XX,1,3,0.874,0.268,1,5,29,150,2,0
1,XX-XX,1,4,0.292,0.126,1,58,16,48,2,0
1,XXX-XXX,1,2,0.235,0.118,0,339,111,228,3,0
1,XX-XX,1,3,0.274,0.253,0,35,17,18,2,0
1,XXX-XX,1,3,0.213,0.321,0,774,53,721,2,0
1,XXX-XX,1,3,0.287,0.089,1,888,62,836,2,0
1,XX*XX,1,3,1.733,0.133,1,13,13,156,1,0
