Subj_idx,Stimulus,Response,Confidence,RT_dec,Error,Condition,Task,Block
1,1,205.59765625,4,1.62815385800013,-24.59765625,1,percept,1
1,103,290.19140625,4,1.62464449900017,-7.19140624999995,0.5,percept,1
1,12,23.2734375,4,1.82615565500009,-11.2734375,0.5,percept,1
1,4,185.5703125,2,1.53256316900024,-1.5703125,0.5,percept,1
1,2,192.53125,1,1.65034882600003,-10.53125,0.5,percept,1
1,129,113.5234375,3,1.41858360800006,15.4765625,1,percept,1
1,101,287.89453125,3,1.79920834100039,-6.89453125000001,0.5,percept,1
1,159,353.61328125,4,2.89924471400036,-14.61328125,0.5,percept,1
1,117,110.6875,4,1.76926008700002,6.3125,0.5,percept,1
1,19,211.28125,4,1.26482794200047,-12.28125,1,percept,1
1,88,241.16796875,4,1.90589618800004,26.83203125,0.5,percept,1
1,5,324.15234375,4,1.91687297800036,40.84765625,1,percept,1
1,119,133.9921875,4,1.55947228600007,-14.9921875,0.5,percept,1
1,5,2.92578125,4,1.99301019900031,2.07421875,0.5,percept,1
1,26,26.515625,4,2.24747313500029,-0.515625000000001,0.5,percept,1
1,43,219.109375,3,1.63381103100028,3.89062500000001,0.5,percept,1
1,178,55.25,4,2.02855423200026,-57.25,0.5,percept,1
1,32,215.05859375,4,1.03221788700012,-3.05859374999999,1,percept,1
1,42,25.3671875,2,2.53097798900035,16.6328125,0.5,percept,1
1,81,248.6953125,4,1.92994037700055,12.3046875,0.5,percept,1
1,148,313.2578125,4,1.85854110300033,14.7421875,0.5,percept,1
1,4,206.3671875,4,1.71276551600022,-22.3671875,1,percept,1
1,132,129.3671875,4,1.63149367400001,2.6328125,1,percept,1
1,123,141.4140625,4,1.37627786400026,-18.4140625,0.5,percept,1
1,24,231.4140625,4,1.80340488399997,-27.4140625,0.5,percept,1
1,127,142.29296875,4,2.33104874400033,-15.29296875,0.5,percept,1
1,76,243.20703125,4,1.9484803410005,12.79296875,1,percept,1
1,66,60,4,0.951240927000072,6.00000000000001,1,percept,1
1,173,199.2265625,3,1.49705630900007,-26.2265625,0.5,percept,1
1,67,295.703125,4,1.01811594199989,-48.703125,1,percept,1
1,50,50.19140625,4,1.27309928100021,-0.191406250000004,1,percept,1
1,30,53.5234375,3,1.53673647200003,-23.5234375,1,percept,1
1,65,237.1171875,4,1.89012792999984,7.88281250000002,0.5,percept,1
1,169,226.140625,4,1.94267818600019,-57.140625,1,percept,1
1,70,226.77734375,4,2.32067172300003,23.22265625,0.5,percept,1
1,17,35.33984375,3,1.26268953599993,-18.33984375,1,percept,1
1,22,43.76171875,3,1.19292994499983,-21.76171875,0.5,percept,1
1,11,210.6875,3,1.86425287700058,-19.6875,1,percept,1
1,63,228.87109375,3,0.999862755000322,14.12890625,0.5,percept,1
1,15,15.43359375,2,1.70957082899986,-0.433593750000002,0.5,percept,1
1,82,251.296875,3,2.63909498600015,10.703125,0.5,wm,1
1,28,243.125,4,2.04917928300029,-35.125,1,wm,1
1,43,67.328125,4,2.61049967300005,-24.328125,0.5,wm,1
1,53,63.8046875,4,2.50728272900051,-10.8046875,0.5,wm,1
1,168,314.1328125,4,2.72281831900045,33.8671875000001,1,wm,1
1,40,51.921875,4,2.77653526300037,-11.921875,0.5,wm,1
1,38,28.9140625,4,2.13264151900057,9.0859375,1,wm,1
1,70,47.984375,3,2.29681317100039,22.015625,1,wm,1
1,34,46.453125,4,1.89323291400024,-12.453125,0.5,wm,1
1,19,208.171875,4,2.6264903199999,-9.17187499999997,0.5,wm,1
1,84,108.484375,4,4.13909735700008,-24.484375,1,wm,1
1,32,208.828125,4,2.72595041800014,3.17187499999998,0.5,wm,1
1,170,342,4,2.2895219320003,8.00000000000002,1,wm,1
1,37,203.671875,4,3.49066495099987,13.328125,1,wm,1
1,129,138,4,1.36374766200015,-9.00000000000001,1,wm,1
1,25,25.7421875,4,2.66462515400008,-0.742187499999998,1,wm,1
1,136,335.8515625,4,3.50725429500017,-19.8515625,1,wm,1
1,5,208.78125,4,1.58910618100026,-23.78125,0.5,wm,1
1,110,127.7734375,4,7.10233462900032,-17.7734375,1,wm,1
1,30,25.8046875,4,1.48512462300005,4.1953125,1,wm,1
1,117,140.1875,3,2.93993534699985,-23.1875,1,wm,1
1,1,186.828125,4,3.9017298660001,-5.82812500000001,0.5,wm,1
1,169,350,4,2.39730245600003,-0.999999999999999,0.5,wm,1
1,89,293.640625,3,1.94454450400008,-24.640625,1,wm,1
1,124,307.390625,4,1.6991909430003,-3.39062499999996,0.5,wm,1
1,96,112.9765625,4,2.61475982200045,-16.9765625,1,wm,1
1,17,22.8828125,4,3.05268983900032,-5.88281249999999,1,wm,1
1,26,213.7578125,4,2.78484287400033,-7.75781250000001,1,wm,1
1,103,120.0234375,4,3.1945748940002,-17.0234375,0.5,wm,1
1,52,229.7265625,4,1.38470364600016,2.27343750000003,1,wm,1
1,95,276,4,1.55852227800005,-1.00000000000001,1,wm,1
1,44,228.3359375,4,2.76022598300005,-4.33593750000001,0.5,wm,1
1,9,208.6484375,2,3.46585870400031,-19.6484375,1,wm,1
1,148,164.234375,3,2.40498998300018,-16.234375,0.5,wm,1
1,57,110.6171875,1,2.75326925900026,-53.6171875,0.5,wm,1
1,29,208.546875,4,2.69507116800105,0.453125000000026,1,wm,1
1,11,24.75,4,1.87519288699968,-13.75,1,wm,1
1,142,133.6875,4,2.42509638699994,8.31250000000001,0.5,wm,1
1,77,239.390625,4,1.93950053200024,17.609375,0.5,wm,1
1,166,133.9375,2,2.00221226400026,32.0625,0.5,wm,1
1,128,324.453125,4,2.41992660100004,-16.453125,0.5,wm,1
1,63,62.8671875,1,2.74057715500021,0.132812499999988,0.5,wm,1
1,67,238.828125,3,1.63245512499998,8.17187500000003,1,wm,1
1,16,220.4140625,3,1.55295871999988,-24.4140625,0.5,wm,1
1,91,257.921875,4,2.15172985200024,13.078125,1,wm,1
1,92,78.5625,4,2.08809213900076,13.4375,1,wm,1
1,27,24.3671875,4,2.56647492700085,2.6328125,0.5,wm,1
1,105,296.234375,4,2.66416816600031,-11.2343749999999,1,wm,1
1,24,203.65625,4,3.07661902900054,0.34375000000003,1,wm,1
1,3,26.78125,1,2.51699185699999,-23.78125,0.5,wm,1
1,29,18.515625,4,3.01851243800047,10.484375,1,wm,1
1,85,32.8984375,3,1.74442406300022,52.1015625,1,wm,1
1,66,111.6875,2,2.23903894000068,-45.6875,0.5,wm,1
1,59,53.671875,4,1.26891155199974,5.32812500000001,1,wm,1
1,15,213.4921875,4,3.15051327499987,-18.4921875,0.5,wm,1
1,47,40,3,2.14534227599961,7,0.5,wm,1
1,162,217.140625,2,1.59511722000025,-55.140625,1,wm,1
1,15,196.6640625,3,2.22210326799996,-1.66406249999999,1,wm,1
1,42,29.90625,3,2.27179375600008,12.09375,0.5,wm,1
1,68,42.9921875,3,4.6097689900007,25.0078125,0.5,wm,1
1,43,226.171875,4,2.82110000300054,-3.17187499999997,1,wm,2
1,115,126.9765625,4,2.65858476600079,-11.9765625,1,wm,2
1,151,47.421875,4,2.05277124799977,-76.421875,1,wm,2
1,72,50.1015625,4,2.09069099100088,21.8984375,0.5,wm,2
1,62,50.75,4,2.2590607230004,11.25,1,wm,2
1,50,45.8515625,4,2.16667709800004,4.1484375,1,wm,2
1,51,54.265625,3,2.46154404300069,-3.265625,0.5,wm,2
1,170,1.015625,4,2.60014799400051,-11.015625,1,wm,2
1,178,180.6484375,4,2.27606072100025,-2.6484375,1,wm,2
1,47,55.2734375,4,2.55183100799968,-8.27343750000001,0.5,wm,2
1,59,238.28125,4,1.57626897699993,0.718750000000026,1,wm,2
1,157,311.953125,4,2.6521048070008,25.046875,1,wm,2
1,31,234.546875,4,1.62367632800033,-23.546875,0.5,wm,2
1,56,220.0390625,4,1.7462128369998,15.9609375,0.5,wm,2
1,48,236.6328125,4,2.3008766160001,-8.63281249999999,0.5,wm,2
1,82,70.3828125,3,2.01327540800048,11.6171875,0.5,wm,2
1,111,117.7578125,3,1.79015923599945,-6.75781249999999,0.5,wm,2
1,75,61.8046875,3,1.94735714500075,13.1953125,1,wm,2
1,94,304.6953125,4,1.29548226499992,-30.6953125,1,wm,2
1,138,327.375,4,3.38843851300044,-9.37499999999996,1,wm,2
1,32,18.8828125,4,2.46780530599972,13.1171875,1,wm,2
1,123,122.21875,4,1.98119622900049,0.781250000000005,0.5,wm,2
1,180,327.015625,3,2.1469106149998,32.984375,0.5,wm,2
1,62,232.6640625,4,2.77989264900043,9.33593750000001,1,wm,2
1,16,197.953125,3,1.86901944000056,-1.95312500000001,0.5,wm,2
1,110,113.953125,4,2.51447183599976,-3.953125,0.5,wm,2
1,55,44.6171875,4,1.69689719899998,10.3828125,1,wm,2
1,39,45.2578125,4,1.99884631100031,-6.2578125,1,wm,2
1,45,22.0546875,4,2.32674281300024,22.9453125,1,wm,2
1,53,234.3984375,4,2.13716082500014,-1.3984375,0.5,wm,2
1,20,40.0546875,4,2.01252474400007,-20.0546875,0.5,wm,2
1,122,147.0625,4,1.97792627200033,-25.0625,0.5,wm,2
1,57,53.109375,4,1.50174863200027,3.89062500000001,0.5,wm,2
1,21,32.15625,4,2.58479171399995,-11.15625,0.5,wm,2
1,37,23.4921875,4,2.89022043499972,13.5078125,1,wm,2
1,65,66,3,1.65108496900029,-1,0.5,wm,2
1,33,38,3,1.27953523600081,-5,1,wm,2
1,36,12.5,3,2.3236091560002,23.5,0.5,wm,2
1,48,36.6953125,3,2.26654962199973,11.3046875,1,wm,2
1,67,250.53125,2,2.14195212200048,-3.53124999999998,0.5,wm,2
