Subj_idx,Block,Trial,Stimulus,Response,RT_dec,Confidence,RT_conf,ErrorDirectionJudgment,RT_directionJudgment
3,2,244,7,9,2.15296441700775,3,0.786749209975824,-1,1.0627289460972
3,2,245,7,8,4.53853281994816,3,1.00675809604581,-1,0.0169037070591003
3,2,246,11,13,2.73654726194218,3,1.55974468297791,-1,0.0168654549634084
3,2,247,4,4,1.00110550504178,3,0.499201128026471,1,0.545233980985358
3,2,248,20,19,4.73869085602928,2,0.708772719022818,-1,1.1220952909207
3,2,249,24,30,3.77076455007773,2,0.766436579986475,1,0.0168259780621156
3,2,250,21,26,1.76867471996229,2,1.35283091105521,1,0.0168566220672801
3,2,251,10,22,4.55508154095151,3,0.662115579005331,1,1.02994062996004
3,2,252,16,26,2.80309230496641,3,1.06507836899254,-1,0.0551043290179223
3,2,253,22,26,2.75306843302678,2,0.532214002916589,-1,0.345828582998365
3,2,254,19,28,5.0238465910079,2,0.310094419051893,1,0.157050175010227
3,2,255,6,9,3.63733595202211,3,1.16571612295229,-1,0.0257487570634112
3,2,256,20,21,7.77528522000648,2,0.607313759042881,1,0.0403990029590204
3,2,257,11,13,2.73643267096486,2,0.618404180975631,1,0.389135921024717
3,2,258,4,5,1.38518097996712,3,1.35808822000399,1,0.545569792971946
3,2,259,27,23,3.00345372490119,2,0.615884835016914,-1,0.369395680027083
3,2,260,22,30,4.48828754399437,3,2.19924936408643,1,3.09560573101044
3,2,261,8,9,3.08684497303329,3,1.23180655494798,-1,1.28884407691658
3,2,262,7,11,7.77532067999709,3,2.91518580703996,-1,2.18337439198513
3,2,263,15,24,3.45358039496932,3,0.940950724994764,1,1.16205301403534
3,2,264,7,8,2.302674637991,3,0.726521836942993,1,0.0677080799359828
3,2,265,21,27,5.63963638502173,2,0.921104039996862,-1,0.8062691220548
3,2,266,4,4,1.1012664049631,3,0.32161766604986,1,0.688368986011483
3,2,267,26,20,5.85648252291139,3,6.84634155000094,1,0.984817064949311
3,2,268,9,9,2.06912366207689,3,1.16188482998405,-1,0.549480337067507
3,2,269,11,16,1.4183262080187,3,1.02192781295162,-1,2.99957280396484
3,2,270,11,19,5.0557420020923,2,0.930950597976334,1,1.35112508002203
3,2,271,4,4,1.00126576900948,3,0.199285538052209,1,0.601704044966027
3,2,272,10,12,1.96884254703764,2,0.745814257999882,1,0.0169165469706059
3,2,273,27,32,2.25246688001789,3,1.6049184629228,1,1.40591406298336
3,2,274,26,22,2.36930419900455,3,1.2415754039539,-1,1.41832157108001
3,2,275,7,8,1.86883433908224,3,1.07582811592147,-1,0.0168957730056718
3,2,276,23,23,4.38823091995437,2,0.631585418013856,1,0.280717422021553
3,2,277,16,24,4.18798919895198,3,1.27579308010172,1,2.15453909197822
3,2,278,7,9,4.30486126802862,3,0.329061542986892,1,1.94406360003632
3,2,279,4,4,0.934403449995443,3,0.525095668039285,1,1.06778783909976
3,2,280,14,13,4.42162557202391,2,0.814237245940603,-1,5.16032476094551
