Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition
3,3,1,3,0.89908,0.20537,Small
3,3,2,2,0.035258,0.22454,Small
3,4,2,2,0.015479,0.14469,Small
3,7,2,3,0.52897,0.62451,Small
3,6,2,3,0.67692,0.07518,Small
3,1,1,3,1.249,0.25637,Small
3,5,2,2,0.21681,0.1074,Small
3,4,1,2,0.90634,0.014121,Small
3,5,1,3,0.68933,0.209,Small
3,4,1,3,0.23469,0.079867,Small
3,2,1,3,0.65889,0.061075,Small
3,2,1,3,0.65516,0.12818,Small
3,4,1,2,0.25526,0.41647,Small
3,5,1,2,0.16469,0.33264,Small
3,1,1,3,0.72628,0.093863,Small
3,2,1,2,0.28779,0.43168,Small
3,7,2,3,0.2747,0.0004779,Small
3,5,2,3,0.2697,0.3948,Small
3,7,2,3,0.27474,0.5917,Small
3,5,2,3,0.74414,0.45962,Small
3,2,1,3,0.30135,0.095714,Small
3,2,2,2,0.35233,0.17339,Small
3,7,1,1,0.20854,0.72056,Small
3,5,2,2,0.00062574,0.91118,Small
3,6,1,3,1.0246,0.12426,Small
3,5,1,2,0.86606,0.077815,Small
3,6,2,3,0.18618,0.31797,Small
3,3,1,3,0.25831,0.76453,Small
3,4,1,3,0.45185,0.26884,Small
3,5,2,3,0.17482,0.28777,Small
3,5,1,3,0.45095,0.58788,Small
3,2,1,3,0.87621,0.2251,Small
3,6,1,1,0.26699,0.91074,Small
3,1,1,3,0.00055663,0.34414,Small
3,1,1,3,0.33015,0.20311,Small
3,3,1,3,0.23415,0.11122,Small
3,2,1,3,0.00053503,0.054269,Small
3,1,1,3,0.0014892,0.076134,Small
3,7,2,3,0.22208,0.20859,Small
3,7,2,3,0.24384,0.17146,Small
3,4,1,3,0.38291,0.1932,Small
3,5,2,3,0.024352,0.20399,Small
3,7,2,2,0.49784,0.30016,Small
3,5,1,2,0.024524,0.26851,Small
3,2,1,3,1.4353,0.49617,Small
3,1,1,3,0.25264,0.0014417,Small
3,5,1,3,0.29966,0.062174,Small
3,3,2,2,0.28807,0.04781,Small
3,2,2,2,0.43787,0.42802,Small
3,4,1,2,0.33644,0.13885,Small
3,1,1,2,1.2754,0.17632,Small
3,4,2,3,0.23956,0.10991,Small
3,3,1,3,0.025031,0.060776,Small
3,4,1,3,0.24946,0.065175,Small
3,6,2,2,0.52167,0.064032,Small
3,1,1,3,0.045979,0.12572,Small
3,1,1,2,0.29027,0.10741,Small
3,6,1,3,0.058524,0.045028,Small
3,3,1,2,0.16142,0.30394,Small
3,7,2,3,0.09381,0.078852,Small
3,4,1,3,0.11263,0.093854,Small
3,7,2,3,0.18889,0.1767,Small
3,2,1,2,0.59177,0.10875,Small
3,3,2,3,0.087833,0.14372,Small
3,3,2,3,0.1533,0.090588,Small
3,2,2,2,0.19103,0.68524,Small
3,6,2,3,0.19657,0.026904,Small
3,7,2,2,1.1277,0.19104,Small
3,6,2,2,0.18478,0.20467,Small
3,1,1,3,0.54744,0.031286,Small
3,6,2,3,0.21993,0.22214,Small
3,5,2,3,0.48804,0.17569,Small
3,4,1,2,1.7414,0.59136,Small
3,1,1,3,0.33853,0.1728,Small
3,7,2,3,0.22022,0.22261,Small
3,3,2,2,0.73497,0.20791,Small
3,4,1,3,0.048433,0.36826,Small
3,2,1,2,0.22617,0.30192,Small
3,3,1,2,0.22252,0.058292,Small
3,7,2,3,0.23632,0.20267,Small
3,2,1,3,0.18847,0.14424,Small
3,3,1,3,0.59808,0.18831,Small
3,4,1,3,0.1542,0.047344,Small
3,3,1,3,0.37453,0.079433,Small
3,2,1,3,0.068102,0.14382,Small
3,6,2,3,0.2044,0.060134,Small
3,2,1,3,0.00048801,0.14867,Small
3,4,1,2,0.082333,0.40087,Small
3,4,1,2,0.44259,0.048773,Small
3,6,1,3,0.030541,0.075707,Small
3,1,2,1,0.33372,0.77615,Small
3,4,1,3,1.5778,0.33178,Small
3,1,1,3,0.1321,0.061314,Small
3,3,2,3,0.1565,0.76287,Small
3,7,1,1,1.1526,1.0696,Small
3,1,1,3,0.27246,0.22142,Small
3,5,1,2,0.046026,0.174,Small
3,6,1,1,0.00048312,0.62348,Small
3,6,2,3,0.40643,0.25415,Small
3,5,2,3,0.00055011,0.18119,Small
3,7,2,3,0.29377,0.030762,Small
3,5,1,3,0.080763,0.079301,Small
3,5,2,2,0.18211,0.36854,Big
3,4,2,3,0.19699,0.18742,Big
3,7,2,3,0.42912,0.11279,Big
3,3,1,3,0.10124,0.19172,Big
3,1,1,3,0.26159,0.12815,Big
3,6,2,2,0.43118,0.38022,Big
3,5,1,3,0.7727,0.045532,Big
3,4,1,3,0.28202,0.11238,Big
3,3,1,2,0.4207,0.079277,Big
3,6,2,3,0.5116,0.044529,Big
3,5,1,3,0.17058,0.10761,Big
3,4,1,3,0.22122,0.031768,Big
3,2,1,3,0.21639,0.01066,Big
3,3,1,3,0.12456,0.092434,Big
3,2,1,3,0.56757,0.00052793,Big
3,7,2,3,0.41196,0.10883,Big
3,1,1,3,0.59871,0.00060271,Big
3,3,2,2,0.26979,0.00058839,Big
3,3,1,3,0.10482,0.044531,Big
3,7,2,3,0.14787,0.001428,Big
3,2,1,3,0.27071,0.02777,Big
3,7,2,3,0.22575,0.00085408,Big
3,2,1,3,0.1769,0.0014207,Big
3,5,2,3,0.13866,0.077161,Big
3,1,1,3,0.11897,0.013493,Big
3,6,2,3,0.0005929,0.1071,Big
3,1,1,3,0.00055099,0.00054585,Big
3,2,1,3,0.053378,0.09433,Big
3,6,2,3,0.20954,0.033332,Big
3,4,1,3,0.13129,0.028408,Big
3,7,2,3,0.17702,0.043515,Big
3,4,2,3,0.19087,0.059841,Big
