Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Side
1,0,1,6,2.833447633,1.69801,0.104712855,1,0,0
1,0,2,7,1.058606616,1.69791,0.104712855,1,1,0
1,0,2,6,1.925145927,1.38128,0.104712855,1,1,0
1,1,1,10,0.983382765,1.02298,0.104712855,1,1,2
1,1,1,10,0.666772101,0.89806,0.050118723,1,1,2
1,1,1,10,0.558588838,0.80634,0.025118864,1,1,1
1,0,2,6,1.191851411,2.46464,0.012882496,1,1,0
1,1,1,6,1.750196764,1.70635,0.012882496,1,1,1
1,0,1,7,2.508480848,1.19805,0.00676083,1,0,0
1,0,2,10,0.641969128,1.58159,0.00676083,1,1,0
1,1,2,9,1.13338332,1.64801,0.00676083,1,0,1
1,1,1,10,1.333479633,2.25639,0.1,1,1,2
1,1,1,10,1.366823613,0.94786,0.047863009,1,1,1
1,1,1,10,0.641685822,1.0482,0.023988329,1,1,1
1,0,1,4,1.666726021,1.88972,0.012302688,1,0,0
1,0,1,4,1.641757786,1.46478,0.012302688,1,0,0
1,1,2,8,1.175058105,1.72303,0.012302688,1,0,2
1,1,1,10,0.891809057,2.61476,0.104712855,1,1,2
1,0,1,3,3.700128597,1.56493,0.050118723,1,0,0
1,1,1,10,1.12512448,1.08133,0.050118723,1,1,2
1,1,1,10,0.575056171,1.9398,0.025118864,1,1,2
1,0,1,3,3.058394989,1.03115,0.012882496,1,0,0
1,1,2,8,1.458467579,1.25635,0.012882496,1,0,2
1,0,2,3,2.700095317,1.18158,0.104712855,1,1,0
1,1,1,10,0.816803944,0.98128,0.104712855,1,1,1
1,0,2,8,2.166769683,3.38124,0.050118723,1,1,0
1,1,1,10,1.275232554,6.91458,0.050118723,1,1,1
1,1,1,10,0.700141682,0.8813,0.025118864,1,1,1
1,1,2,8,2.066740016,1.43966,0.012882496,1,0,1
1,1,1,10,0.466679201,1.13142,0.104712855,1,1,2
1,1,1,10,0.475190627,1.22315,0.050118723,1,1,1
1,0,2,8,1.341943841,1.55624,0.025118864,1,1,0
1,0,2,8,1.408338257,1.32277,0.025118864,1,1,0
1,1,1,10,0.60000421,1.03976,0.025118864,1,1,1
1,0,2,10,0.68338194,1.0647,0.012882496,1,1,0
1,1,2,7,1.908406666,1.13976,0.012882496,1,0,2
1,0,1,8,0.891694995,0.92311,0.104712855,1,0,0
1,1,1,10,0.741693302,0.8564,0.104712855,1,1,2
1,1,1,10,0.366775542,0.92302,0.050118723,1,1,2
1,0,2,7,0.866835987,0.96463,0.025118864,1,1,0
1,1,1,10,0.575061006,1.01476,0.025118864,1,1,1
1,0,2,6,2.183312393,2.43131,0.012882496,1,1,0
1,1,1,8,1.241757729,1.47303,0.012882496,1,1,2
1,1,2,7,1.866750938,1.67315,0.00676083,1,0,1
1,0,2,7,1.166767123,1.16474,0.1,1,1,0
1,1,1,10,0.508350004,1.00634,0.1,1,1,2
1,0,1,3,1.500129849,1.11471,0.047863009,1,0,0
1,1,1,10,0.900128483,1.10618,0.047863009,1,1,1
1,2,1,10,0.60835009,0.86466,0.050118723,2,1,1
1,2,1,10,0.475199161,0.7232,0.025118864,2,1,2
1,2,1,8,0.950293077,1.10622,0.012882496,2,1,2
1,0,2,8,0.866886334,1.6564,0.00676083,2,1,0
1,0,2,7,1.058482029,1.43135,0.00676083,2,1,0
1,2,2,7,1.075164686,1.30609,0.00676083,2,0,1
1,2,1,10,0.575096562,0.83131,0.1,2,1,2
1,2,1,10,0.55850066,0.88965,0.047863009,2,1,1
1,0,2,9,0.966943307,1.39796,0.023988329,2,1,0
1,0,2,8,1.375272746,1.41475,0.023988329,2,1,0
1,2,1,10,0.575143211,1.13957,0.023988329,2,1,1
1,0,2,7,1.625110684,0.98961,0.012302688,2,1,0
1,0,2,3,1.775162155,1.48964,0.012302688,2,1,0
1,2,1,4,1.958362192,0.98977,0.012302688,2,1,2
1,0,2,7,0.800205198,1.5978,0.006456542,2,1,0
1,2,2,8,1.433487114,1.00633,0.006456542,2,0,2
1,0,2,4,3.375087573,2.11497,0.1,2,1,0
1,2,1,10,0.425050211,3.83144,0.1,2,1,2
1,2,1,10,0.625209671,1.01451,0.047863009,2,1,1
1,2,1,8,0.891855991,1.8979,0.023988329,2,1,1
1,2,2,7,1.575157717,1.42296,0.012302688,2,0,1
1,0,2,6,1.958558459,1.91472,0.104712855,2,1,0
1,2,1,10,0.508551391,0.78955,0.104712855,2,1,2
1,0,1,6,2.841903307,1.14799,0.050118723,2,0,0
1,0,2,3,3.016958852,1.13116,0.050118723,2,1,0
1,0,2,8,1.208580432,1.11464,0.050118723,2,1,0
1,2,1,10,1.091826863,2.34789,0.050118723,2,1,1
1,2,1,10,1.116786565,3.64802,0.025118864,2,1,2
1,2,1,6,1.358447014,1.71493,0.012882496,2,1,2
1,2,2,9,1.008360386,1.29792,0.00676083,2,0,1
1,2,1,10,2.183437549,1.33971,0.1,2,1,1
1,0,2,8,1.875155129,1.13107,0.047863009,2,1,0
1,0,1,7,1.733597165,1.88115,0.047863009,2,0,0
1,2,1,10,0.525216412,0.88116,0.047863009,2,1,2
1,2,1,10,1.483445769,2.28115,0.023988329,2,1,2
1,2,2,3,1.958400877,1.7399,0.012302688,2,0,2
1,2,1,10,0.566819233,1.26475,0.104712855,2,1,1
1,0,2,8,0.941796158,1.19812,0.050118723,2,1,0
1,0,2,7,2.041742199,1.11473,0.050118723,2,1,0
1,2,1,10,0.841725246,5.38124,0.050118723,2,1,1
1,2,1,10,0.70857005,0.81447,0.025118864,2,1,2
1,0,2,6,1.600103765,1.71475,0.012882496,2,1,0
1,2,1,7,2.841830206,1.38116,0.012882496,2,1,1
1,2,2,8,1.61671076,1.2978,0.00676083,2,0,2
1,0,2,7,1.541695407,0.8063,0.1,2,1,0
1,2,1,10,0.558591113,1.1396,0.1,2,1,1
1,0,1,7,2.266897768,1.62293,0.047863009,2,0,0
1,2,1,10,0.641836293,2.58994,0.047863009,2,1,1
1,0,2,3,1.641810124,1.37282,0.023988329,2,1,0
1,2,1,10,0.633449453,0.87309,0.023988329,2,1,2
1,0,2,10,0.70848045,0.68118,0.023988329,1,1,0
1,1,1,10,0.683434847,0.89774,0.023988329,1,1,1
1,0,2,7,1.600171748,1.49795,0.012302688,1,1,0
1,0,2,4,1.491638618,1.58142,0.012302688,1,1,0
1,0,2,9,2.116754422,1.03116,0.012302688,1,1,0
1,1,2,6,1.683371416,0.93951,0.012302688,1,0,1
1,1,1,10,0.933496073,1.13968,0.104712855,1,1,1
1,1,1,10,0.533467857,1.39805,0.050118723,1,1,2
1,1,1,10,0.541744901,0.8064,0.025118864,1,1,2
1,1,2,6,1.50834204,1.63973,0.012882496,1,0,2
1,0,1,3,3.441743109,1.4315,0.104712855,1,0,0
1,1,1,10,0.691711322,1.38966,0.104712855,1,1,1
1,1,1,10,0.750067058,1.04807,0.050118723,1,1,2
1,1,1,10,0.250038471,0.8398,0.025118864,1,1,2
1,0,2,3,2.650044786,0.76469,0.012882496,1,1,0
1,1,2,8,1.508233098,1.16476,0.012882496,1,0,2
1,1,1,10,0.266941857,0.79791,0.104712855,1,1,1
1,0,2,8,0.883598289,1.54788,0.050118723,1,1,0
1,0,1,4,4.400085675,1.28963,0.050118723,1,0,0
1,1,1,10,0.80017846,1.50628,0.050118723,1,1,1
1,0,2,10,0.58349677,1.07318,0.025118864,1,1,0
1,1,1,10,0.500217457,1.18967,0.025118864,1,1,2
1,1,2,8,1.433427664,1.78142,0.012882496,1,0,1
1,0,2,7,0.875109618,1.29812,0.104712855,1,1,0
1,1,1,10,0.566719678,0.93129,0.104712855,1,1,1
1,0,2,4,3.416753541,1.59798,0.050118723,1,1,0
1,1,1,NaN,0.891814746,NaN,0.050118723,1,1,2
1,1,1,8,0.399960519,1.30628,0.025118864,1,1,2
1,0,2,9,1.066708442,1.46471,0.012882496,1,1,0
1,1,2,8,1.941829437,1.09794,0.012882496,1,0,1
1,1,1,10,0.650020608,0.94792,0.104712855,1,1,1
1,0,2,9,1.333447206,0.94793,0.050118723,1,1,0
1,1,1,10,0.283513865,0.78944,0.050118723,1,1,2
1,1,1,10,0.616749729,1.48977,0.025118864,1,1,2
1,1,2,7,0.599922859,0.98157,0.012882496,1,0,1
1,0,2,6,2.308361495,2.83158,0.104712855,1,1,0
1,0,2,7,1.008478431,1.48964,0.104712855,1,1,0
1,1,1,10,0.550184932,1.43131,0.104712855,1,1,2
1,1,1,10,4.225100672,1.4562,0.050118723,1,1,1
1,0,2,4,1.116824396,3.14799,0.025118864,1,1,0
1,1,1,10,0.65020379,1.07285,0.025118864,1,1,2
1,0,2,4,3.516866835,2.13952,0.012882496,1,1,0
1,1,2,6,3.291757345,1.66465,0.012882496,1,0,1
1,1,1,10,0.958345979,1.47289,0.104712855,1,1,2
1,1,1,10,0.52521755,1.05625,0.050118723,1,1,1
1,0,2,7,1.716921334,1.40637,0.025118864,1,1,0
1,1,1,8,0.783393688,0.94812,0.025118864,1,1,1
1,0,2,7,0.891927102,1.84785,0.012882496,1,1,0
1,0,1,3,2.26677119,1.19796,0.012882496,1,0,0
1,1,2,3,5.741749054,1.39819,0.012882496,1,0,2
1,2,2,8,1.08344429,1.21483,0.012302688,2,0,2
1,2,1,10,0.200154055,1.30628,0.104712855,2,1,1
1,2,1,10,0.224965277,1.24823,0.050118723,2,1,2
1,2,1,10,0.24170084,1.12295,0.025118864,2,1,2
1,0,2,7,1.358543156,1.27301,0.012882496,2,1,0
1,2,2,7,1.491720254,0.93128,0.012882496,2,0,1
1,0,2,3,3.983322463,1.28145,0.104712855,2,1,0
1,0,2,8,1.866651382,0.83985,0.104712855,2,1,0
1,0,2,7,3.09184393,1.23966,0.104712855,2,1,0
1,2,1,10,0.633402804,1.38974,0.104712855,2,1,1
1,2,1,10,0.45869485,1.08128,0.050118723,2,1,1
1,2,1,10,0.358435636,1.08138,0.025118864,2,1,1
1,2,2,7,3.175065216,1.1068,0.012882496,2,0,2
1,0,1,6,1.292004812,1.60641,0.104712855,2,0,0
1,2,1,10,0.450100082,1.33962,0.104712855,2,1,2
1,2,1,10,0.50838812,1.43154,0.050118723,2,1,2
1,0,2,8,0.725113899,1.71461,0.025118864,2,1,0
1,0,2,8,1.19169838,1.10644,0.025118864,2,1,0
1,0,1,4,0.983554001,0.68962,0.025118864,2,0,0
1,2,2,8,1.541868065,1.58974,0.025118864,2,0,1
1,0,2,8,1.166739532,0.89793,0.131825674,2,1,0
1,2,1,10,0.358444454,0.95629,0.131825674,2,1,2
1,0,1,3,2.225211321,0.86468,0.0616595,2,0,0
1,0,2,6,1.166807514,0.93133,0.0616595,2,1,0
1,2,1,10,1.050228025,3.54788,0.0616595,2,1,1
1,2,1,10,0.975274112,0.83954,0.030199517,2,1,1
1,2,2,7,1.475079979,1.03124,0.015488166,2,0,2
1,2,1,10,0.533406132,0.83127,0.10964782,2,1,2
1,2,1,10,0.208402939,1.11479,0.052480746,2,1,1
1,0,2,7,5.641888631,1.43963,0.02630268,2,1,0
1,0,2,7,1.516824168,1.28123,0.02630268,2,1,0
1,0,2,6,1.258374679,1.25636,0.02630268,2,1,0
1,2,1,10,0.583450975,0.9814,0.02630268,2,1,1
1,2,2,8,0.650264377,1.23959,0.013489629,2,0,2
1,2,1,10,0.416778287,0.90646,0.107151931,2,1,1
1,2,1,10,0.333535383,1.59795,0.051286138,2,1,1
1,2,1,4,0.950175317,1.24772,0.025703958,2,1,2
1,0,2,8,0.583378726,1.20636,0.013182567,2,1,0
1,0,2,6,3.108473965,1.30648,0.013182567,2,1,0
1,2,2,6,1.566809562,1.61456,0.013182567,2,0,2
1,0,2,6,1.21683529,1.23952,0.107151931,2,1,0
1,0,2,4,3.325128064,1.28137,0.107151931,2,1,0
1,2,1,10,0.575296242,1.04785,0.107151931,2,1,2
1,2,1,10,0.225085881,1.40626,0.051286138,2,1,1
1,0,2,3,2.10849416,1.198,0.025703958,2,1,0
1,2,1,10,0.250046151,0.87313,0.025703958,2,1,1
1,0,2,8,1.883436156,1.2896,0.013182567,2,1,0
1,2,1,4,1.491779703,1.1814,0.013182567,2,1,2
1,2,1,3,1.533625439,1.31463,0.00691831,2,1,2
1,2,2,6,1.875118435,1.03963,0.003630781,2,0,1
1,0,2,10,0.891855137,2.01457,0.104712855,1,1,0
1,1,1,10,0.458420077,0.97302,0.104712855,1,1,1
1,0,2,7,1.283525528,1.78955,0.050118723,1,1,0
1,0,2,8,1.516755902,1.13976,0.050118723,1,1,0
1,1,1,10,0.675091242,1.88138,0.050118723,1,1,1
1,1,1,10,0.616847578,1.83968,0.025118864,1,1,2
1,1,2,10,0.558424429,1.14771,0.012882496,1,0,2
1,1,1,10,0.333259188,1.3981,0.104712855,1,1,1
1,0,2,8,1.283517563,1.1563,0.050118723,1,1,0
1,1,1,10,0.216578152,0.77304,0.050118723,1,1,2
1,0,2,7,0.858387423,1.47329,0.025118864,1,1,0
1,1,1,10,0.200088064,0.78135,0.025118864,1,1,1
1,0,2,6,0.59181193,1.62303,0.012882496,1,1,0
1,1,1,3,2.666848616,1.55638,0.012882496,1,1,2
1,1,1,3,2.366742263,1.15631,0.00676083,1,1,2
1,0,2,7,2.300214443,1.33118,0.003548134,1,1,0
1,1,1,2,2.575227406,1.13121,0.003548134,1,1,1
1,1,2,8,0.866815507,1.19792,0.001905461,1,0,1
1,0,2,8,1.283493101,0.97286,0.1,1,1,0
1,1,1,10,0.375124551,1.26472,0.1,1,1,2
1,1,1,10,0.433418278,0.83973,0.047863009,1,1,1
1,1,1,10,0.541731816,0.94797,0.023988329,1,1,1
1,1,2,8,0.575235655,1.45615,0.012302688,1,0,2
1,0,2,8,0.675129074,1.27306,0.104712855,1,1,0
1,0,2,7,0.808350829,0.973,0.104712855,1,1,0
1,1,1,10,0.200115939,0.81468,0.104712855,1,1,1
1,0,1,6,1.733499885,0.85633,0.050118723,1,0,0
1,0,1,6,2.22515045,0.82312,0.050118723,1,0,0
1,1,1,10,0.333561268,0.93968,0.050118723,1,1,2
1,1,1,10,0.133375071,0.83113,0.025118864,1,1,2
1,0,2,6,1.241838227,0.99773,0.012882496,1,1,0
1,1,1,6,1.625101013,1.18138,0.012882496,1,1,1
1,1,2,3,2.858446302,0.96459,0.00676083,1,0,2
1,1,1,10,0.200257308,0.83134,0.1,1,1,1
1,1,1,10,0.325040739,0.96468,0.047863009,1,1,1
1,1,1,10,0.091807521,0.75655,0.023988329,1,1,2
1,0,2,7,1.675212132,1.44797,0.012302688,1,1,0
1,1,1,4,1.599983161,2.67308,0.012302688,1,1,2
1,0,2,7,1.483498676,1.13144,0.006456542,1,1,0
1,0,2,8,2.241864396,1.12293,0.006456542,1,1,0
1,0,2,8,0.725039374,1.38144,0.006456542,1,1,0
1,0,2,8,1.791716527,1.54814,0.006456542,1,1,0
1,1,2,6,3.550082816,1.04801,0.006456542,1,0,2
1,1,1,10,0.233502872,0.88963,0.1,1,1,2
1,1,1,10,0.125121066,1.4312,0.047863009,1,1,1
1,1,1,10,0.241727009,0.83156,0.023988329,1,1,2
1,1,2,6,2.608391903,2.58141,0.012302688,1,0,1
1,0,1,2,1.566807287,1.63967,0.104712855,1,0,0
1,0,2,4,4.47505893,1.85633,0.104712855,1,1,0
1,1,1,10,0.316882593,0.98138,0.104712855,1,1,1
1,0,2,5,3.391682337,1.36477,0.1,2,1,0
1,2,1,10,1.499997298,1.62309,0.1,2,1,1
1,2,1,10,0.21678409,1.35647,0.047863009,2,1,2
1,0,2,8,1.7336404,1.55616,0.023988329,2,1,0
1,0,2,6,1.766691403,1.81454,0.023988329,2,1,0
1,2,1,10,0.391806071,0.86451,0.023988329,2,1,2
1,2,2,6,1.950204615,2.13132,0.012302688,2,0,1
1,0,2,3,1.408465972,1.53143,0.104712855,2,1,0
1,2,2,2,3.499979946,1.19787,0.104712855,2,0,1
1,2,1,10,0.250123804,0.8397,0.34673685,2,1,2
1,2,1,10,0.291832154,1.52306,0.1,2,1,2
1,2,1,10,0.291786927,1.15619,0.047863009,2,1,1
1,2,1,10,0.333477926,0.92283,0.023988329,2,1,2
1,0,2,8,0.783672443,1.17293,0.012302688,2,1,0
1,2,2,8,3.116778885,1.05629,0.012302688,2,0,1
1,2,1,10,0.575158855,0.8145,0.104712855,2,1,1
1,0,2,7,7.366687649,0.93965,0.050118723,2,1,0
1,2,1,10,0.200123335,0.78972,0.050118723,2,1,2
1,0,2,8,1.075190286,1.04787,0.025118864,2,1,0
1,0,2,8,1.650287985,1.25647,0.025118864,2,1,0
1,0,2,8,1.025107043,1.07298,0.025118864,2,1,0
1,2,2,6,1.833456166,1.38958,0.025118864,2,0,2
1,2,1,10,0.158535874,0.84799,0.131825674,2,1,1
1,2,1,10,0.241889996,0.8647,0.0616595,2,1,1
1,2,1,10,0.208485144,0.71449,0.030199517,2,1,2
1,0,2,6,1.233544685,7.22283,0.015488166,2,1,0
1,2,2,7,1.050179954,0.86467,0.015488166,2,0,1
1,0,2,7,3.375112036,2.07301,0.10964782,2,1,0
1,0,2,6,2.308447682,0.88131,0.10964782,2,1,0
1,2,1,10,0.233289538,0.80619,0.10964782,2,1,2
1,2,1,10,0.0586197,0.82288,0.052480746,2,1,2
1,0,2,6,1.75845276,1.98131,0.02630268,2,1,0
1,2,1,10,0.325080561,0.95658,0.02630268,2,1,1
1,2,2,7,0.733596596,0.76458,0.013489629,2,0,1
1,0,2,3,2.866783933,1.51474,0.107151931,2,1,0
1,2,1,NaN,0.44180398,NaN,0.107151931,2,1,2
1,2,2,6,3.308445976,0.96466,0.051286138,2,0,2
1,2,1,10,0.208418868,1.02304,0.204173794,2,1,1
1,0,2,7,0.650127559,1.56465,0.091201084,2,1,0
1,0,2,8,0.750111146,1.22286,0.091201084,2,1,0
1,2,1,10,0.15013083,0.84799,0.091201084,2,1,1
1,2,1,10,1.408450896,0.72306,0.044668359,2,1,2
1,0,2,7,0.600205596,0.998,0.022387211,2,1,0
1,0,2,7,1.316829117,1.23144,0.022387211,2,1,0
1,0,2,7,0.766741466,2.56456,0.022387211,2,1,0
1,2,1,4,1.875282844,0.93141,0.022387211,2,1,1
1,2,2,7,3.658588639,0.79791,0.011481536,2,0,2
1,0,2,7,1.567002415,2.53136,0.104712855,2,1,0
1,2,1,10,0.316877473,1.08158,0.104712855,2,1,2
1,2,1,10,0.242013445,1.03121,0.050118723,2,1,1
1,1,1,10,0.10844865,1.55637,0.050118723,1,1,1
1,0,2,8,0.516856879,0.96453,0.025118864,1,1,0
1,1,1,10,0.200216348,0.80642,0.025118864,1,1,2
1,1,2,7,0.391861822,0.63955,0.012882496,1,0,1
1,0,2,8,1.558505496,1.27298,0.104712855,1,1,0
1,1,1,10,0.091809228,0.93115,0.104712855,1,1,2
1,0,2,7,1.425183047,1.0562,0.050118723,1,1,0
1,1,1,10,0.166874358,0.69811,0.050118723,1,1,2
1,0,2,7,0.408491856,1.75632,0.025118864,1,1,0
1,1,1,10,0.333596539,0.82299,0.025118864,1,1,1
1,0,1,3,4.958351384,1.0729,0.012882496,1,0,0
1,1,2,10,0.83349229,0.79807,0.012882496,1,0,1
1,0,2,3,2.633429542,3.75651,0.104712855,1,1,0
1,1,1,10,0.191793384,0.83973,0.104712855,1,1,1
1,0,2,7,1.525096661,1.68132,0.050118723,1,1,0
1,1,1,10,0.208446174,1.04801,0.050118723,1,1,2
1,1,1,10,0.308403878,0.73969,0.025118864,1,1,1
1,0,2,7,0.483442071,1.14806,0.012882496,1,1,0
1,1,2,8,1.649993586,1.01473,0.012882496,1,0,2
1,1,1,10,0.150078208,0.83973,0.104712855,1,1,2
1,1,1,10,0.066622824,0.80643,0.050118723,1,1,2
1,1,1,10,0.091978472,0.86464,0.025118864,1,1,2
1,1,1,4,1.616839329,0.80631,0.012882496,1,1,1
1,0,2,8,0.950221966,1.14793,0.00676083,1,1,0
1,1,2,7,0.942072068,1.35632,0.00676083,1,0,1
1,0,2,7,0.791807265,1.02295,0.1,1,1,0
1,0,2,7,0.758286644,1.00647,0.1,1,1,0
1,0,2,7,0.641790782,1.09803,0.1,1,1,0
1,1,1,10,0.158433474,0.83979,0.1,1,1,2
1,1,1,10,0.208509037,0.85631,0.047863009,1,1,1
1,1,1,6,0.825072171,1.01463,0.023988329,1,1,1
1,1,2,7,0.741868805,1.19786,0.012302688,1,0,1
1,1,1,10,0.066785526,0.74805,0.104712855,1,1,2
1,0,2,6,0.416917949,2.60633,0.050118723,1,1,0
1,1,1,10,0.116697534,0.75646,0.050118723,1,1,2
1,0,2,7,1.041766092,1.29798,0.025118864,1,1,0
1,0,2,7,1.091800979,1.03136,0.025118864,1,1,0
1,0,2,8,2.05005622,1.16471,0.025118864,1,1,0
1,1,1,10,0.600107748,0.91476,0.025118864,1,1,1
1,1,2,7,0.825143282,1.6982,0.012882496,1,0,2
1,1,1,10,0.108332027,0.76473,0.104712855,1,1,2
1,0,2,7,1.45007818,0.99796,0.050118723,1,1,0
1,0,2,7,3.108410249,0.91473,0.050118723,1,1,0
1,0,2,7,0.833373677,0.81458,0.050118723,1,1,0
1,1,1,10,0.141551137,0.75654,0.050118723,1,1,1
1,1,1,7,0.500094578,1.0147,0.025118864,1,1,1
1,1,2,7,1.916821665,2.94784,0.012882496,1,0,1
1,1,1,10,0.125064177,1.04811,0.104712855,1,1,2
1,0,2,7,0.958467152,1.58951,0.050118723,1,1,0
1,1,1,10,0.166578821,0.88974,0.050118723,1,1,2
