Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy,Training
1,L,L,easy,0.645,0.36,Incongr,1,main
1,R,R,easy,0.567,0.924,Congr,1,main
1,L,L,diff,0.582,0.289,Incongr,1,main
1,L,L,easy,0.707,0.892,Incongr,1,main
1,R,R,diff,0.822,1.441,Incongr,1,main
1,L,L,easy,0.566,1.043,Congr,1,main
1,R,R,diff,0.705,0.314,Incongr,1,main
1,L,L,easy,0.52,0.312,Congr,1,main
1,L,L,diff,0.617,0.699,Incongr,1,main
1,L,L,diff,0.574,0.826,Incongr,1,main
1,R,R,easy,0.711,0.455,Congr,1,main
1,R,R,diff,0.724,0.675,Incongr,1,main
1,R,R,easy,0.678,0.677,Congr,1,main
1,L,L,easy,0.568,0.239,Congr,1,main
1,L,L,easy,0.625,0.26,Incongr,1,main
1,L,L,easy,0.577,0.228,Congr,1,main
1,R,R,easy,0.512,0.288,Congr,1,main
1,L,L,easy,0.597,0.256,Incongr,1,main
1,L,L,diff,1.049,0.228,Incongr,1,main
1,R,R,diff,0.746,0.24,Congr,1,main
1,R,R,diff,0.635,0.248,Incongr,1,main
1,R,R,easy,0.537,0.104,Incongr,1,main
1,L,L,easy,0.625,0.229,Incongr,1,main
1,L,L,easy,0.56,0.223,Congr,1,main
1,R,R,easy,0.525,0.186,Incongr,1,main
1,R,R,diff,0.464,0.457,Congr,1,main
1,L,L,easy,0.565,0.075,Congr,1,main
1,L,L,easy,0.581,0.21,Incongr,1,main
1,R,R,diff,0.517,1.276,Incongr,1,main
1,L,L,easy,0.591,0.597,Congr,1,main
1,R,R,easy,0.482,0.346,Incongr,1,main
1,L,L,easy,0.403,1.231,Congr,1,main
1,R,R,easy,0.532,1.457,Congr,1,main
1,R,R,easy,0.589,0.282,Congr,1,main
1,R,R,easy,0.493,0.254,Congr,1,main
1,L,L,diff,0.639,0.258,Incongr,1,main
1,L,L,easy,1.189,0.242,Congr,1,main
1,R,R,diff,0.888,0.583,Incongr,1,main
1,R,R,easy,0.95,0.196,Incongr,1,main
1,L,L,easy,0.584,0.268,Congr,1,main
1,L,L,easy,0.526,0.142,Congr,1,main
1,L,L,easy,0.422,0.225,Congr,1,main
1,R,R,diff,0.733,0.348,Incongr,1,main
1,R,R,diff,0.692,0.404,Incongr,1,main
1,L,L,easy,0.459,0.059,Congr,1,main
1,R,R,easy,0.678,0.215,Congr,1,main
1,L,L,diff,0.619,0.359,Congr,1,main
1,L,L,easy,0.496,0.142,Congr,1,main
1,R,R,easy,0.55,0.204,Congr,1,main
1,R,R,easy,0.395,0.277,Congr,1,main
1,R,R,easy,0.424,0.034,Incongr,1,main
1,L,L,easy,0.64,0.272,Congr,1,main
1,R,R,easy,0.546,0.242,Congr,1,main
1,L,L,easy,0.55,0.156,Incongr,1,main
1,L,L,easy,0.578,0.207,Congr,1,main
1,L,L,diff,0.795,0.193,Incongr,1,main
1,L,L,easy,0.55,0.082,Incongr,1,main
1,L,L,diff,0.604,0.137,Incongr,1,main
1,R,R,easy,0.745,0.037,Incongr,1,main
1,R,R,diff,0.721,0.32,Congr,1,main
1,R,R,easy,0.484,0.667,Congr,1,main
1,L,L,easy,0.748,1.058,Incongr,1,main
1,L,L,diff,0.575,0.109,Incongr,1,main
1,R,R,easy,0.812,0.28,Congr,1,main
1,R,R,easy,0.524,0.257,Incongr,1,main
1,R,R,easy,0.422,0.911,Incongr,1,main
1,R,R,easy,0.562,0.256,Congr,1,main
1,R,R,diff,0.65,0.22,Incongr,1,main
1,L,L,diff,0.721,0.241,Incongr,1,main
1,L,L,diff,0.548,0.193,Incongr,1,main
1,L,L,easy,0.425,0.154,Congr,1,main
1,R,R,easy,0.451,0.068,Congr,1,main
1,L,L,easy,0.549,0.195,Congr,1,main
1,R,R,diff,1.233,0.574,Congr,1,main
1,L,L,easy,0.757,0.097,Congr,1,main
1,R,R,easy,0.53,0.057,Incongr,1,main
1,L,L,diff,0.564,0.186,Incongr,1,main
1,R,R,diff,0.599,0.404,Congr,1,main
1,R,R,easy,0.577,0.214,Incongr,1,main
1,R,R,easy,0.639,0.674,Congr,1,main
1,L,L,easy,0.637,0.288,Incongr,1,main
1,L,L,easy,0.53,0.024,Congr,1,main
1,L,L,easy,0.548,1.234,Congr,1,main
1,L,L,easy,0.511,0.158,Congr,1,main
1,R,R,diff,0.534,0.211,Congr,1,main
1,L,L,easy,0.473,0.033,Congr,1,main
1,R,R,easy,0.501,0.028,Congr,1,main
1,R,R,diff,0.546,0.278,Congr,1,main
1,R,R,diff,0.667,0.508,Incongr,1,main
1,L,L,easy,0.636,0.079,Congr,1,main
1,R,R,easy,0.497,0.09,Congr,1,main
1,R,R,easy,0.434,0.093,Congr,1,main
1,R,R,easy,0.575,0.037,Incongr,1,main
1,L,L,easy,0.69,0.04,Incongr,1,main
1,R,R,easy,0.404,0.927,Congr,1,main
1,L,L,easy,0.377,0.037,Congr,1,main
1,R,R,easy,0.36,0.206,Congr,1,main
1,R,R,easy,0.619,0.095,Incongr,1,main
1,R,R,diff,1.561,1.206,Congr,1,main
1,L,L,easy,0.639,0.35,Incongr,1,main
1,L,L,easy,0.487,0.286,Congr,1,main
1,R,R,diff,0.552,0.398,Incongr,1,main
1,R,R,easy,0.396,0.425,Incongr,1,main
1,L,L,diff,0.422,0.727,Incongr,1,main
1,L,L,easy,0.362,0.038,Congr,1,main
1,L,L,diff,0.466,0.235,Incongr,1,main
1,L,L,easy,0.391,0.133,Congr,1,main
1,L,L,easy,0.458,0.253,Incongr,1,main
1,L,L,diff,0.489,0.127,Incongr,1,main
1,R,R,easy,0.567,0.261,Incongr,1,main
1,R,R,easy,0.799,0.14,Incongr,1,main
1,L,L,diff,0.531,0.154,Incongr,1,main
1,R,R,diff,0.651,0.035,Incongr,1,main
1,L,L,diff,0.399,0.139,Incongr,1,main
1,R,R,easy,0.492,0.123,Congr,1,main
1,R,R,easy,0.501,0.236,Congr,1,main
1,R,R,easy,0.408,0.179,Incongr,1,main
1,L,L,easy,0.633,0.228,Congr,1,main
1,L,L,easy,0.625,0.228,Incongr,1,main
1,R,R,easy,0.512,0.217,Congr,1,main
1,L,L,easy,0.533,0.059,Congr,1,main
1,R,R,easy,0.55,0.1,Congr,1,main
1,L,L,easy,0.431,0.911,Incongr,1,main
1,L,L,easy,0.666,0.186,Congr,1,main
1,R,R,diff,0.841,0.316,Incongr,1,main
1,L,L,easy,0.554,1.08,Congr,1,main
1,R,R,easy,0.642,0.262,Incongr,1,main
1,R,R,easy,0.536,0.11,Congr,1,main
1,R,R,easy,0.513,0.143,Incongr,1,main
1,L,L,easy,0.689,0.223,Congr,1,main
1,L,L,diff,0.466,0.461,Congr,1,main
1,L,L,easy,0.545,0.039,Incongr,1,main
1,R,R,easy,0.481,0.059,Congr,1,main
1,R,R,diff,0.854,0.296,Incongr,1,main
1,R,R,easy,0.464,0.249,Incongr,1,main
1,R,R,easy,0.46,0.583,Incongr,1,main
1,L,L,diff,0.532,0.266,Incongr,1,main
1,R,R,easy,0.613,0.073,Incongr,1,main
1,L,L,easy,0.346,0.224,Congr,1,main
1,L,L,easy,0.549,0.099,Incongr,1,main
1,L,L,easy,0.503,0.412,Congr,1,main
1,R,R,easy,0.579,0.607,Congr,1,main
1,R,R,easy,0.772,1.003,Incongr,1,main
1,L,L,diff,0.663,0.504,Incongr,1,main
1,R,R,easy,0.737,0.274,Congr,1,main
1,L,L,diff,0.588,0.335,Incongr,1,main
1,L,L,easy,0.703,0.239,Congr,1,main
1,L,L,easy,0.54,0.281,Incongr,1,main
1,L,L,easy,0.435,0.317,Incongr,1,main
1,R,R,diff,0.743,1.86,Congr,1,main
1,L,L,easy,0.531,0.215,Congr,1,main
1,R,R,easy,0.523,1.506,Incongr,1,main
1,R,R,easy,0.549,0.338,Incongr,1,main
1,R,R,easy,0.49,0.106,Congr,1,main
1,R,R,diff,0.651,0.269,Incongr,1,main
1,L,L,easy,0.474,0.025,Incongr,1,main
1,L,L,easy,0.519,0.204,Congr,1,main
1,R,R,diff,0.586,0.214,Congr,1,main
1,L,L,diff,0.475,0.398,Incongr,1,main
1,L,L,easy,0.702,0.686,Congr,1,main
1,L,L,diff,0.537,0.336,Incongr,1,main
1,R,R,diff,0.566,0.612,Congr,1,main
1,R,R,easy,0.562,0.214,Congr,1,main
1,R,L,diff,0.595,0.719,Congr,0,main
1,L,L,easy,0.552,0.776,Congr,1,main
1,R,R,easy,0.477,0.478,Incongr,1,main
1,R,R,easy,0.505,0.235,Congr,1,main
1,L,L,easy,0.517,0.172,Incongr,1,main
1,R,R,diff,0.435,0.701,Incongr,1,main
1,R,R,easy,0.519,0.279,Incongr,1,main
1,L,L,diff,0.585,0.205,Incongr,1,main
1,L,L,easy,0.554,0.224,Incongr,1,main
1,L,L,easy,0.493,0.165,Incongr,1,main
1,R,R,easy,0.524,0.22,Congr,1,main
1,R,R,easy,0.535,0.254,Incongr,1,main
1,L,L,easy,0.617,1.213,Congr,1,main
1,R,R,diff,0.474,0.883,Incongr,1,main
1,R,R,easy,0.413,0.168,Congr,1,main
1,R,R,easy,0.43,0.225,Incongr,1,main
1,L,L,easy,0.446,0.088,Incongr,1,main
1,R,R,easy,0.466,0.963,Congr,1,main
1,R,R,diff,0.529,0.505,Incongr,1,main
1,L,L,easy,0.729,0.218,Incongr,1,main
1,R,R,easy,0.564,0.235,Incongr,1,main
1,L,L,easy,0.533,0.099,Congr,1,main
1,L,L,easy,0.444,0.046,Congr,1,main
1,R,R,easy,0.369,0.214,Congr,1,main
1,R,R,easy,0.515,0.228,Congr,1,main
1,R,R,easy,0.462,0.409,Congr,1,main
1,R,R,easy,0.48,0.126,Congr,1,main
1,L,L,easy,0.558,0.188,Congr,1,main
1,L,L,easy,0.578,0.249,Incongr,1,main
1,R,R,easy,0.482,0.154,Incongr,1,main
1,R,R,easy,0.417,0.084,Congr,1,main
1,R,R,easy,0.445,0.403,Congr,1,main
1,L,L,easy,0.733,0.308,Congr,1,main
1,R,R,diff,0.445,0.16,Incongr,1,main
1,L,L,easy,0.384,0.035,Congr,1,main
1,L,L,easy,0.463,0.232,Congr,1,main
1,L,L,diff,0.757,0.234,Incongr,1,main
1,L,L,easy,0.406,0.074,Congr,1,main
1,L,L,easy,0.478,0.198,Congr,1,main
1,R,R,diff,0.499,0.026,Incongr,1,main
1,L,L,easy,0.486,0.095,Incongr,1,main
1,L,L,easy,0.513,0.305,Incongr,1,main
1,R,R,diff,0.585,0.08,Incongr,1,main
1,L,L,easy,0.472,0.345,Congr,1,main
1,L,L,easy,0.435,0.292,Congr,1,main
1,R,R,easy,0.789,0.38,Incongr,1,main
1,L,L,easy,0.464,0.137,Congr,1,main
1,L,L,easy,0.458,0.034,Congr,1,main
1,R,R,easy,0.919,0.548,Congr,1,main
1,L,L,diff,0.484,0.109,Incongr,1,main
1,L,L,easy,0.629,0.017,Incongr,1,main
1,R,R,easy,0.564,0.777,Congr,1,main
1,L,L,easy,0.442,0.226,Congr,1,main
1,R,R,easy,0.584,0.078,Incongr,1,main
1,L,L,easy,0.557,0.123,Congr,1,main
1,L,L,easy,0.595,0.232,Incongr,1,main
1,R,R,easy,0.94,0.067,Congr,1,main
1,L,L,diff,0.533,0.172,Incongr,1,main
1,L,L,easy,0.37,0.103,Congr,1,main
1,R,R,easy,0.608,0.06,Congr,1,main
1,R,R,easy,0.591,1.244,Incongr,1,main
1,L,L,easy,0.497,0.224,Incongr,1,main
1,R,R,easy,0.613,1.624,Incongr,1,main
1,R,R,easy,0.87,0.247,Congr,1,main
1,R,R,easy,0.498,0.243,Incongr,1,main
1,L,L,easy,1.134,0.325,Congr,1,main
1,L,L,easy,0.439,0.72,Incongr,1,main
1,R,R,easy,0.489,1.049,Congr,1,main
1,R,R,easy,0.566,0.498,Incongr,1,main
1,L,L,easy,0.412,0.496,Congr,1,main
1,L,L,diff,0.505,0.17,Incongr,1,main
1,L,L,easy,0.535,0.39,Incongr,1,main
1,R,R,diff,0.765,0.233,Incongr,1,main
1,L,L,diff,0.645,0.224,Incongr,1,main
1,R,R,easy,0.619,0.056,Incongr,1,main
1,R,R,easy,0.65,1.069,Congr,1,main
1,L,L,easy,0.531,0.268,Incongr,1,main
1,R,R,easy,0.564,0.242,Congr,1,main
1,R,R,easy,0.414,0.017,Congr,1,main
1,R,R,easy,0.645,0.096,Incongr,1,main
1,L,L,easy,0.682,0.378,Congr,1,main
1,R,R,easy,0.482,0.122,Incongr,1,main
1,R,R,diff,1.515,0.596,Incongr,1,main
1,L,L,easy,0.688,1.457,Incongr,1,main
1,R,R,easy,0.653,0.303,Incongr,1,main
1,R,R,easy,0.552,0.351,Congr,1,main
1,R,R,easy,0.548,0.403,Congr,1,main
1,R,R,easy,0.48,0.097,Incongr,1,main
1,L,L,easy,0.585,0.253,Congr,1,main
1,L,L,easy,0.648,0.259,Incongr,1,main
1,R,R,easy,0.311,0.261,Congr,1,main
1,L,L,easy,0.568,0.534,Congr,1,main
1,L,L,easy,0.472,0.489,Incongr,1,main
1,R,R,easy,0.521,0.04,Congr,1,main
1,R,R,easy,0.324,0.588,Congr,1,main
1,L,L,easy,0.507,0.313,Congr,1,main
1,L,L,diff,0.572,0.225,Incongr,1,main
1,R,R,diff,1.676,0.407,Congr,1,main
1,R,R,easy,0.931,0.093,Incongr,1,main
1,L,L,easy,0.517,0.315,Incongr,1,main
1,L,L,easy,0.467,0.149,Congr,1,main
1,R,R,easy,0.691,0.396,Incongr,1,main
1,R,R,easy,0.354,0.226,Congr,1,main
1,R,R,easy,0.476,0.149,Congr,1,main
1,R,R,easy,0.421,0.064,Congr,1,main
1,L,L,diff,0.586,0.191,Incongr,1,main
1,L,L,diff,0.565,0.065,Incongr,1,main
1,R,R,easy,0.539,0.042,Congr,1,main
1,R,R,easy,0.566,0.348,Incongr,1,main
1,L,L,easy,0.394,0.097,Congr,1,main
1,R,R,easy,0.4,0.044,Congr,1,main
1,R,R,diff,0.48,0.24,Incongr,1,main
1,L,L,diff,0.436,0.27,Incongr,1,main
1,R,R,easy,0.449,0.018,Congr,1,main
1,L,L,diff,0.558,0.116,Incongr,1,main
1,R,R,easy,0.397,0.344,Incongr,1,main
1,R,R,easy,0.552,0.055,Congr,1,main
1,R,R,diff,0.865,0.259,Incongr,1,main
1,R,R,easy,0.556,0.588,Incongr,1,main
1,R,R,easy,0.424,0.275,Congr,1,main
1,L,L,easy,0.414,0.122,Congr,1,main
1,L,L,easy,0.953,0.207,Congr,1,main
1,L,L,easy,0.574,0.417,Incongr,1,main
1,L,L,easy,0.488,0.19,Incongr,1,main
1,L,L,diff,0.468,0.357,Incongr,1,main
1,L,L,easy,0.518,0.371,Congr,1,main
