Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Trial_count,Block_count,Accuracy
ack,1,1,3,3,0.540691358,4.257881975,4.164544915,23,1,1
ack,1,2,3,2,2.846403417,0.905221873,3.8586923289999997,24,1,0
ack,2,2,3,1,1.5052864769999998,2.457997707,0.211905295,25,1,1
ack,2,2,1,1,3.505122081,0.764003524,0.35312788,26,1,1
ack,2,2,3,2,1.093611952,0.999301604,0.65891078,27,1,1
ack,2,1,3,2,0.470107593,5.093206544,1.423578819,28,1,0
ack,1,1,2,2,1.0230208729999999,3.8108711000000004,1.6705736780000002,29,1,1
ack,1,2,1,2,0.587791861,2.681467339,3.011652887,30,1,0
ack,1,1,3,3,6.587281347,1.728695664,0.823630871,31,1,1
ack,1,2,1,1,1.8817497769999998,0.458177503,0.36483774799999996,32,1,0
ack,2,2,3,1,2.2463738490000003,0.646353136,1.023676533,33,1,1
ack,2,2,2,2,1.340652241,0.39936366700000003,2.870525783,34,1,1
ack,2,2,1,3,1.270081182,1.058060385,0.623617935,35,1,1
ack,2,2,3,1,2.975804868,0.8346408040000001,0.47068586799999995,36,1,1
ack,2,1,2,2,1.0936081020000001,1.2819981809999998,4.635098726,37,1,0
ack,1,2,2,3,1.352402535,3.516770733,4.576279885,38,1,0
ack,1,1,3,2,1.352417935,1.822758839,0.788331481,39,1,1
ack,2,1,3,2,0.787869478,3.245894135,2.011762613,40,1,0
ack,2,1,1,2,0.881851418,2.728575928,0.423640419,41,1,0
ack,1,1,3,2,2.387601054,0.622964585,0.447171036,42,1,1
ack,1,2,2,1,6.599075531,2.258047141,0.447172576,43,1,0
ack,2,2,3,1,0.8934915999999999,0.351795385,0.341230131,44,1,1
ack,2,2,1,1,3.3522874189999996,1.98740116,0.376572256,45,1,1
ack,1,1,3,3,1.211281205,0.5875681739999999,0.376584191,46,1,1
ack,1,2,2,3,3.59895849,4.7747993939999995,1.294478055,47,1,0
ack,1,1,3,1,2.164142972,0.740452117,0.635385939,48,1,1
ack,2,1,3,1,1.564258935,0.458009257,0.42363425899999996,49,1,0
ack,2,2,2,1,0.9875767209999999,1.0463870929999999,0.38829136399999997,0,2,1
ack,2,1,3,1,2.952265011,0.445857791,1.058903927,1,2,0
ack,2,2,2,3,1.434599916,1.4814370780000001,0.506199704,2,2,1
ack,1,2,3,1,1.6112150619999999,0.552273405,0.329535278,3,2,0
ack,1,2,2,2,0.623061606,2.5638627659999997,0.376584191,4,2,0
