Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,mean,sd,Condition,Training
1,0,1,39.7875,NaN,NaN,2.4962,0.53,0.0333,-1,1
1,0,0,32.353,NaN,NaN,0.83494,0.53,0.1,-1,1
1,1,0,32.353,NaN,NaN,2.0605,0.485,0.1,-1,1
1,0,0,34.314,NaN,NaN,2.4131,0.515,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.8008,0.485,0.1,-1,1
1,0,1,29.575,NaN,NaN,1.0947,0.53,0.1,-1,1
1,1,0,26.471,NaN,NaN,1.4715,0.485,0.1,-1,1
1,0,0,32.353,NaN,NaN,1.6717,0.515,0.1,-1,1
1,1,1,29.575,NaN,NaN,0.91742,0.485,0.1,-1,1
1,1,1,25.49,NaN,NaN,1.1176,0.485,0.0333,-1,1
1,0,1,37.745,NaN,NaN,1.8244,0.53,0.0333,-1,1
1,1,1,23.4475,NaN,NaN,1.3302,0.47,0.1,-1,1
1,1,1,31.6175,NaN,NaN,1.1653,0.47,0.0333,-1,1
1,0,1,35.7025,NaN,NaN,1.083,0.515,0.0333,-1,1
1,0,1,39.7875,NaN,NaN,1.8839,0.53,0.1,-1,1
1,0,0,40.1961,NaN,NaN,0.97693,0.515,0.1,-1,1
1,1,1,37.745,NaN,NaN,0.96519,0.47,0.0333,-1,1
1,1,1,35.7025,NaN,NaN,1.3886,0.485,0.0333,-1,1
1,1,1,39.7875,NaN,NaN,1.0475,0.47,0.0333,-1,1
1,0,0,42.1569,NaN,NaN,0.85916,0.53,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.3302,0.47,0.1,-1,1
1,1,0,38.235,NaN,NaN,1.0594,0.47,0.1,-1,1
1,1,1,35.7025,NaN,NaN,0.67076,0.47,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.84676,0.47,0.0333,-1,1
1,1,0,34.314,NaN,NaN,2.1311,0.485,0.1,-1,1
1,0,1,3.02249999999999,NaN,NaN,1.5068,0.515,0.0333,-1,1
