Subj_idx,Stimulus,Response,Confidence,Peak_Velocity,Accuracy,Task
3,-1,1,50,0.2,0,yaw
3,1,-1,50,0.5,0,yaw
3,-1,-1,60,0.9,1,yaw
3,1,-1,50,0.5,0,yaw
3,-1,-1,85,2,1,yaw
3,1,1,50,2,1,yaw
3,-1,-1,50,0.5,1,yaw
3,-1,-1,60,2,1,yaw
3,-1,-1,90,4,1,yaw
3,1,1,55,2,1,yaw
3,1,1,55,2,1,yaw
3,1,-1,50,0.2,0,yaw
3,1,1,50,0.5,1,yaw
3,1,-1,50,0.5,0,yaw
3,1,1,50,0.9,1,yaw
3,-1,-1,90,4,1,yaw
3,-1,1,50,0.9,0,yaw
3,1,1,100,4,1,yaw
3,1,1,70,0.9,1,yaw
3,-1,-1,55,2,1,yaw
3,-1,-1,50,0.9,1,yaw
3,1,1,55,2,1,yaw
3,1,-1,50,0.5,0,yaw
3,-1,1,50,0.5,0,yaw
3,1,1,90,7,1,yaw
3,-1,-1,80,2,1,yaw
3,-1,-1,80,4,1,yaw
3,-1,1,50,2,0,yaw
3,1,1,50,2,1,yaw
3,1,1,90,7,1,yaw
3,-1,-1,80,4,1,yaw
3,-1,-1,55,2,1,yaw
3,1,1,90,4,1,yaw
3,1,1,85,2,1,yaw
3,1,-1,50,0.5,0,yaw
3,1,1,50,0.9,1,yaw
3,-1,-1,50,0.5,1,yaw
3,-1,1,50,0.9,0,yaw
3,1,1,60,0.9,1,yaw
3,-1,-1,50,0.5,1,yaw
3,-1,-1,50,2,1,yaw
3,1,1,75,2,1,yaw
3,-1,1,50,0.2,0,yaw
3,-1,-1,50,2,1,yaw
3,-1,1,50,0.9,0,yaw
3,1,-1,50,0.9,0,yaw
3,1,1,50,2,1,yaw
