Subj_idx,Stimulus,Response,Accuracy,Confidence,RT_dec,Difficulty,Condition
28,1,1,1,1,0.814,16,1000
28,2,2,1,3,0.728,128,1000
28,1,1,1,2,0.869,32,1000
28,1,1,1,3,0.579,64,1000
28,1,2,0,1,1.349,32,1000
28,2,2,1,2,0.584,128,1000
28,2,2,1,2,0.651,32,1000
28,1,1,1,2,0.538,128,1000
28,1,1,1,4,0.568,128,1000
28,2,2,1,1,1.246,16,1000
28,2,2,1,1,0.419,32,1000
28,1,1,1,1,0.486,32,1000
28,2,1,0,1,0.409,32,1000
28,1,1,1,2,0.616,64,1000
28,2,2,1,1,0.922,16,1000
28,2,2,1,2,0.484,64,1000
28,2,2,1,1,0.407,32,1000
28,2,1,0,1,0.462,64,1000
28,2,2,1,3,0.641,128,1000
28,1,1,1,1,0.477,16,1000
28,1,1,1,1,0.507,32,1000
28,2,1,0,1,0.754,16,1000
28,2,2,1,4,0.486,128,1000
28,2,1,0,2,0.78,32,1000
28,2,2,1,3,0.482,64,1000
28,1,1,1,1,0.947,16,1000
28,1,1,1,2,0.518,32,1000
28,2,2,1,2,0.432,32,1000
28,2,2,1,4,0.455,128,1000
28,1,1,1,1,0.575,16,1000
28,2,2,1,3,0.621,64,1000
28,1,1,1,1,0.572,16,1000
28,2,1,0,2,0.401,64,1000
28,1,1,1,1,0.576,16,1000
28,1,1,1,2,0.363,64,1000
28,2,2,1,1,0.958,16,1000
28,1,1,1,1,0.48,16,1000
28,2,2,1,2,0.351,64,1000
28,2,1,0,1,0.425,16,1000
28,2,2,1,2,0.831,32,1000
28,2,2,1,3,0.424,128,1000
28,2,1,0,1,0.644,16,1000
28,1,1,1,4,0.528,128,1000
28,1,1,1,4,0.533,128,1000
28,1,1,1,4,0.554,128,1000
28,1,2,0,1,0.551,16,1000
28,1,1,1,2,0.542,64,1000
28,1,1,1,2,0.381,64,1000
28,1,2,0,1,0.484,16,1000
28,2,1,0,1,0.517,32,1000
28,2,2,1,1,0.843,16,1000
28,2,2,1,2,0.426,64,1000
28,1,1,1,2,0.411,64,1000
28,2,1,0,1,0.587,16,1000
28,1,1,1,2,0.494,32,1000
28,1,1,1,3,0.548,64,1000
28,2,2,1,4,0.444,128,1000
28,1,1,1,2,0.487,64,1000
28,2,2,1,1,0.837,32,1000
28,1,1,1,2,0.471,32,1000
28,2,2,1,1,2.138,32,1000
28,2,1,0,2,0.391,16,1000
28,1,1,1,4,0.39,128,1000
28,2,2,1,1,0.729,16,1000
28,2,2,1,4,1.224,128,1000
28,1,1,1,4,0.738,128,1000
28,1,2,0,3,0.777,64,1000
28,1,1,1,1,0.839,16,1000
28,2,2,1,4,0.464,128,1000
28,2,2,1,4,0.485,128,1000
28,1,2,0,2,0.433,64,1000
28,2,1,0,1,0.472,64,1000
28,2,2,1,3,0.364,128,1000
28,2,1,0,1,0.904,16,1000
28,2,2,1,1,0.812,16,1000
28,1,2,0,1,0.339,32,1000
28,1,1,1,4,0.409,128,1000
28,1,1,1,4,0.429,128,1000
28,2,1,0,3,0.684,128,1000
28,2,2,1,1,0.835,16,1000
28,2,1,0,1,0.618,16,1000
28,2,2,1,2,0.546,32,1000
28,1,1,1,3,0.412,128,1000
28,1,2,0,1,0.582,16,1000
28,1,1,1,1,0.729,32,1000
28,2,2,1,1,0.377,32,1000
28,1,1,1,2,0.407,64,1000
28,1,1,1,3,0.512,128,1000
28,2,2,1,3,0.374,128,1000
28,1,1,1,2,0.499,64,1000
28,2,2,1,1,0.647,32,1000
28,1,1,1,1,1.025,64,1000
28,2,2,1,1,0.65,32,1000
28,1,1,1,1,0.579,32,1000
28,2,2,1,2,0.413,64,1000
28,1,1,1,1,0.513,32,1000
28,2,2,1,3,0.322,128,1000
28,1,1,1,3,0.292,128,1000
28,1,2,0,1,0.339,32,1000
28,1,1,1,3,0.491,128,1000
28,1,2,0,1,0.481,16,1000
28,1,1,1,3,0.402,128,1000
28,2,1,0,2,0.435,64,1000
28,1,2,0,1,0.33,64,1000
28,1,2,0,1,0.852,32,1000
28,1,1,1,1,0.701,32,1000
28,1,1,1,2,0.576,64,1000
28,2,2,1,1,0.933,16,1000
28,1,1,1,2,0.233,128,1000
28,2,2,1,2,0.408,64,1000
28,2,2,1,1,0.576,32,1000
7,2,1,0,1,1.452,16,1000
7,1,2,0,3,0.739,128,1000
7,1,2,0,2,0.705,64,1000
7,2,1,0,3,0.654,128,1000
7,1,1,1,1,0.96,32,1000
7,1,2,0,1,1.245,32,1000
7,1,1,1,1,1.767,16,1000
7,1,1,1,3,0.497,128,1000
7,2,2,1,1,0.867,32,1000
7,2,1,0,2,0.541,32,1000
7,1,2,0,1,0.898,16,1000
7,1,1,1,2,0.408,128,1000
7,1,2,0,1,1.317,32,1000
7,1,2,0,2,1.245,64,1000
7,1,1,1,1,0.71,16,1000
7,1,2,0,1,1.028,32,1000
7,1,1,1,2,0.784,64,1000
7,2,2,1,1,1.667,32,1000
7,2,1,0,2,0.725,128,1000
7,1,2,0,1,2.143,16,1000
7,1,1,1,1,0.558,32,1000
7,2,2,1,4,0.686,128,1000
7,2,2,1,4,0.686,128,1000
7,1,2,0,1,2.515,16,1000
7,1,1,1,1,1.308,32,1000
7,1,2,0,2,0.8,64,1000
7,1,1,1,1,0.686,16,1000
7,1,2,0,2,0.65,128,1000
